Category,Category Description,Subcategory,Subcategory Description,Measures,Measure Id,Measure Description,Source,Question/item,Revised Question (for the 19-20 surveys),Survey Item ID,Watch Low,Growth Low,Approval Low,Ideal Low
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Qualifications,1A-i,"This measure includes the percentage of teachers working in their area of licensure, and draws on anonymous teacher reports on their own comfort teaching grade-level, topics, and student body.",Admin Data,Percentage teachers with 5+ years of experience,,,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Qualifications,1A-i,"This measure includes the percentage of teachers working in their area of licensure, and draws on anonymous teacher reports on their own comfort teaching grade-level, topics, and student body.",Admin Data,Percentage teachers teaching in area of licensure,,,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Qualifications,1A-i,"This measure includes the percentage of teachers working in their area of licensure, and draws on anonymous teacher reports on their own comfort teaching grade-level, topics, and student body.",Teachers,How confident are you in working with the student body at your school?,,t-prep-q3,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Qualifications,1A-i,"This measure includes the percentage of teachers working in their area of licensure, and draws on anonymous teacher reports on their own comfort teaching grade-level, topics, and student body.",Teachers,How prepared are you for teaching the topics that you are expected to teach in your assignment?,,t-prep-q2,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Professional Qualifications,1A-i,"This measure includes the percentage of teachers working in their area of licensure, and draws on anonymous teacher reports on their own comfort teaching grade-level, topics, and student body.",Teachers,Given your preparation for teaching how comfortable are you teaching at the grade-level you have been assigned?,,t-prep-q1,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Students,"When you need extra help, how good is your teacher at giving you that help?",,s-peff-q3,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Students,How well can your teacher tell whether or not you understand a topic?,,s-peff-q4,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and schol-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Students,How interesting does your teacher make the things you are learning?,,s-peff-q5,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Students,How good is your teacher at helping you learn?,,s-peff-q6,2.49,3,3.5,4.71
Teachers & Leadership," This category measures the relevant abilities of a school's teachers and the degree to which they are receiving the support they need to grow as professionals.  It considers factors like teacher professional qualifications, effective classroom practices, and school-wide support for teaching development and growth.",Teachers & The Teaching Environment,This subcategory seeks to determine the degree to which a school's teachers are prepared for their classroom assignments.  It includes measures of teacher qualifications and effective classroom practices.,Effective Practices,1A-ii,"This measure draws on anonymous student reports about factors like teacher clarity, support of students, and classroom management.",Teachers,How confident are you in your ability to present material clearly?,,t-ieff-q1,2.49,3,3.5,4.71
