District,School,Category,NonLikert Title,NL_Value,Z-Score,B_MCIEA,B_Expert,B_ExpertDesc,NL_DataType
Attleboro,Attleboro High School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Attleboro High School,1-A-i,Percentage teachers with 5+ years of experience,71,0.2591,67.41,,,%
Attleboro,Attleboro High School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Attleboro High School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Attleboro High School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Attleboro High School,2-A-i,Student to violent incidents ratio,0.005,-0.2729,0.02,,,
Attleboro,Attleboro High School,2-C-i,Average daily attendance,95.8,0.2337,94.57,,,%
Attleboro,Attleboro High School,2-C-i,Chronic absence rate,10.02,-0.4966,18.06,,,%
Attleboro,Attleboro High School,3-A-i,Average class size,18.1,-0.2475,18.92,,,
Attleboro,Attleboro High School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Attleboro High School,3-A-ii,Student to art teacher ratio,1639,4.6216,472.08,,,
Attleboro,Attleboro High School,3-A-ii,Student to counselor ratio,192.82,-0.7135,365.89,,,
Attleboro,Attleboro High School,3-A-ii,Student to instructional support staff ratio,163.9,-0.3112,236.29,,,
Attleboro,Attleboro High School,3-B-i,Student to number of electives ratio (HS only),11.52,-1.0867,14.55,,,
Attleboro,Attleboro High School,3-B-i,Percent graduates completing MassCORE (HS only),81.8,-1.3712,88.85,,,%
Attleboro,Attleboro High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),31.5,0.0285,30.87,,,%
Attleboro,Attleboro High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),61.9,0.1844,54.72,,,%
Attleboro,Attleboro High School,3-B-iii,Student to co-curricular activities ratio (HS only),62.04,,,,,
Attleboro,Attleboro High School,4-B-ii,4-year on-time graduation rate (HS only),91,5.2261,68.14,,,%
Attleboro,Attleboro High School,4-B-ii,5-year graduation rate (HS only),88.1,5.1763,73.15,,,%
Attleboro,Attleboro High School,4-D-i,College enrollment rate (HS only),69.5,-0.5866,77.37,,,%
Attleboro,Attleboro High School,4-D-ii,Percent positive work placement (HS only),96.5,,,,,%
Attleboro,Attleboro High School,4-D-ii,Student to career-technical education courses (HS only),139.58,,,,,
Attleboro,Attleboro High School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Attleboro High School,5-D-ii,Medical staff to student ratio,1560.95,4.0743,577.41,,,
Attleboro,Cyril K. Brennan Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Cyril K. Brennan Middle School,1-A-i,Percentage teachers with 5+ years of experience,83,1.1257,67.41,,,%
Attleboro,Cyril K. Brennan Middle School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Cyril K. Brennan Middle School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Cyril K. Brennan Middle School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Cyril K. Brennan Middle School,2-A-i,Violent incidents per student,0.005,-0.264,0.02,,,
Attleboro,Cyril K. Brennan Middle School,2-C-i,Average daily attendance,95.6,0.1957,94.57,,,%
Attleboro,Cyril K. Brennan Middle School,2-C-i,Chronic absence rate,9.08,-0.5547,18.06,,,%
Attleboro,Cyril K. Brennan Middle School,3-A-i,Average class size,20.8,0.5653,18.92,,,
Attleboro,Cyril K. Brennan Middle School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Cyril K. Brennan Middle School,3-A-ii,Student to art teacher ratio,558,0.3403,472.08,,,
Attleboro,Cyril K. Brennan Middle School,3-A-ii,Student to counselor ratio,1116,3.0923,365.89,,,
Attleboro,Cyril K. Brennan Middle School,3-A-ii,Student to instructional support staff ratio,372,0.5835,236.29,,,
Attleboro,Cyril K. Brennan Middle School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Cyril K. Brennan Middle School,5-D-ii,Medical staff to student ratio,531.43,-0.1905,577.41,,,
Attleboro,Robert J. Coelho Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Robert J. Coelho Middle School,1-A-i,Percentage teachers with 5+ years of experience,83,1.1257,67.41,,,%
Attleboro,Robert J. Coelho Middle School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Robert J. Coelho Middle School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Robert J. Coelho Middle School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Robert J. Coelho Middle School,2-A-i,Violent incidents per student,0.009,-0.2002,0.02,,,
Attleboro,Robert J. Coelho Middle School,2-C-i,Average daily attendance,97.4,0.537,94.57,,,%
Attleboro,Robert J. Coelho Middle School,2-C-i,Chronic absence rate,6,-0.7449,18.06,,,%
Attleboro,Robert J. Coelho Middle School,3-A-i,Average class size,24.3,1.6191,18.92,,,
Attleboro,Robert J. Coelho Middle School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Robert J. Coelho Middle School,3-A-ii,Student to art teacher ratio,672,0.7918,472.08,,,
Attleboro,Robert J. Coelho Middle School,3-A-ii,Student to counselor ratio,197.65,-0.6936,365.89,,,
Attleboro,Robert J. Coelho Middle School,3-A-ii,Student to instructional support staff ratio,1344,4.7626,236.29,,,
Attleboro,Robert J. Coelho Middle School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Robert J. Coelho Middle School,5-D-ii,Medical staff to student ratio,640,0.2593,577.41,,,
Attleboro,Wamsutta Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Wamsutta Middle School,1-A-i,Percentage teachers with 5+ years of experience,86,1.3424,67.41,,,%
Attleboro,Wamsutta Middle School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Wamsutta Middle School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Wamsutta Middle School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Wamsutta Middle School,2-A-i,Violent incidents per student,0.005,-0.2672,0.02,,,
Attleboro,Wamsutta Middle School,2-C-i,Average daily attendance,97.1,0.4801,94.57,,,%
Attleboro,Wamsutta Middle School,2-C-i,Chronic absence rate,5.9,-0.751,18.06,,,%
Attleboro,Wamsutta Middle School,3-A-i,Average class size,21.8,0.8664,18.92,,,
Attleboro,Wamsutta Middle School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Wamsutta Middle School,3-A-ii,Student to art teacher ratio,577,0.4155,472.08,,,
Attleboro,Wamsutta Middle School,3-A-ii,Student to counselor ratio,274.76,-0.3757,365.89,,,
Attleboro,Wamsutta Middle School,3-A-ii,Student to instructional support staff ratio,1154,3.9457,236.29,,,
Attleboro,Wamsutta Middle School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Wamsutta Middle School,5-D-ii,Medical staff to student ratio,549.52,-0.1155,577.41,,,
Attleboro,Hill-Roberts Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Hill-Roberts Elementary School,1-A-i,Percentage teachers with 5+ years of experience,71,0.2591,67.41,,,%
Attleboro,Hill-Roberts Elementary School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Hill-Roberts Elementary School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Hill-Roberts Elementary School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Hill-Roberts Elementary School,2-A-i,Violent incidents per student,0.01,-0.1308,0.02,,,
Attleboro,Hill-Roberts Elementary School,2-C-i,Average daily attendance,97,0.4612,94.57,,,%
Attleboro,Hill-Roberts Elementary School,2-C-i,Chronic absence rate,9.2,-0.5473,18.06,,,%
Attleboro,Hill-Roberts Elementary School,3-A-i,Average class size,23.9,1.4986,18.92,,,
Attleboro,Hill-Roberts Elementary School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Hill-Roberts Elementary School,3-A-ii,Student to art teacher ratio,469,-0.0122,472.08,,,
Attleboro,Hill-Roberts Elementary School,3-A-ii,Student to counselor ratio,360.77,-0.0211,365.89,,,
Attleboro,Hill-Roberts Elementary School,3-A-ii,Student to instructional support staff ratio,469,1.0005,236.29,,,
Attleboro,Hill-Roberts Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Hill-Roberts Elementary School,5-D-ii,Medical staff to student ratio,446.67,-0.5416,577.41,,,
Attleboro,Hyman Fine Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Hyman Fine Elementary School,1-A-i,Percentage teachers with 5+ years of experience,82,1.0535,67.41,,,%
Attleboro,Hyman Fine Elementary School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Hyman Fine Elementary School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Hyman Fine Elementary School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Hyman Fine Elementary School,2-A-i,Violent incidents per student,0.004,-0.2826,0.02,,,
Attleboro,Hyman Fine Elementary School,2-C-i,Average daily attendance,97.4,0.537,94.57,,,%
Attleboro,Hyman Fine Elementary School,2-C-i,Chronic absence rate,5.06,-0.8029,18.06,,,%
Attleboro,Hyman Fine Elementary School,3-A-i,Average class size,22.4,1.047,18.92,,,
Attleboro,Hyman Fine Elementary School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Hyman Fine Elementary School,3-A-ii,Student to art teacher ratio,461,-0.0439,472.08,,,
Attleboro,Hyman Fine Elementary School,3-A-ii,Student to counselor ratio,307.33,-0.2414,365.89,,,
Attleboro,Hyman Fine Elementary School,3-A-ii,Student to instructional support staff ratio,76.83,-0.6856,236.29,,,
Attleboro,Hyman Fine Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Hyman Fine Elementary School,5-D-ii,Medical staff to student ratio,439.05,-0.5732,577.41,,,
Attleboro,A. Irvin Studley Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,A. Irvin Studley Elementary School,1-A-i,Percentage teachers with 5+ years of experience,88,1.4869,67.41,,,%
Attleboro,A. Irvin Studley Elementary School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,A. Irvin Studley Elementary School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,A. Irvin Studley Elementary School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,A. Irvin Studley Elementary School,2-A-i,Violent incidents per student,0.004,-0.2798,0.02,,,
Attleboro,A. Irvin Studley Elementary School,2-C-i,Average daily attendance,97.4,0.537,94.57,,,%
Attleboro,A. Irvin Studley Elementary School,2-C-i,Chronic absence rate,5.07,-0.8023,18.06,,,%
Attleboro,A. Irvin Studley Elementary School,3-A-i,Average class size,20.5,0.475,18.92,,,
Attleboro,A. Irvin Studley Elementary School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,A. Irvin Studley Elementary School,3-A-ii,Student to art teacher ratio,445,-0.1072,472.08,,,
Attleboro,A. Irvin Studley Elementary School,3-A-ii,Student to counselor ratio,423.81,0.2388,365.89,,,
Attleboro,A. Irvin Studley Elementary School,3-A-ii,Student to instructional support staff ratio,39.56,-0.8458,236.29,,,
Attleboro,A. Irvin Studley Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,A. Irvin Studley Elementary School,5-D-ii,Medical staff to student ratio,423.81,-0.6363,577.41,,,
Attleboro,Peter Thacher Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Peter Thacher Elementary School,1-A-i,Percentage teachers with 5+ years of experience,94,1.9202,67.41,,,%
Attleboro,Peter Thacher Elementary School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Peter Thacher Elementary School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Peter Thacher Elementary School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Peter Thacher Elementary School,2-A-i,Violent incidents per student,0.01,-0.1749,0.02,,,
Attleboro,Peter Thacher Elementary School,2-C-i,Average daily attendance,97.4,0.537,94.57,,,%
Attleboro,Peter Thacher Elementary School,2-C-i,Chronic absence rate,6.6,-0.7078,18.06,,,%
Attleboro,Peter Thacher Elementary School,3-A-i,Average class size,16.5,-0.7292,18.92,,,
Attleboro,Peter Thacher Elementary School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Peter Thacher Elementary School,3-A-ii,Student to art teacher ratio,387,-0.3369,472.08,,,
Attleboro,Peter Thacher Elementary School,3-A-ii,Student to counselor ratio,322.5,-0.1789,365.89,,,
Attleboro,Peter Thacher Elementary School,3-A-ii,Student to instructional support staff ratio,20.92,-0.926,236.29,,,
Attleboro,Peter Thacher Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Peter Thacher Elementary School,5-D-ii,Medical staff to student ratio,368.57,-0.8651,577.41,,,
Attleboro,Thomas Willett Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,0.3093,99.81,,,%
Attleboro,Thomas Willett Elementary School,1-A-i,Percentage teachers with 5+ years of experience,86,1.3424,67.41,,,%
Attleboro,Thomas Willett Elementary School,1-A-i,Percentage teachers National Board certified,,,1.91,,,%
Attleboro,Thomas Willett Elementary School,1-B-i,Percent teacher returning (excluding retirement),97,0.6459,92.26,,,%
Attleboro,Thomas Willett Elementary School,1-B-ii,Professional development spending per teacher,,,2052,,,$
Attleboro,Thomas Willett Elementary School,2-A-i,Violent incidents per student,0.007,-0.2421,0.02,,,
Attleboro,Thomas Willett Elementary School,2-C-i,Average daily attendance,97.3,0.5181,94.57,,,%
Attleboro,Thomas Willett Elementary School,2-C-i,Chronic absence rate,7.06,-0.6794,18.06,,,%
Attleboro,Thomas Willett Elementary School,3-A-i,Average class size,21.7,0.8363,18.92,,,
Attleboro,Thomas Willett Elementary School,3-A-i,Student to technology ratio,0.33,-1.1679,1.08,,,
Attleboro,Thomas Willett Elementary School,3-A-ii,Student to art teacher ratio,455,-0.0676,472.08,,,
Attleboro,Thomas Willett Elementary School,3-A-ii,Student to counselor ratio,910,2.2431,365.89,,,
Attleboro,Thomas Willett Elementary School,3-A-ii,Student to instructional support staff ratio,101.11,-0.5812,236.29,,,
Attleboro,Thomas Willett Elementary School,5-C-i,Hours of arts instruction per student per week,,,1.52,,,
Attleboro,Thomas Willett Elementary School,5-D-ii,Medical staff to student ratio,433.33,-0.5968,577.41,,,
Revere,Revere High School,1-A-i,Percentage teachers teaching in area of licensure,98,-2.9376,99.81,,,%
Revere,Revere High School,1-A-i,Percentage teachers with 5+ years of experience,66,-0.102,67.41,,,%
Revere,Revere High School,1-A-i,Percentage teachers National Board certified,2.4,0.1693,1.91,,,%
Revere,Revere High School,1-B-i,Percent teacher returning (excluding retirement),95,0.3732,92.26,,,%
Revere,Revere High School,1-B-ii,Professional development spending per teacher,1000,-0.8185,2052,,,$
Revere,Revere High School,2-A-i,Violent incidents per student,0.004,-0.2878,0.02,,,
Revere,Revere High School,2-C-i,Average daily attendance,94,-0.1076,94.57,,,%
Revere,Revere High School,2-C-i,Chronic absence rate,13,-0.3127,18.06,,,%
Revere,Revere High School,3-A-i,Average class size,15.7,-0.9701,18.92,,,
Revere,Revere High School,3-A-i,Student to technology ratio,1,-0.1266,1.08,,,
Revere,Revere High School,3-A-ii,Student to art teacher ratio,20,-1.7905,472.08,,,
Revere,Revere High School,3-A-ii,Student to counselor ratio,234,-0.5437,365.89,,,
Revere,Revere High School,3-A-ii,Student to instructional support staff ratio,1870,7.0241,236.29,,,
Revere,Revere High School,3-B-i,Student to number of electives ratio (HS only),17.01,0.8814,14.55,,,
Revere,Revere High School,3-B-i,Percent graduates completing MassCORE (HS only),94,1.0016,88.85,,,%
Revere,Revere High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),50,0.872,30.87,,,%
Revere,Revere High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),65,0.2641,54.72,,,%
