District,School,Category,NonLikert Title,NL_Value,,Z-Score,B_MCIEA,B_Expert,B_ExpertDesc,NL_DataType
Attleboro,A. Irvin Studley Elementary School,4-A-i,Student Growth Percentile (ELA),41.5,2.1,-0.9,49.1,50,State average,
Attleboro,A. Irvin Studley Elementary School,4-A-i,Student Growth Percentile (Math),53.5,2.7,-0.3,47,50,State average,
Attleboro,Cyril K. Brennan Middle School,4-A-i,Student Growth Percentile (ELA),48,2.4,-0.6,49.1,50,State average,
Attleboro,Cyril K. Brennan Middle School,4-A-i,Student Growth Percentile (Math),35,1.8,-1.2,47,50,State average,
Attleboro,Hill-Roberts Elementary School,4-A-i,Student Growth Percentile (ELA),35,1.8,-1.2,49.1,50,State average,
Attleboro,Hill-Roberts Elementary School,4-A-i,Student Growth Percentile (Math),51,2.6,-0.4,47,50,State average,
Attleboro,Hyman Fine Elementary School,4-A-i,Student Growth Percentile (ELA),84,4.2,1.2,49.1,50,State average,
Attleboro,Hyman Fine Elementary School,4-A-i,Student Growth Percentile (Math),81,4.1,1.1,47,50,State average,
Attleboro,Peter Thacher Elementary School,4-A-i,Student Growth Percentile (ELA),73,3.7,0.7,49.1,50,State average,
Attleboro,Peter Thacher Elementary School,4-A-i,Student Growth Percentile (Math),72,3.6,0.6,47,50,State average,
Attleboro,Robert J. Coelho Middle School,4-A-i,Student Growth Percentile (ELA),49,2.5,-0.5,49.1,50,State average,
Attleboro,Robert J. Coelho Middle School,4-A-i,Student Growth Percentile (Math),44.5,2.2,-0.8,47,50,State average,
Attleboro,Thomas Willett Elementary School,4-A-i,Student Growth Percentile (ELA),56.5,2.8,-0.2,49.1,50,State average,
Attleboro,Thomas Willett Elementary School,4-A-i,Student Growth Percentile (Math),50,2.5,-0.5,47,50,State average,
Attleboro,Wamsutta Middle School,4-A-i,Student Growth Percentile (ELA),39,2,-1,49.1,50,State average,
Attleboro,Wamsutta Middle School,4-A-i,Student Growth Percentile (Math),36,1.8,-1.2,47,50,State average,
Boston,Blackstone Elementary,4-A-i,Student Growth Percentile (ELA),49,2.5,-0.5,49.1,50,State average,
Boston,Blackstone Elementary,4-A-i,Student Growth Percentile (Math),51,2.6,-0.4,47,50,State average,
Boston,Boston Latin School,4-A-i,"Student Growth Percentile (ELA, middle school only)",45,2.3,-0.7,49.1,50,State average,
Boston,Boston Latin School,4-A-i,"Student Growth Percentile (Math, middle school only)",34,1.7,-1.3,47,50,State average,
Boston,Boston Latin Academy,4-A-i,"Student Growth Percentile (ELA, middle school only)",30,1.5,-1.5,49.1,50,State average,
Boston,Boston Latin Academy,4-A-i,"Student Growth Percentile (Math, middle school only)",28,1.4,-1.6,47,50,State average,
Boston,Boston Teachers Union K-8,4-A-i,Student Growth Percentile (ELA),58,2.9,-0.1,49.1,50,State average,
Boston,Boston Teachers Union K-8,4-A-i,Student Growth Percentile (Math),45,2.3,-0.7,47,50,State average,
Boston,Taylor Elementary,4-A-i,Student Growth Percentile (ELA),69,3.5,0.5,49.1,50,State average,
Boston,Taylor Elementary,4-A-i,Student Growth Percentile (Math),71.5,3.6,0.6,47,50,State average,
Boston,Sumner Elementary,4-A-i,Student Growth Percentile (ELA),41,2.1,-0.9,49.1,50,State average,
Boston,Sumner Elementary,4-A-i,Student Growth Percentile (Math),49.5,2.5,-0.5,47,50,State average,
Boston,Edwards Middle,4-A-i,Student Growth Percentile (ELA),62,3.1,0.1,49.1,50,State average,
Boston,Edwards Middle,4-A-i,Student Growth Percentile (Math),37,1.9,-1.1,47,50,State average,
Boston,Condon Elementary,4-A-i,Student Growth Percentile (ELA),44,2.2,-0.8,49.1,50,State average,
Boston,Condon Elementary,4-A-i,Student Growth Percentile (Math),46,2.3,-0.7,47,50,State average,
Boston,Curley K-8,4-A-i,Student Growth Percentile (ELA),42.5,2.1,-0.9,49.1,50,State average,
Boston,Curley K-8,4-A-i,Student Growth Percentile (Math),36.5,1.8,-1.2,47,50,State average,
Boston,Guild Elementary,4-A-i,Student Growth Percentile (ELA),52,2.6,-0.4,49.1,50,State average,
Boston,Guild Elementary,4-A-i,Student Growth Percentile (Math),52,2.6,-0.4,47,50,State average,
Boston,Ellis Elementary,4-A-i,Student Growth Percentile (ELA),36,1.8,-1.2,49.1,50,State average,
Boston,Ellis Elementary,4-A-i,Student Growth Percentile (Math),47.5,2.4,-0.6,47,50,State average,
Boston,Henry Dearborn STEM Academy,4-A-i,Student Growth Percentile (ELA),35,1.8,-1.2,49.1,50,State average,
Boston,Henry Dearborn STEM Academy,4-A-i,Student Growth Percentile (Math),39,2,-1,47,50,State average,
Boston,Haley K-8,4-A-i,Student Growth Percentile (ELA),42,2.1,-0.9,49.1,50,State average,
Boston,Haley K-8,4-A-i,Student Growth Percentile (Math),43.5,2.2,-0.8,47,50,State average,
Boston,McKay K-8,4-A-i,Student Growth Percentile (ELA),54,2.7,-0.3,49.1,50,State average,
Boston,McKay K-8,4-A-i,Student Growth Percentile (Math),40,2,-1,47,50,State average,
Boston,Henderson K-12,4-A-i,"Student Growth Percentile (ELA, grades 4-8 only)",45.5,2.3,-0.7,49.1,50,State average,
Boston,Henderson K-12,4-A-i,"Student Growth Percentile (Math, grades 4-8 only)",44.5,2.2,-0.8,47,50,State average,
Boston,Edison K-8,4-A-i,Student Growth Percentile (ELA),38,1.9,-1.1,49.1,50,State average,
Boston,Edison K-8,4-A-i,Student Growth Percentile (Math),37,1.9,-1.1,47,50,State average,
Boston,Everett Elementary,4-A-i,Student Growth Percentile (ELA),47.5,2.4,-0.6,49.1,50,State average,
Boston,Everett Elementary,4-A-i,Student Growth Percentile (Math),59,3,0,47,50,State average,
Boston,Eliot K-8,4-A-i,Student Growth Percentile (ELA),47,2.4,-0.6,49.1,50,State average,
Boston,Eliot K-8,4-A-i,Student Growth Percentile (Math),41,2.1,-0.9,47,50,State average,
Boston,Mendell Elementary,4-A-i,Student Growth Percentile (ELA),37,1.9,-1.1,49.1,50,State average,
Boston,Mendell Elementary,4-A-i,Student Growth Percentile (Math),37,1.9,-1.1,47,50,State average,
Boston,"Roosevelt (Upper School, grades 2-8)",4-A-i,Student Growth Percentile (ELA),60,3,0,49.1,50,State average,
Boston,"Roosevelt (Upper School, grades 2-8)",4-A-i,Student Growth Percentile (Math),49,2.5,-0.5,47,50,State average,
Boston,Gardner Pilot Academy,4-A-i,Student Growth Percentile (ELA),40,2,-1,49.1,50,State average,
Boston,Gardner Pilot Academy,4-A-i,Student Growth Percentile (Math),48,2.4,-0.6,47,50,State average,
Boston,Conley Elementary,4-A-i,Student Growth Percentile (ELA),54,2.7,-0.3,49.1,50,State average,
Boston,Conley Elementary,4-A-i,Student Growth Percentile (Math),51,2.6,-0.4,47,50,State average,
Boston,Harvard/Kent Elementary,4-A-i,Student Growth Percentile (ELA),47,2.4,-0.6,49.1,50,State average,
Boston,Harvard/Kent Elementary,4-A-i,Student Growth Percentile (Math),40,2,-1,47,50,State average,
Boston,Grew Elementary,4-A-i,Student Growth Percentile (ELA),48,2.4,-0.6,49.1,50,State average,
Boston,Grew Elementary,4-A-i,Student Growth Percentile (Math),49.5,2.5,-0.5,47,50,State average,
Boston,Higginson/Lewis K-8,4-A-i,Student Growth Percentile (ELA),34,1.7,-1.3,49.1,50,State average,
Boston,Higginson/Lewis K-8,4-A-i,Student Growth Percentile (Math),26.5,1.3,-1.7,47,50,State average,
Boston,O'Donnell Elementary,4-A-i,Student Growth Percentile (ELA),69.5,3.5,0.5,49.1,50,State average,
Boston,O'Donnell Elementary,4-A-i,Student Growth Percentile (Math),74,3.7,0.7,47,50,State average,
Boston,Jackson/Mann K-8,4-A-i,Student Growth Percentile (ELA),45,2.3,-0.7,49.1,50,State average,
Boston,Jackson/Mann K-8,4-A-i,Student Growth Percentile (Math),40,2,-1,47,50,State average,
Boston,Chittick Elementary,4-A-i,Student Growth Percentile (ELA),52,2.6,-0.4,49.1,50,State average,
Boston,Chittick Elementary,4-A-i,Student Growth Percentile (Math),37,1.9,-1.1,47,50,State average,
Boston,Otis Elementary,4-A-i,Student Growth Percentile (ELA),38,1.9,-1.1,49.1,50,State average,
Boston,Otis Elementary,4-A-i,Student Growth Percentile (Math),50.5,2.5,-0.5,47,50,State average,
Boston,Timilty Middle,4-A-i,Student Growth Percentile (ELA),62,3.1,0.1,49.1,50,State average,
Boston,Timilty Middle,4-A-i,Student Growth Percentile (Math),43,2.2,-0.8,47,50,State average,
Boston,Hennigan Elementary,4-A-i,Student Growth Percentile (ELA),45,2.3,-0.7,49.1,50,State average,
Boston,Hennigan Elementary,4-A-i,Student Growth Percentile (Math),42,2.1,-0.9,47,50,State average,
Boston,Philbrick Elementary,4-A-i,Student Growth Percentile (ELA),40,2,-1,49.1,50,State average,
Boston,Philbrick Elementary,4-A-i,Student Growth Percentile (Math),29,1.5,-1.5,47,50,State average,
Boston,John F. Kennedy Elementary,4-A-i,Student Growth Percentile (ELA),39.5,2,-1,49.1,50,State average,
Boston,John F. Kennedy Elementary,4-A-i,Student Growth Percentile (Math),16,0.8,-2.2,47,50,State average,
Boston,McCormack Middle,4-A-i,Student Growth Percentile (ELA),41,2.1,-0.9,49.1,50,State average,
Boston,McCormack Middle,4-A-i,Student Growth Percentile (Math),44,2.2,-0.8,47,50,State average,
Boston,Winthrop Elementary,4-A-i,Student Growth Percentile (ELA),53,2.7,-0.3,49.1,50,State average,
Boston,Winthrop Elementary,4-A-i,Student Growth Percentile (Math),72,3.6,0.6,47,50,State average,
Boston,Hurley K-8,4-A-i,Student Growth Percentile (ELA),53,2.7,-0.3,49.1,50,State average,
Boston,Hurley K-8,4-A-i,Student Growth Percentile (Math),41,2.1,-0.9,47,50,State average,
Boston,Lee K-8,4-A-i,Student Growth Percentile (ELA),49.5,2.5,-0.5,49.1,50,State average,
Boston,Lee K-8,4-A-i,Student Growth Percentile (Math),41.5,2.1,-0.9,47,50,State average,
Boston,Manning Elementary,4-A-i,Student Growth Percentile (ELA),54,2.7,-0.3,49.1,50,State average,
Boston,Manning Elementary,4-A-i,Student Growth Percentile (Math),42,2.1,-0.9,47,50,State average,
Boston,Tynan Elementary,4-A-i,Student Growth Percentile (ELA),46,2.3,-0.7,49.1,50,State average,
Boston,Tynan Elementary,4-A-i,Student Growth Percentile (Math),56,2.8,-0.2,47,50,State average,
Boston,Quincy Elementary,4-A-i,Student Growth Percentile (ELA),61,3.1,0.1,49.1,50,State average,
Boston,Quincy Elementary,4-A-i,Student Growth Percentile (Math),57,2.9,-0.1,47,50,State average,
Boston,Kilmer K-8,4-A-i,Student Growth Percentile (ELA),52,2.6,-0.4,49.1,50,State average,
