District,School,Category,NonLikert Title,NL_Value,Likert_Value,Benchmark,Data Type
Attleboro,Attleboro High School,1-A-i,Percentage teachers teaching in area of licensure,97.8,4.1,95,%
Attleboro,Attleboro High School,1-A-i,Percentage teachers with 5+ years of experience,63.3,3.2,80,%
Attleboro,Attleboro High School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Attleboro High School,1-B-i,Percent teacher returning (excluding retirement),100,4.7,85,%
Attleboro,Attleboro High School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Attleboro High School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Attleboro,Attleboro High School,2-C-i,Average daily attendance,93.5,4.2,90,%
Attleboro,Attleboro High School,2-C-i,Chronic absence rate,17.1,1.1875,10,%
Attleboro,Attleboro High School,3-A-i,Average class size,21.5,3.7,20,
Attleboro,Attleboro High School,3-A-i,Student to technology ratio,2.2,3,3,
Attleboro,Attleboro High School,3-A-ii,Student to art teacher ratio,164.9,5,500,
Attleboro,Attleboro High School,3-A-ii,Student to counselor ratio,373.8,2.03125,250,
Attleboro,Attleboro High School,3-A-ii,Student to instructional support staff ratio,128.4,,,
Attleboro,Attleboro High School,3-B-i,Student to number of electives ratio (HS only),9.6,,,
Attleboro,Attleboro High School,3-B-i,Percent graduates completing MassCORE (HS only),,,90,%
Attleboro,Attleboro High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),,,30,%
Attleboro,Attleboro High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),,,20,%
Attleboro,Attleboro High School,3-B-iII,Student to co-curricular activities ratio (HS only),56.1,,,
Attleboro,Attleboro High School,4-B-ii,4-year on-time graduation rate (HS only),93.3,4.7,80,%
Attleboro,Attleboro High School,4-B-ii,5-year graduation rate (HS only),92,4.3,85,%
Attleboro,Attleboro High School,4-D-i,College enrollment rate (HS only),,,,%
Attleboro,Attleboro High School,4-D-ii,Percent positive work placement (HS only),,,,%
Attleboro,Attleboro High School,4-D-ii,Student to career-technical education courses (HS only),129.4,,,
Attleboro,Attleboro High School,5-C-i,Hours of arts instruction per student per week,0.2,0.4,2,hours
Attleboro,Attleboro High School,5-D-ii,Medical staff to student ratio,646.9,4.5625,750,
Attleboro,Cyril K. Brennan Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,Cyril K. Brennan Middle School,1-A-i,Percentage teachers with 5+ years of experience,77.8,3.9,80,%
Attleboro,Cyril K. Brennan Middle School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Cyril K. Brennan Middle School,1-B-i,Percent teacher returning (excluding retirement),97.2,4.6,85,%
Attleboro,Cyril K. Brennan Middle School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Cyril K. Brennan Middle School,2-A-i,Student to violent incidents ratio,0,,0.02,
Attleboro,Cyril K. Brennan Middle School,2-C-i,Average daily attendance,95,4.2,90,%
Attleboro,Cyril K. Brennan Middle School,2-C-i,Chronic absence rate,15.5,1.8125,10,%
Attleboro,Cyril K. Brennan Middle School,3-A-i,Average class size,23.3,3.4,20,
Attleboro,Cyril K. Brennan Middle School,3-A-i,Student to technology ratio,1.3,1.8,3,
Attleboro,Cyril K. Brennan Middle School,3-A-ii,Student to art teacher ratio,198,5,500,
Attleboro,Cyril K. Brennan Middle School,3-A-ii,Student to counselor ratio,594,0,250,
Attleboro,Cyril K. Brennan Middle School,3-A-ii,Student to instructional support staff ratio,525.7,,,
Attleboro,Cyril K. Brennan Middle School,5-C-i,Hours of arts instruction per student per week,2.5,5,2,hours
Attleboro,Cyril K. Brennan Middle School,5-D-ii,Medical staff to student ratio,297,,750,
Attleboro,Robert J. Coelho Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,Robert J. Coelho Middle School,1-A-i,Percentage teachers with 5+ years of experience,76.3,3.8,80,%
Attleboro,Robert J. Coelho Middle School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Robert J. Coelho Middle School,1-B-i,Percent teacher returning (excluding retirement),100,4.7,85,%
Attleboro,Robert J. Coelho Middle School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Robert J. Coelho Middle School,2-A-i,Student to violent incidents ratio,0,,0.02,
Attleboro,Robert J. Coelho Middle School,2-C-i,Average daily attendance,95.6,4.2,90,%
Attleboro,Robert J. Coelho Middle School,2-C-i,Chronic absence rate,9.6,4.1875,10,%
Attleboro,Robert J. Coelho Middle School,3-A-i,Average class size,27.4,2.6,20,
Attleboro,Robert J. Coelho Middle School,3-A-i,Student to technology ratio,1.4,1.8,3,
Attleboro,Robert J. Coelho Middle School,3-A-ii,Student to art teacher ratio,226,5,500,
Attleboro,Robert J. Coelho Middle School,3-A-ii,Student to counselor ratio,226,4.40625,250,
Attleboro,Robert J. Coelho Middle School,3-A-ii,Student to instructional support staff ratio,216.6,,,
Attleboro,Robert J. Coelho Middle School,5-C-i,Hours of arts instruction per student per week,2.5,5,2,hours
Attleboro,Robert J. Coelho Middle School,5-D-ii,Medical staff to student ratio,678,4.390625,750,
Attleboro,Wamsutta Middle School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,Wamsutta Middle School,1-A-i,Percentage teachers with 5+ years of experience,91.2,4.6,80,%
Attleboro,Wamsutta Middle School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Wamsutta Middle School,1-B-i,Percent teacher returning (excluding retirement),100,4.7,85,%
Attleboro,Wamsutta Middle School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Wamsutta Middle School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Attleboro,Wamsutta Middle School,2-C-i,Average daily attendance,95.6,4.2,90,%
Attleboro,Wamsutta Middle School,2-C-i,Chronic absence rate,7.8,4.90625,10,%
Attleboro,Wamsutta Middle School,3-A-i,Average class size,25.2,3,20,
Attleboro,Wamsutta Middle School,3-A-i,Student to technology ratio,1.3,1.7,3,
Attleboro,Wamsutta Middle School,3-A-ii,Student to art teacher ratio,189.7,5,500,
Attleboro,Wamsutta Middle School,3-A-ii,Student to counselor ratio,379.3,1.9375,250,
Attleboro,Wamsutta Middle School,3-A-ii,Student to instructional support staff ratio,347,,,
Attleboro,Wamsutta Middle School,5-D-ii,Hours of arts instruction per student per week,2.5,5,2,hours
Attleboro,Wamsutta Middle School,5-D-ii,Medical staff to student ratio,569,4.96875,750,
Attleboro,Hill-Roberts Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,Hill-Roberts Elementary School,1-A-i,Percentage teachers with 5+ years of experience,48.3,2.4,80,%
Attleboro,Hill-Roberts Elementary School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Hill-Roberts Elementary School,1-B-i,Percent teacher returning (excluding retirement),100,4.7,85,%
Attleboro,Hill-Roberts Elementary School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Hill-Roberts Elementary School,2-A-i,Student to violent incidents ratio,0,,0.02,
Attleboro,Hill-Roberts Elementary School,2-C-i,Average daily attendance,95.2,4.2,90,%
Attleboro,Hill-Roberts Elementary School,2-C-i,Chronic absence rate,9.6,4.1875,10,%
Attleboro,Hill-Roberts Elementary School,3-A-i,Average class size,24.3,3.2,20,
Attleboro,Hill-Roberts Elementary School,3-A-i,Student to technology ratio,1.8,2.4,3,
Attleboro,Hill-Roberts Elementary School,3-A-ii,Student to art teacher ratio,230.5,5,500,
Attleboro,Hill-Roberts Elementary School,3-A-ii,Student to counselor ratio,307.3,3.09375,250,
Attleboro,Hill-Roberts Elementary School,3-A-ii,Student to instructional support staff ratio,271.2,,,
Attleboro,Hill-Roberts Elementary School,5-C-i,Hours of arts instruction per student per week,2.5,5,2,hours
Attleboro,Hill-Roberts Elementary School,5-D-ii,Medical staff to student ratio,461,,750,
Attleboro,Hyman Fine Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,Hyman Fine Elementary School,1-A-i,Percentage teachers with 5+ years of experience,75,3.8,80,%
Attleboro,Hyman Fine Elementary School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Hyman Fine Elementary School,1-B-i,Percent teacher returning (excluding retirement),100,4.7,85,%
Attleboro,Hyman Fine Elementary School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Hyman Fine Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Attleboro,Hyman Fine Elementary School,2-C-i,Average daily attendance,96,4.3,90,%
Attleboro,Hyman Fine Elementary School,2-C-i,Chronic absence rate,5.7,5,10,%
Attleboro,Hyman Fine Elementary School,3-A-i,Average class size,26,2.8,20,
Attleboro,Hyman Fine Elementary School,3-A-i,Student to technology ratio,1.7,2.2,3,
Attleboro,Hyman Fine Elementary School,3-A-ii,Student to art teacher ratio,238.5,5,500,
Attleboro,Hyman Fine Elementary School,3-A-ii,Student to counselor ratio,318,2.9375,250,
Attleboro,Hyman Fine Elementary School,3-A-ii,Student to instructional support staff ratio,280.6,,,
Attleboro,Hyman Fine Elementary School,5-C-i,Hours of arts instruction per student per week,2,4,2,hours
Attleboro,Hyman Fine Elementary School,5-D-ii,Medical staff to student ratio,477,,750,
Attleboro,A. Irvin Studley Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,A. Irvin Studley Elementary School,1-A-i,Percentage teachers with 5+ years of experience,86.2,4.3,80,%
Attleboro,A. Irvin Studley Elementary School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,A. Irvin Studley Elementary School,1-B-i,Percent teacher returning (excluding retirement),100,4.7,85,%
Attleboro,A. Irvin Studley Elementary School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,A. Irvin Studley Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Attleboro,A. Irvin Studley Elementary School,2-C-i,Average daily attendance,96.3,4.3,90,%
Attleboro,A. Irvin Studley Elementary School,2-C-i,Chronic absence rate,5.6,5,10,%
Attleboro,A. Irvin Studley Elementary School,3-A-i,Average class size,23,3.4,20,
Attleboro,A. Irvin Studley Elementary School,3-A-i,Student to technology ratio,1.9,2.6,3,
Attleboro,A. Irvin Studley Elementary School,3-A-ii,Student to art teacher ratio,192,5,500,
Attleboro,A. Irvin Studley Elementary School,3-A-ii,Student to counselor ratio,192,4.9375,250,
Attleboro,A. Irvin Studley Elementary School,3-A-ii,Student to instructional support staff ratio,174.5,,,
Attleboro,A. Irvin Studley Elementary School,5-C-i,Hours of arts instruction per student per week,2.3,4.6,2,hours
Attleboro,A. Irvin Studley Elementary School,5-D-ii,Medical staff to student ratio,384,,750,
Attleboro,Peter Thacher Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,Peter Thacher Elementary School,1-A-i,Percentage teachers with 5+ years of experience,75.6,3.8,80,%
Attleboro,Peter Thacher Elementary School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Peter Thacher Elementary School,1-B-i,Percent teacher returning (excluding retirement),97.6,4.6,85,%
Attleboro,Peter Thacher Elementary School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Peter Thacher Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Attleboro,Peter Thacher Elementary School,2-C-i,Average daily attendance,95,4.2,90,%
Attleboro,Peter Thacher Elementary School,2-C-i,Chronic absence rate,12.5,3,10,%
Attleboro,Peter Thacher Elementary School,3-A-i,Average class size,25,3,20,
Attleboro,Peter Thacher Elementary School,3-A-i,Student to technology ratio,3.1,4.1,3,
Attleboro,Peter Thacher Elementary School,3-A-ii,Student to art teacher ratio,324,5,500,
Attleboro,Peter Thacher Elementary School,3-A-ii,Student to counselor ratio,324,2.84375,250,
Attleboro,Peter Thacher Elementary School,3-A-ii,Student to instructional support staff ratio,249.2,,,
Attleboro,Peter Thacher Elementary School,5-C-i,Hours of arts instruction per student per week,2,4,2,hours
Attleboro,Peter Thacher Elementary School,5-D-ii,Medical staff to student ratio,216,,750,
Attleboro,Thomas Willett Elementary School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Attleboro,Thomas Willett Elementary School,1-A-i,Percentage teachers with 5+ years of experience,80,4,80,%
Attleboro,Thomas Willett Elementary School,1-A-i,Percentage teachers National Board certified,not tracked,,,%
Attleboro,Thomas Willett Elementary School,1-B-i,Percent teacher returning (excluding retirement),100,4.7,85,%
Attleboro,Thomas Willett Elementary School,1-B-ii,Professional development spending per teacher,,,,$
Attleboro,Thomas Willett Elementary School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Attleboro,Thomas Willett Elementary School,2-C-i,Average daily attendance,95.5,4.2,90,%
Attleboro,Thomas Willett Elementary School,2-C-i,Chronic absence rate,9.4,4.25,10,%
Attleboro,Thomas Willett Elementary School,3-A-i,Average class size,22.8,3.5,20,
Attleboro,Thomas Willett Elementary School,3-A-i,Student to technology ratio,2.4,3.2,3,
Attleboro,Thomas Willett Elementary School,3-A-ii,Student to art teacher ratio,214.5,5,500,
Attleboro,Thomas Willett Elementary School,3-A-ii,Student to counselor ratio,429,1.15625,250,
Attleboro,Thomas Willett Elementary School,3-A-ii,Student to instructional support staff ratio,357.5,,,
Attleboro,Thomas Willett Elementary School,5-C-i,Hours of arts instruction per student per week,2.5,5,2,hours
Attleboro,Thomas Willett Elementary School,5-D-ii,Medical staff to student ratio,429,,750,
Revere,Revere High School,1-A-i,Percentage teachers teaching in area of licensure,97.7,4.1,95,%
Revere,Revere High School,1-A-i,Percentage teachers with 5+ years of experience,66,3.3,80,%
Revere,Revere High School,1-A-i,Percentage teachers National Board certified,2.7,,,%
Revere,Revere High School,1-B-i,Percent teacher returning (excluding retirement),95,4.5,85,%
Revere,Revere High School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Revere High School,2-A-i,Student to violent incidents ratio,0,4.1,0.02,
Revere,Revere High School,2-C-i,Average daily attendance,94.3,4.2,90,%
Revere,Revere High School,2-C-i,Chronic absence rate,6.1,5,10,%
Revere,Revere High School,3-A-i,Average class size,16.5,4.7,20,
Revere,Revere High School,3-A-i,Student to technology ratio,1,1.3,3,
Revere,Revere High School,3-A-ii,Student to art teacher ratio,459.5,4.40625,500,
Revere,Revere High School,3-A-ii,Student to counselor ratio,142.2,5,250,
Revere,Revere High School,3-A-ii,Student to instructional support staff ratio,99.6,,,
Revere,Revere High School,3-B-i,Student to number of electives ratio (HS only),17.2,,,
Revere,Revere High School,3-B-i,Percent graduates completing MassCORE (HS only),100,4.4,90,%
Revere,Revere High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),16.3,2.2,30,%
Revere,Revere High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),48,9.6,20,%
Revere,Revere High School,3-B-iII,Student to co-curricular activities ratio (HS only),36.9,,,
Revere,Revere High School,4-B-ii,4-year on-time graduation rate (HS only),96.9,4.8,80,%
Revere,Revere High School,4-B-ii,5-year graduation rate (HS only),95.1,4.5,85,%
Revere,Revere High School,4-D-i,College enrollment rate (HS only),74,,,%
Revere,Revere High School,4-D-ii,Percent positive work placement (HS only),NA,,,%
Revere,Revere High School,4-D-ii,Student to career-technical education courses (HS only),0,,,
Revere,Revere High School,5-C-i,Hours of arts instruction per student per week,6.66,13.32,2,hours
Revere,Revere High School,5-D-ii,Medical staff to student ratio,663.7,4.46875,750,
Revere,Seacoast High School,1-A-i,Percentage teachers teaching in area of licensure,100,4.2,95,%
Revere,Seacoast High School,1-A-i,Percentage teachers with 5+ years of experience,43,2.2,80,%
Revere,Seacoast High School,1-A-i,Percentage teachers National Board certified,12,,,%
Revere,Seacoast High School,1-B-i,Percent teacher returning (excluding retirement),93,4.4,85,%
Revere,Seacoast High School,1-B-ii,Professional development spending per teacher,63,,,
Revere,Seacoast High School,2-A-i,Student to violent incidents ratio,0.1,3.7,0,
Revere,Seacoast High School,2-C-i,Average daily attendance,73.7,3.3,90,%
Revere,Seacoast High School,2-C-i,Chronic absence rate,52.4,0,10,%
Revere,Seacoast High School,3-A-i,Average class size,6.7,5,20,
Revere,Seacoast High School,3-A-i,Student to technology ratio,1,1.3,3,
Revere,Seacoast High School,3-A-ii,Student to art teacher ratio,820,0.8046875,500,
Revere,Seacoast High School,3-A-ii,Student to counselor ratio,27.3,5,250,
Revere,Seacoast High School,3-A-ii,Student to instructional support staff ratio,27.3,,,
Revere,Seacoast High School,3-B-i,Student to number of electives ratio (HS only),6.8,,,
Revere,Seacoast High School,3-B-i,Percent graduates completing MassCORE (HS only),100,4.4,90,%
Revere,Seacoast High School,3-B-i,Percent juniors and seniors enrolled in one AP (HS only),0,0,30,%
Revere,Seacoast High School,3-B-i,Percent AP test takers scoring 3 or higher (HS only),0,0,20,%
Revere,Seacoast High School,3-B-iII,Student to co-curricular activities ratio (HS only),5.5,,,
Revere,Seacoast High School,4-B-ii,4-year on-time graduation rate (HS only),22.2,1.1,80,%
Revere,Seacoast High School,4-B-ii,5-year graduation rate (HS only),35.1,1.7,85,%
Revere,Seacoast High School,4-D-i,College enrollment rate (HS only),,,,%
Revere,Seacoast High School,4-D-ii,Percent positive work placement (HS only),0,,,%
Revere,Seacoast High School,4-D-ii,Student to career-technical education courses (HS only),0,,,
Revere,Seacoast High School,5-C-i,Hours of arts instruction per student per week,5,10,2,hours
Revere,Seacoast High School,5-D-ii,Medical staff to student ratio,410,,750,
