Category19,Category18,Category17,qid,qid2017,Category Name,Level,Version,Scale,scalecode,Reverse,Question Text,R1,R2,R3,R4,R5
1-A-i,1-A-i,1-A-i,t-prep-q1,t1aiq1,Professional Qualifications,Teachers,,Professional preparation,t-prep,,Given your preparation for teaching how comfortable are you teaching at the grade-level you have been assigned?,Not at all comfortable,Slightly comfortable,Somewhat comfortable,Mostly comfortable,Extremely comfortable
1-A-i,1-A-i,1-A-i,t-prep-q2,t1aiq2,Professional Qualifications,Teachers,,Professional preparation,t-prep,,How prepared are you for teaching the topics that you are expected to teach in your assignment?,Not prepared at all,Slightly prepared,Somewhat prepared,Mostly prepared,Thoroughly prepared
1-A-i,1-A-i,1-A-i,t-prep-q3,t1aiq3,Professional Qualifications,Teachers,,Professional preparation,t-prep,,How confident are you in working with the student body at your school?,Not at all confident,Slightly confident,Somewhat confident,Mostly confident,Extremely confident 
1-A-ii,1-A-ii,1-A-ii,s-peff-q1,s1aiiq1,Effective practices,Students,B,Pedagogical effectiveness,s-peff,,"Overall, how much have you learned from your [science/math/English/social studies] teacher?",Almost nothing,A little bit,Some,Quite a bit,An incredible amount
1-A-ii,1-A-ii,1-A-ii,s-peff-q2,s1aiiq2,Effective practices,Students,B,Pedagogical effectiveness,s-peff,,"For this class, how clearly does your [science/math/English/social studies] teacher present the information that you need to learn?",Not at all clearly,A little bit clearly,Somewhat,Quite clearly,Extremely clearly
1-A-ii,1-A-ii,1-A-ii,s-peff-q3,s1aiiq3,Effective practices,Students,B,Pedagogical effectiveness,s-peff,,"When you need extra help, how good is your [science/math/English/social studies] teacher at giving you that help?",Not at all good,Slightly good,Somewhat good,Quite good,Extremely good
1-A-ii,1-A-ii,1-A-ii,s-peff-q4,s1aiiq5,Effective practices,Students,B,Pedagogical effectiveness,s-peff,,How well can your[science/math/English/social studies] teacher tell whether or not you understand a topic?,Not at all well,A little well,Somewhat well ,Quite well,Extremely well
1-A-ii,1-A-ii,1-A-ii,s-peff-q5,s1aiiq6,Effective practices,Students,B,Pedagogical effectiveness,s-peff,,How interesting does your [science/math/English/social studies] teacher make the things you are learning?,Not at all interesting,A little interesting,Somewhat interesting,Quite interesting,Extremely interesting
1-A-ii,1-A-ii,1-A-ii,s-peff-q6,s1aiiq7,Effective practices,Students,B,Pedagogical effectiveness,s-peff,,How good is your [science/math/English/social studies] teacher at helping you learn?,Not at all good,Slightly good,Somewhat good,Quite good,Extremely good
1-A-ii,,,t-ieff-q1,,Effective practices,Teachers,,Instructional efficacy,t-ieff,,How confident are you in your ability to present material clearly?,Not at all confident,A little bit confident,Somewhat confident,Quite confident,Extremely confident
1-A-ii,,,t-ieff-q2,,Effective practices,Teachers,,Instructional efficacy,t-ieff,,How confident are you in your ability to identify gaps in student understanding?,Not at all confident,A little bit confident,Somewhat confident,Quite confident,Extremely confident
