District,School,DESE ID,Category,Item ID,NonLikert Title,NL_Value,LikertScore,Benchmark,Data Type,Academic Year
Attleboro,Attleboro High School,160505,2-C-i,a-vale-i1,Chronic absence rate,19.7,3.03,10,%,2018-19
Attleboro,Cyril K. Brennan Middle School,160315,2-C-i,a-vale-i1,Chronic absence rate,9.6,4.04,10,%,2018-19
Attleboro,Robert J. Coelho Middle School,160305,2-C-i,a-vale-i1,Chronic absence rate,11,3.9,10,%,2018-19
Attleboro,Hyman Fine Elementary School,160040,2-C-i,a-vale-i1,Chronic absence rate,3.4,4.66,10,%,2018-19
Attleboro,Hill-Roberts Elementary School,160045,2-C-i,a-vale-i1,Chronic absence rate,8.2,4.18,10,%,2018-19
Attleboro,A. Irvin Studley Elementary School,160001,2-C-i,a-vale-i1,Chronic absence rate,8.1,4.19,10,%,2018-19
Attleboro,Peter Thacher Elementary School,160050,2-C-i,a-vale-i1,Chronic absence rate,13,3.7,10,%,2018-19
Attleboro,Wamsutta Middle School,160320,2-C-i,a-vale-i1,Chronic absence rate,8.7,4.13,10,%,2018-19
Attleboro,Thomas Willett Elementary School,160035,2-C-i,a-vale-i1,Chronic absence rate,6,4.4,10,%,2018-19
Milford,Brookside Elementary School,1850065,2-C-i,a-vale-i1,Chronic absence rate,12.1,3.79,10,%,2018-19
Milford,Memorial Elementary School,1850010,2-C-i,a-vale-i1,Chronic absence rate,11.5,3.85,10,%,2018-19
Milford,Milford High School,1850505,2-C-i,a-vale-i1,Chronic absence rate,21.9,2.81,10,%,2018-19
Milford,Shining Star Early Childhood Center,1850075,2-C-i,a-vale-i1,Chronic absence rate,30.5,1.95,10,%,2018-19
Milford,Stacy Middle School,1850305,2-C-i,a-vale-i1,Chronic absence rate,12.7,3.73,10,%,2018-19
Milford,Woodland Elementary School,1850090,2-C-i,a-vale-i1,Chronic absence rate,6.8,4.32,10,%,2018-19
Revere,Beachmont Elementary School,2480013,2-C-i,a-vale-i1,Chronic absence rate,4.2,4.58,10,%,2018-19
Revere,Garfield Elementary School,2480056,2-C-i,a-vale-i1,Chronic absence rate,9.3,4.07,10,%,2018-19
Revere,Garfield Middle School,2480057,2-C-i,a-vale-i1,Chronic absence rate,8.5,4.15,10,%,2018-19
Revere,Hill Elementary School,2480035,2-C-i,a-vale-i1,Chronic absence rate,3.3,4.67,10,%,2018-19
Revere,Lincoln Elementary School,2480025,2-C-i,a-vale-i1,Chronic absence rate,7.9,4.21,10,%,2018-19
Revere,Paul Revere Elementary School,2480050,2-C-i,a-vale-i1,Chronic absence rate,10.1,3.99,10,%,2018-19
Revere,Revere High School,2480505,2-C-i,a-vale-i1,Chronic absence rate,13.8,3.62,10,%,2018-19
Revere,Rumney Marsh Academy,2480014,2-C-i,a-vale-i1,Chronic absence rate,5,4.5,10,%,2018-19
Revere,SeaCoast High School,2480520,2-C-i,a-vale-i1,Chronic absence rate,76.9,0,10,%,2018-19
Revere,Susan B. Anthony Middle School,2480305,2-C-i,a-vale-i1,Chronic absence rate,8.1,4.19,10,%,2018-19
Revere,Whelan Elementary School,2480003,2-C-i,a-vale-i1,Chronic absence rate,5.9,4.41,10,%,2018-19
Winchester,Ambrose Elementary School,3440045,2-C-i,a-vale-i1,Chronic absence rate,3.8,4.62,10,%,2018-19
Winchester,Lincoln Elementary School,2480025,2-C-i,a-vale-i1,Chronic absence rate,1.6,4.84,10,%,2018-19
Winchester,Lynch Elementary School,3440020,2-C-i,a-vale-i1,Chronic absence rate,4,4.6,10,%,2018-19
Winchester,McCall Middle School,3440305,2-C-i,a-vale-i1,Chronic absence rate,4.2,4.58,10,%,2018-19
Winchester,Muraco Elementary School,3440040,2-C-i,a-vale-i1,Chronic absence rate,3.1,4.69,10,%,2018-19
Winchester,Vinson-Owen Elementary School,3440025,2-C-i,a-vale-i1,Chronic absence rate,4.2,4.58,10,%,2018-19
Winchester,Winchester High School,3440505,2-C-i,a-vale-i1,Chronic absence rate,7.2,4.28,10,%,2018-19
Attleboro,Attleboro High School,160505,3-A-i,a-reso-i1,Average class size,20.6,3.94,20,,2018-19
Attleboro,Cyril K. Brennan Middle School,160315,3-A-i,a-reso-i1,Average class size,24.4,3.56,20,,2018-19
Attleboro,Robert J. Coelho Middle School,160305,3-A-i,a-reso-i1,Average class size,27,3.3,20,,2018-19
Attleboro,Hyman Fine Elementary School,160040,3-A-i,a-reso-i1,Average class size,25.1,3.49,20,,2018-19
Attleboro,Hill-Roberts Elementary School,160045,3-A-i,a-reso-i1,Average class size,24,3.6,20,,2018-19
