Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native Amertican (%),"Native Hawaiian, Pacific Islander (%)","Multi-Race,Non-Hispanic (%)",Females (%),Males (%),FTE Count
3.187500000000001,3.19,a-pcom-i3,2022-23,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,   4.2,   0.6,   3.0,  89.8,   0.0,   0.6,   1.8,  77.8,  22.2,        166.8
1,1,a-pcom-i3,2022-23,Abington - Abington Early Education Program,00010001,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         18.0
2.3125000000000018,2.31,a-pcom-i3,2022-23,Abington - Abington High,00010505,   1.5,   0.0,   5.9,  92.6,   0.0,   0.0,   0.0,  70.5,  29.5,         67.9
2.749999999999999,2.75,a-pcom-i3,2022-23,Abington - Abington Middle School,00010405,   1.2,   1.2,   5.3,  91.2,   0.0,   0.0,   1.2,  78.2,  21.8,         83.8
1.25,1.25,a-pcom-i3,2022-23,Abington - Beaver Brook Elementary,00010020,   1.3,   1.3,   1.3,  96.0,   0.0,   0.0,   0.0,  98.0,   2.0,         74.6
1,1,a-pcom-i3,2022-23,Abington - Woodsdale Elementary School,00010015,   0.0,   0.0,   0.0,  97.5,   0.0,   0.0,   2.5,  92.4,   7.6,         39.3
16.4375,5,a-pcom-i3,2022-23,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,  40.9,   3.7,   8.0,  47.4,   0.0,   0.0,   0.0,  65.0,  35.0,         87.1
2.6874999999999982,2.69,a-pcom-i3,2022-23,Acton-Boxborough - Acton-Boxborough Regional High,06000505,   0.5,   3.9,   2.6,  91.4,   0.5,   0.5,   0.6,  74.5,  25.5,        195.7
2.8125,2.81,a-pcom-i3,2022-23,Acton-Boxborough - Blanchard Memorial School,06000005,   1.2,   6.6,   1.2,  91.0,   0.0,   0.0,   0.0,  87.8,  12.2,         82.5
1.8124999999999991,1.81,a-pcom-i3,2022-23,Acton-Boxborough - C.T. Douglas Elementary School,06000020,   0.0,   0.2,   5.6,  94.2,   0.0,   0.0,   0.0,  94.2,   5.8,         53.5
3.187500000000001,3.19,a-pcom-i3,2022-23,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,   0.0,  10.2,   0.0,  89.8,   0.0,   0.0,   0.0,  93.8,   6.2,         32.1
4.21875,4.22,a-pcom-i3,2022-23,Acton-Boxborough - Luther Conant School,06000030,   0.0,   8.8,   3.1,  86.5,   0.0,   0.0,   1.6,  96.3,   3.7,         64.5
3.218749999999999,3.22,a-pcom-i3,2022-23,Acton-Boxborough - McCarthy-Towne School,06000015,   0.0,   5.8,   4.5,  89.7,   0.0,   0.0,   0.0,  97.0,   3.0,         66.2
2.65625,2.66,a-pcom-i3,2022-23,Acton-Boxborough - Merriam School,06000010,   1.5,   4.5,   1.5,  91.5,   0.0,   0.0,   0.9,  94.5,   5.5,         64.7
