Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% 1 Day,% 2 to 3 Days,% 4 to 7 Days,% 8 to 10 Days,% > 10 Days
6.8,5,a-phys-i3,2022-23,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,"   1,451",      51,   1.0,   1.4,   0.8,   0.1,   0.3
NA,NA,a-phys-i3,2022-23,Abington - Abington Early Education Program,00010001,     104,       0,"","","","",""
8.0,5,a-phys-i3,2022-23,Abington - Abington High,00010505,     571,      34,   3.0,   2.1,   0.5,   0.4,   0.0
8.0,5,a-phys-i3,2022-23,Abington - Abington Middle School,00010405,     669,      46,   3.6,   1.9,   0.9,   0.4,   0.0
NA,NA,a-phys-i3,2022-23,Abington - Beaver Brook Elementary,00010020,     537,       0,"","","","",""
NA,NA,a-phys-i3,2022-23,Abington - Woodsdale Elementary School,00010015,     344,       0,"","","","",""
5.6,5,a-phys-i3,2022-23,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     487,      49,   5.1,   2.9,   1.0,   0.4,   0.6
7.6,5,a-phys-i3,2022-23,Acton-Boxborough - Acton-Boxborough Regional High,06000505,"   1,702",      20,   0.2,   0.5,   0.2,   0.1,   0.1
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - Blanchard Memorial School,06000005,     518,       0,"","","","",""
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - C.T. Douglas Elementary School,06000020,     396,       1,"","","","",""
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,     126,       0,"","","","",""
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - Luther Conant School,06000030,     419,       1,"","","","",""
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - McCarthy-Towne School,06000015,     464,       3,"","","","",""
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - Merriam School,06000010,     448,       0,"","","","",""
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - Paul P Gates Elementary School,06000025,     358,       1,"","","","",""
NA,NA,a-phys-i3,2022-23,Acton-Boxborough - Raymond J Grey Junior High,06000405,     840,       0,"","","","",""
NA,NA,a-phys-i3,2022-23,Acushnet - Acushnet Elementary School,00030025,     563,       0,"","","","",""
8.0,5,a-phys-i3,2022-23,Acushnet - Albert F Ford Middle School,00030305,     418,      10,   0.5,   0.7,   1.2,   0.0,   0.0
7.2,5,a-phys-i3,2022-23,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     973,      34,   1.4,   1.2,   0.3,   0.3,   0.2
NA,NA,a-phys-i3,2022-23,Agawam - Agawam Early Childhood Center,00050003,     185,       0,"","","","",""
5.6,5,a-phys-i3,2022-23,Agawam - Agawam High,00050505,"   1,085",      76,   1.9,   2.0,   1.6,   0.9,   0.6
7.2,5,a-phys-i3,2022-23,Agawam - Agawam Junior High,00050405,     547,      17,   0.2,   1.8,   0.9,   0.0,   0.2
