Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Students,Students Disciplined,% In-School Suspension,% Out-of-School Suspension,% Expulsion,% Removed to Alternate Setting,% Emergency Removal,% Students with a School-Based Arrest,% Students with a Law Enforcement Referral
5.874762808349146,5,a-phys-i1,2021-22,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,"   1,447",      43,   0.4,   2.8,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Abington - Abington Early Education Program,00010001,     100,       0,"","","","","","",""
3.749525616698292,3.75,a-phys-i1,2021-22,Abington - Abington High,00010505,     603,      38,   2.2,   5.6,   0.0,   0.0,   0.0,   0.0,   0.0
6.633776091081593,5,a-phys-i1,2021-22,Abington - Abington Middle School,00010405,     668,      39,   5.2,   1.8,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Abington - Beaver Brook Elementary,00010020,     554,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Abington - Woodsdale Elementary School,00010015,     321,       0,"","","","","","",""
2.990512333965844,2.99,a-phys-i1,2021-22,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     534,      58,   3.4,   6.6,   0.0,   0.6,   4.3,   0.0,   0.0
6.709677419354839,5,a-phys-i1,2021-22,Acton-Boxborough - Acton-Boxborough Regional High,06000505,"   1,727",      43,   1.0,   1.7,   0.0,   0.0,   0.3,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Acton-Boxborough - Blanchard Memorial School,06000005,     512,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Acton-Boxborough - C.T. Douglas Elementary School,06000020,     401,       2,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,     129,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Acton-Boxborough - Luther Conant School,06000030,     410,       2,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Acton-Boxborough - McCarthy-Towne School,06000015,     471,       1,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Acton-Boxborough - Merriam School,06000010,     470,       0,"","","","","","",""
NA,NA,a-phys-i1,2021-22,Acton-Boxborough - Paul P Gates Elementary School,06000025,     382,       1,"","","","","","",""
7.696394686907021,5,a-phys-i1,2021-22,Acton-Boxborough - Raymond J Grey Junior High,06000405,     845,      16,   1.5,   0.4,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Acushnet - Acushnet Elementary School,00030025,     556,       0,"","","","","","",""
7.089184060721063,5,a-phys-i1,2021-22,Acushnet - Albert F Ford Middle School,00030305,     404,      24,   5.2,   1.2,   0.0,   0.0,   0.0,   0.0,   0.0
5.115749525616698,5,a-phys-i1,2021-22,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     981,      52,   2.0,   3.8,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-phys-i1,2021-22,Agawam - Agawam Early Childhood Center,00050003,     202,       0,"","","","","","",""
4.129032258064516,4.13,a-phys-i1,2021-22,Agawam - Agawam High,00050505,"   1,041",     105,   7.4,   5.1,   0.0,   0.0,   0.0,   0.0,   0.1
