Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Chronically Absent (20% or more),Unexcused > 9 days
1.8799999999999997,1.88,a-vale-i1,2021-22,Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,  94.5,   9.8,  41.3,  15.3,   2.4,  40.5
0.6400000000000006,1,a-vale-i1,2021-22,Abington-Woodsdale Elementary School,00010015,  93.1,  12.3,  56.9,  18.4,   2.2,  14.7
-4.24,1,a-vale-i1,2021-22,Abington-Abington Early Education Program,00010001,  89.9,  16.0,  57.1,  30.6,  11.2,  27.6
-2.4,1,a-vale-i1,2021-22,Abington-Beaver Brook Elementary,00010020,  92.5,  13.0,  60.1,  26.0,   3.8,  19.1
-3.4,1,a-vale-i1,2021-22,Abington-Abington Middle School,00010405,  91.5,  14.7,  58.6,  28.5,   7.2,  25.0
-8.6,1,a-vale-i1,2021-22,Abington-Abington High,00010505,  88.4,  19.7,  71.4,  41.5,  15.5,  49.4
-10.4,1,a-vale-i1,2021-22,Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,  88.1,  20.6,  73.5,  46.0,  14.5,   0.2
4.6,4.6,a-vale-i1,2021-22,Acton-Boxborough-Acton-Boxborough Regional High,06000505,  95.5,   8.1,  28.7,   8.5,   2.6,   1.8
4.84,4.84,a-vale-i1,2021-22,Acton-Boxborough-Raymond J Grey Junior High,06000405,  95.9,   7.3,  25.4,   7.9,   1.2,   0.9
2.6799999999999997,2.68,a-vale-i1,2021-22,Acton-Boxborough-Luther Conant School,06000030,  94.2,  10.1,  43.5,  13.3,   2.7,   0.0
2.84,2.84,a-vale-i1,2021-22,Acton-Boxborough-Paul P Gates Elementary School,06000025,  94.5,   9.6,  40.4,  12.9,   2.6,   0.0
3.0799999999999996,3.08,a-vale-i1,2021-22,Acton-Boxborough-C.T. Douglas Elementary School,06000020,  94.9,   8.8,  33.1,  12.3,   1.0,   0.0
3.6399999999999997,3.64,a-vale-i1,2021-22,Acton-Boxborough-McCarthy-Towne School,06000015,  94.6,   9.4,  40.7,  10.9,   1.3,   0.0
3.84,3.84,a-vale-i1,2021-22,Acton-Boxborough-Merriam School,06000010,  94.8,   9.2,  36.9,  10.4,   0.6,   0.0
-2.8400000000000007,1,a-vale-i1,2021-22,Acton-Boxborough-Carol Huebner Early Childhood Program,06000001,  92.0,  13.4,  57.4,  27.1,   6.2,   0.0
3.16,3.16,a-vale-i1,2021-22,Acton-Boxborough-Blanchard Memorial School,06000005,  94.9,   8.9,  38.5,  12.1,   0.6,   0.0
0.6400000000000006,1,a-vale-i1,2021-22,Acushnet-Albert F Ford Middle School,00030305,  93.5,  11.6,  49.6,  18.4,   2.5,  25.2
2.56,2.56,a-vale-i1,2021-22,Acushnet-Acushnet Elementary School,00030025,  94.0,  10.6,  52.3,  13.6,   0.7,  25.0
3.96,3.96,a-vale-i1,2021-22,Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,  95.2,   8.4,  31.7,  10.1,   1.5,  17.3
-5.6800000000000015,1,a-vale-i1,2021-22,Agawam-Agawam Early Childhood Center,00050003,  90.6,  14.9,  62.4,  34.2,   8.4,  59.4
-6.0,1,a-vale-i1,2021-22,Agawam-Agawam High,00050505,  90.4,  16.6,  63.3,  35.0,   9.8,  35.6
-7.480000000000001,1,a-vale-i1,2021-22,Agawam-Clifford M Granger,00050010,  90.7,  16.3,  78.0,  38.7,   4.0,  12.5
-3.5200000000000005,1,a-vale-i1,2021-22,Agawam-Benjamin J Phelps,00050020,  91.8,  14.5,  66.5,  28.8,   3.5,  11.8
-7.159999999999999,1,a-vale-i1,2021-22,Agawam-Robinson Park,00050025,  90.5,  17.0,  78.2,  37.9,   6.1,   8.2
-4.24,1,a-vale-i1,2021-22,Agawam-James Clark School,00050030,  91.4,  15.2,  69.1,  30.6,   3.6,   0.0
-3.9599999999999995,1,a-vale-i1,2021-22,Agawam-Roberta G. Doering School,00050303,  91.7,  16.7,  72.8,  29.9,   4.1,  44.0
-9.080000000000002,1,a-vale-i1,2021-22,Agawam-Agawam Junior High,00050405,  87.9,  21.2,  74.2,  42.7,  14.4,  30.5
-1.1200000000000003,1,a-vale-i1,2021-22,Alma del Mar Charter School (District)-Alma del Mar Charter School,04090205,  93.0,  12.5,  53.0,  22.8,   4.4,  33.1
-0.2799999999999997,1,a-vale-i1,2021-22,Amesbury-Amesbury Elementary,00070005,  92.9,  12.3,  59.9,  20.7,   0.6,  35.6
1.6,1.6,a-vale-i1,2021-22,Amesbury-Charles C Cashman Elementary,00070010,  93.1,  12.3,  55.3,  16.0,   2.9,   3.5
-1.4799999999999998,1,a-vale-i1,2021-22,Amesbury-Amesbury Middle,00070013,  92.1,  14.1,  58.5,  23.7,   6.3,   8.7
-2.6,1,a-vale-i1,2021-22,Amesbury-Amesbury High,00070505,  91.9,  14.2,  55.0,  26.5,   6.2,   7.3
-12.0,1,a-vale-i1,2021-22,Amesbury-Amesbury Innovation High School,00070515,  87.2,  21.1,  79.5,  50.0,  25.0,  27.3
-2.4799999999999995,1,a-vale-i1,2021-22,Amherst-Crocker Farm Elementary,00080009,  92.7,  12.5,  48.9,  26.2,   5.8,   7.4
-1.5599999999999994,1,a-vale-i1,2021-22,Amherst-Fort River Elementary,00080020,  93.4,  11.4,  44.2,  23.9,   3.1,   6.5
0.3200000000000003,1,a-vale-i1,2021-22,Amherst-Wildwood Elementary,00080050,  93.7,  10.9,  45.1,  19.2,   2.0,   7.0
-1.0,1,a-vale-i1,2021-22,Amherst-Pelham-Amherst Regional Middle School,06050405,  93.1,  12.1,  47.1,  22.5,   5.0,   8.9
-2.0,1,a-vale-i1,2021-22,Amherst-Pelham-Amherst Regional High,06050505,  92.2,  13.7,  47.0,  25.0,   8.5,   9.2
4.36,4.36,a-vale-i1,2021-22,Andover-Bancroft Elementary,00090003,  94.7,   9.3,  42.2,   9.1,   0.9,   6.8
2.72,2.72,a-vale-i1,2021-22,Andover-High Plain Elementary,00090004,  94.6,   9.4,  43.2,  13.2,   1.6,   6.4
-10.559999999999999,1,a-vale-i1,2021-22,Andover-Shawsheen School,00090005,  89.7,  15.2,  71.4,  46.4,   8.0,   9.8
3.12,3.12,a-vale-i1,2021-22,Andover-Henry C Sanborn Elementary,00090010,  94.7,   9.4,  40.9,  12.2,   0.3,   2.4
2.16,2.16,a-vale-i1,2021-22,Andover-Andover High,00090505,  93.9,  10.9,  38.9,  14.6,   4.6,   4.5
1.6799999999999997,1.68,a-vale-i1,2021-22,Andover-West Elementary,00090025,  94.0,  10.5,  45.8,  15.8,   2.0,   7.2
3.96,3.96,a-vale-i1,2021-22,Andover-Doherty Middle,00090305,  95.5,   8.0,  28.4,  10.1,   0.9,   3.1
4.12,4.12,a-vale-i1,2021-22,Andover-Andover West Middle,00090310,  95.4,   8.3,  31.3,   9.7,   1.3,   5.2
3.9200000000000004,3.92,a-vale-i1,2021-22,Andover-Wood Hill Middle School,00090350,  95.6,   7.8,  30.1,  10.2,   1.1,   4.0
4.4799999999999995,4.48,a-vale-i1,2021-22,Andover-South Elementary,00090020,  94.7,   9.3,  43.7,   8.8,   0.7,   5.6
-8.959999999999999,1,a-vale-i1,2021-22,Argosy Collegiate Charter School (District)-Argosy Collegiate Charter School,35090305,  88.7,  19.0,  66.8,  42.4,  15.5,  48.3
4.36,4.36,a-vale-i1,2021-22,Arlington-Brackett,00100010,  95.0,   9.0,  39.0,   9.1,   0.4,   0.0
3.6,3.6,a-vale-i1,2021-22,Arlington-Cyrus E Dallin,00100025,  94.9,   9.0,  39.7,  11.0,   0.5,   0.0
2.72,2.72,a-vale-i1,2021-22,Arlington-Hardy,00100030,  94.3,   9.9,  44.2,  13.2,   1.2,   0.0
0.0,1,a-vale-i1,2021-22,Arlington-Menotomy Preschool,00100038,  92.1,  12.3,  56.8,  20.0,   7.4,   2.1
2.8,2.8,a-vale-i1,2021-22,Arlington-Thompson,00100050,  94.2,  10.2,  45.6,  13.0,   1.3,   0.0
3.7600000000000002,3.76,a-vale-i1,2021-22,Arlington-M Norcross Stratton,00100055,  94.9,   8.9,  35.8,  10.6,   2.2,   0.0
4.76,4.76,a-vale-i1,2021-22,Arlington-Gibbs School,00100305,  95.2,   8.6,  34.9,   8.1,   1.3,   4.6
3.6,3.6,a-vale-i1,2021-22,Arlington-Ottoson Middle,00100410,  94.8,   9.3,  35.1,  11.0,   2.4,   2.2
0.6400000000000006,1,a-vale-i1,2021-22,Arlington-Arlington High,00100505,  92.7,  12.6,  44.0,  18.4,   6.2,   0.8
1.9600000000000002,1.96,a-vale-i1,2021-22,Arlington-John A Bishop,00100005,  94.3,  10.0,  45.2,  15.1,   0.7,   0.0
3.28,3.28,a-vale-i1,2021-22,Arlington-Peirce,00100045,  94.7,   9.2,  37.3,  11.8,   1.8,   0.0
2.72,2.72,a-vale-i1,2021-22,Ashburnham-Westminster-Westminster Elementary,06100005,  93.9,  10.7,  48.6,  13.2,   0.3,  23.3
0.44000000000000056,1,a-vale-i1,2021-22,Ashburnham-Westminster-Oakmont Regional High School,06100505,  92.9,  12.5,  53.8,  18.9,   3.8,  40.9
3.88,3.88,a-vale-i1,2021-22,Ashburnham-Westminster-Overlook Middle School,06100305,  95.2,   8.5,  33.3,  10.3,   0.7,  28.4
-0.12000000000000029,1,a-vale-i1,2021-22,Ashburnham-Westminster-Briggs Elementary,06100025,  93.2,  11.2,  52.3,  20.3,   1.4,  30.9
3.56,3.56,a-vale-i1,2021-22,Ashburnham-Westminster-Meetinghouse School,06100010,  94.2,  10.2,  45.0,  11.1,   0.6,  32.2
1.4400000000000006,1.44,a-vale-i1,2021-22,Ashland-Ashland High,00140505,  93.8,  10.6,  38.3,  16.4,   3.9,  24.1
0.6799999999999997,1,a-vale-i1,2021-22,Ashland-Ashland Middle,00140405,  93.6,  11.2,  44.2,  18.3,   2.8,   0.0
0.8799999999999997,1,a-vale-i1,2021-22,Ashland-David Mindess,00140015,  93.6,  11.0,  51.6,  17.8,   1.3,   0.0
-2.4400000000000004,1,a-vale-i1,2021-22,Ashland-Henry E Warren Elementary,00140010,  92.3,  13.3,  57.2,  26.1,   4.1,   3.7
-14.52,1,a-vale-i1,2021-22,Ashland-William Pittaway Elementary,00140005,  87.9,  20.0,  80.5,  56.3,  12.6,   0.0
-2.88,1,a-vale-i1,2021-22,Assabet Valley Regional Vocational Technical-Assabet Valley Vocational High School,08010605,  91.3,  15.4,  55.8,  27.2,   8.1,  40.8
-9.559999999999999,1,a-vale-i1,2021-22,Athol-Royalston-Athol High,06150505,  88.0,  20.1,  68.5,  43.9,  19.0,  53.6
-10.559999999999999,1,a-vale-i1,2021-22,Athol-Royalston-Athol-Royalston Middle School,06150305,  88.7,  19.2,  75.8,  46.4,  14.4,  51.9
-6.719999999999999,1,a-vale-i1,2021-22,Athol-Royalston-Royalston Community School,06150050,  90.8,  15.8,  76.4,  36.8,   6.9,  41.7
-8.0,1,a-vale-i1,2021-22,Athol-Royalston-Athol Community Elementary School,06150020,  90.0,  17.1,  72.5,  40.0,   8.5,  39.3
-6.519999999999999,1,a-vale-i1,2021-22,Atlantis Charter (District)-Atlantis Charter School,04910550,  90.6,  16.6,  69.2,  36.3,   8.7,  37.4
-3.6400000000000006,1,a-vale-i1,2021-22,Attleboro-Peter Thacher Elementary School,00160050,  91.3,  14.7,  58.9,  29.1,   6.9,  31.2
-1.4799999999999998,1,a-vale-i1,2021-22,Attleboro-Robert J. Coelho Middle School,00160305,  92.8,  12.7,  52.7,  23.7,   4.2,  30.7
-5.359999999999999,1,a-vale-i1,2021-22,Attleboro-Cyril K. Brennan Middle School,00160315,  91.7,  14.3,  58.6,  33.4,   7.0,  46.7
-2.2400000000000007,1,a-vale-i1,2021-22,Attleboro-Wamsutta Middle School,00160320,  92.5,  13.1,  51.9,  25.6,   4.7,  19.0
-4.56,1,a-vale-i1,2021-22,Attleboro-Attleboro High,00160505,  90.8,  15.9,  58.2,  31.4,  10.1,  36.8
-11.64,1,a-vale-i1,2021-22,Attleboro-Attleboro Community Academy,00160515,  88.3,  12.9,  52.6,  49.1,  14.0,  52.6
-0.9200000000000003,1,a-vale-i1,2021-22,Attleboro-Hill-Roberts Elementary School,00160045,  92.6,  12.6,  58.5,  22.3,   3.9,  13.1
-3.5599999999999996,1,a-vale-i1,2021-22,Attleboro-Attleboro Virtual Academy,00160705,  89.8,  16.3,  42.2,  28.9,  17.8,   2.2
-4.2,1,a-vale-i1,2021-22,Attleboro-Thomas Willett Elementary School,00160035,  92.2,  13.0,  59.5,  30.5,   4.7,  56.1
