Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
4.2,4.2,a-reso-i1,2022-23,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     735,  19.0,"      1,418",  53.6,  46.4,  18.8,  12.1,57
2.94,2.94,a-reso-i1,2022-23,Abington - Abington Early Education Program,00010001,      16,  25.3,        101,  36.6,  63.4,  13.9,  40.6,36.6
4.88,4.88,a-reso-i1,2022-23,Abington - Abington High,00010505,     278,  15.6,        563,  48.0,  51.9,  10.0,  12.3,36.2
3.72,3.72,a-reso-i1,2022-23,Abington - Abington Middle School,00010405,     379,  21.4,        663,  49.0,  50.5,   8.5,  18.7,34.7
3.9200000000000004,3.92,a-reso-i1,2022-23,Abington - Beaver Brook Elementary,00010020,     234,  20.4,        530,  50.9,  49.1,  17.0,  15.3,37
3.0799999999999996,3.08,a-reso-i1,2022-23,Abington - Woodsdale Elementary School,00010015,     126,  24.6,        343,  47.2,  52.5,  13.4,  19.5,35.9
4.42,4.42,a-reso-i1,2022-23,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     215,  17.9,        468,  49.2,  50.9,   9.6,  24.4,58.8
4.38,4.38,a-reso-i1,2022-23,Acton-Boxborough - Acton-Boxborough Regional High,06000505,     695,  18.1,"      1,691",  47.5,  51.9,   1.2,  12.3,10.1
3.8200000000000003,3.82,a-reso-i1,2022-23,Acton-Boxborough - Blanchard Memorial School,06000005,     172,  20.9,        505,  49.1,  50.7,   9.3,  17.2,10.3
3.8,3.8,a-reso-i1,2022-23,Acton-Boxborough - C.T. Douglas Elementary School,06000020,     130,  21.0,        385,  46.5,  53.5,   6.0,  15.1,16.4
6.12,5,a-reso-i1,2022-23,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      14,   9.4,        119,  37.8,  62.2,  28.6,  48.7,21.9
3.7399999999999998,3.74,a-reso-i1,2022-23,Acton-Boxborough - Luther Conant School,06000030,     137,  21.3,        408,  48.5,  51.5,  12.0,  16.9,10.1
3.7399999999999998,3.74,a-reso-i1,2022-23,Acton-Boxborough - McCarthy-Towne School,06000015,     150,  21.3,        453,  48.1,  51.7,   6.8,  18.8,13.9
3.6,3.6,a-reso-i1,2022-23,Acton-Boxborough - Merriam School,06000010,     144,  22.0,        445,  49.7,  49.9,   8.1,  16.2,10.8
4.0200000000000005,4.02,a-reso-i1,2022-23,Acton-Boxborough - Paul P Gates Elementary School,06000025,     124,  19.9,        346,  50.0,  50.0,   9.0,  11.9,12.4
3.96,3.96,a-reso-i1,2022-23,Acton-Boxborough - Raymond J Grey Junior High,06000405,     560,  20.2,        835,  47.0,  52.8,   3.2,  15.3,11
4.4,4.4,a-reso-i1,2022-23,Acushnet - Acushnet Elementary School,00030025,     294,  18.0,        552,  44.9,  55.1,   0.2,  18.1,35.7
4.66,4.66,a-reso-i1,2022-23,Acushnet - Albert F Ford Middle School,00030305,     220,  16.7,        408,  51.2,  48.5,   0.3,  12.8,29.4
4.36,4.36,a-reso-i1,2022-23,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     504,  18.2,        957,  45.1,  54.1,   1.6,   7.6,16.1
6.0,5,a-reso-i1,2022-23,Agawam - Agawam Early Childhood Center,00050003,      16,  10.0,        156,  38.5,  61.5,  10.9,  44.2,41
5.08,5,a-reso-i1,2022-23,Agawam - Agawam High,00050505,     550,  14.6,"      1,052",  47.6,  51.3,   3.2,  16.6,35.6
5.76,5,a-reso-i1,2022-23,Agawam - Agawam Junior High,00050405,     545,  11.2,        537,  44.0,  55.9,   4.8,  19.2,42.5
3.9,3.9,a-reso-i1,2022-23,Agawam - Benjamin J Phelps,00050020,     159,  20.5,        311,  47.0,  53.1,   8.0,  17.4,46.3
4.04,4.04,a-reso-i1,2022-23,Agawam - Clifford M Granger,00050010,     181,  19.8,        338,  50.0,  50.0,   9.2,  16.3,36.4
