Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count,Student Count,Student to Art Teacher ratio
6.644,5,a-sust-i4,2021-22,Attleboro - A. Irvin Studley Elementary School,00160001,1.2,0.8,0.0,0.0,0.0,0.0,2.0,339,169.5
-Infinity,1,a-sust-i4,2021-22,Attleboro - Attleboro Community Academy,00160515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Infinity
4.855111111111111,4.86,a-sust-i4,2021-22,Attleboro - Attleboro High,00160505,0.0,0.0,0.0,4.5,0.0,0.0,4.5,1769,393.1111111111111
6.064,5,a-sust-i4,2021-22,Attleboro - Cyril K. Brennan Middle School,00160315,0.0,0.6,1.9,0.0,0.0,0.0,2.5,605,242.0
6.392,5,a-sust-i4,2021-22,Attleboro - Hill-Roberts Elementary School,00160045,1.2,0.8,0.0,0.0,0.0,0.0,2.0,402,201.0
6.156,5,a-sust-i4,2021-22,Attleboro - Hyman Fine Elementary School,00160040,1.2,0.8,0.0,0.0,0.0,0.0,2.0,461,230.5
6.148,5,a-sust-i4,2021-22,Attleboro - Peter Thacher Elementary School,00160050,1.3,0.7,0.0,0.0,0.0,0.0,2.0,463,231.5
5.592,5,a-sust-i4,2021-22,Attleboro - Robert J. Coelho Middle School,00160305,0.0,0.5,1.5,0.0,0.0,0.0,2.0,602,301.0
6.3822222222222225,5,a-sust-i4,2021-22,Attleboro - Thomas Willett Elementary School,00160035,1.1,0.7,0.0,0.0,0.0,0.0,1.8,364,202.22222222222223
6.450666666666667,5,a-sust-i4,2021-22,Attleboro - Wamsutta Middle School,00160320,0.0,0.7,2.3,0.0,0.0,0.0,3.0,581,193.66666666666666
7.216,5,a-sust-i4,2021-22,Boston - Adams Elementary School,00350302,1.5,0.8,0.2,0.0,0.0,0.0,2.5,245,98.0
7.075555555555556,5,a-sust-i4,2021-22,Boston - Alighieri Dante Montessori School,00350066,0.7,0.2,0.0,0.0,0.0,0.0,0.9,104,115.55555555555556
