Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
NA,NA,a-curv-i4,2024-25,Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,          14,          14, 100.0,  64.3,  78.6,  71.4,   0.0,  42.9,  71.4,  42.9,   0.0
NA,NA,a-curv-i4,2024-25,Abington-Abington High,00010505,         178,         150,  84.3,  15.2,  84.3,   3.9,   0.0,  17.4,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,           4,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Acton-Boxborough-Acton-Boxborough Regional High,06000505,         357,         242,  67.8,  14.8,  55.2,  21.0,   2.0,  49.9,   0.0,   6.7,   0.0
NA,NA,a-curv-i4,2024-25,Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,         179,         171,  95.5,  19.6,  87.7,  37.4,   0.6,  58.7,   2.8,   7.8,   0.0
NA,NA,a-curv-i4,2024-25,Agawam-Agawam High,00050505,         397,         275,  69.3,  30.5,  51.4,  39.0,   2.8,  20.4,   1.3,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Amesbury-Amesbury High,00070505,         173,          96,  55.5,  18.5,  51.4,  14.5,   0.0,   9.2,   5.2,  15.0,   0.0
NA,NA,a-curv-i4,2024-25,Amesbury-Amesbury Innovation High School,00070515,          22,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Amherst-Pelham-Amherst Regional High,06050505,         230,         167,  72.6,   0.4,  61.3,  17.4,   0.9,  26.1,   0.0,  10.4,   0.0
NA,NA,a-curv-i4,2024-25,Andover-Andover High,00090505,         505,         418,  82.8,  45.3,  68.9,  40.8,   3.2,  35.2,   5.0,   9.1,   0.0
NA,NA,a-curv-i4,2024-25,Argosy Collegiate Charter School (District)-Argosy Collegiate Charter School,35090305,          53,          44,  83.0,  71.7,  20.8,   0.0,   1.9,  47.2,  20.8,  41.5,   0.0
NA,NA,a-curv-i4,2024-25,Arlington-Arlington High,00100505,         571,         513,  89.8,  48.7,  79.3,  29.4,   6.8,  63.0,   2.6,  13.7,   0.0
NA,NA,a-curv-i4,2024-25,Ashburnham-Westminster-Oakmont Regional High School,06100505,         265,         173,  65.3,  18.5,  59.6,   9.4,   0.0,  12.8,   0.0,   3.8,   0.0
NA,NA,a-curv-i4,2024-25,Ashland-Ashland High,00140505,         268,         193,  72.0,  23.1,  61.6,  26.5,  13.4,   7.5,   0.0,   3.0,   0.0
NA,NA,a-curv-i4,2024-25,Assabet Valley Regional Vocational Technical-Assabet Valley Vocational High School,08010605,         356,         304,  85.4,   9.3,  59.3,  23.9,   0.3,   0.3,   0.0,  23.9,  29.2
NA,NA,a-curv-i4,2024-25,Athol-Royalston-Athol High,06150505,         143,         104,  72.7,  14.0,  46.9,  23.1,   4.2,  25.2,   0.0,   2.8,   0.0
NA,NA,a-curv-i4,2024-25,Atlantis Charter (District)-Atlantis Charter School,04910550,          79,          42,  53.2,  25.3,  24.1,  29.1,   0.0,  31.6,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Attleboro-Attleboro Community Academy,00160515,          32,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Attleboro-Attleboro High,00160505,         561,         359,  64.0,  15.2,  51.2,  12.1,   8.0,  26.0,   0.5,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Attleboro-Attleboro Virtual Academy,00160705,          16,           8,  50.0,   6.3,  50.0,   0.0,   0.0,  12.5,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Auburn-Auburn Senior High,00170505,         252,         145,  57.5,  13.9,  40.5,  17.9,   0.0,  25.8,   6.0,   1.6,   0.0
NA,NA,a-curv-i4,2024-25,Avon-Avon Middle High School,00180510,          28,          21,  75.0,  28.6,  53.6,  39.3,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Ayer Shirley School District-Ayer Shirley Regional High School,06160505,         153,         115,  75.2,  18.3,  66.7,  26.1,   7.2,  28.1,   0.0,   1.3,   0.0
NA,NA,a-curv-i4,2024-25,Barnstable-Barnstable High,00200505,         330,         251,  76.1,  17.9,  54.8,  47.6,   4.8,  31.8,   4.5,   8.5,   0.0
NA,NA,a-curv-i4,2024-25,Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,           2,"","","","","","","","","",""
NA,NA,a-curv-i4,2024-25,Bedford-Bedford High,00230505,         263,         208,  79.1,  20.9,  77.6,  30.4,   5.7,   5.3,   0.0,   2.7,   0.0
NA,NA,a-curv-i4,2024-25,Belchertown-Belchertown High,00240505,         241,         179,  74.3,  10.0,  60.6,  24.9,   3.3,  29.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Bellingham-Bellingham High School,00250505,         220,         196,  89.1,  15.9,  86.4,  28.6,   6.4,   9.5,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Bellingham-Keough Memorial Academy,00250510,           6,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
NA,NA,a-curv-i4,2024-25,Belmont-Belmont High,00260505,         413,         365,  88.4,   8.5,  76.0,  75.1,  11.6,  48.4,   7.5,   1.5,   0.0
NA,NA,a-curv-i4,2024-25,Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,          47,          32,  68.1,  23.4,  38.3,  17.0,   4.3,  34.0,   2.1,   6.4,   0.0
NA,NA,a-curv-i4,2024-25,Berkshire Hills-Monument Mt Regional High,06180505,         186,         112,  60.2,  32.8,  42.5,  30.1,   5.9,   7.5,   2.7,   8.1,   0.0
NA,NA,a-curv-i4,2024-25,Berlin-Boylston-Tahanto Regional High,06200505,         103,          76,  73.8,  36.9,  64.1,  17.5,   8.7,  37.9,   1.9,   3.9,   0.0
NA,NA,a-curv-i4,2024-25,Beverly-Beverly High,00300505,         436,         297,  68.1,  19.0,  49.1,  20.9,   0.7,  20.0,   4.1,  25.9,   0.0
NA,NA,a-curv-i4,2024-25,Billerica-Billerica Memorial High School,00310505,         391,         335,  85.7,  21.2,  74.4,  38.1,  26.1,  16.4,   0.0,   4.6,   0.0
NA,NA,a-curv-i4,2024-25,Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,         498,         346,  69.5,  14.9,  49.6,  19.9,   1.6,  18.3,   0.4,   0.6,  36.1
NA,NA,a-curv-i4,2024-25,Blackstone-Millville-Blackstone Millville RHS,06220505,         154,         114,  74.0,  21.4,  59.7,  24.0,   0.0,   5.2,   1.3,   0.0,   0.0
