Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Tests Taken,Score=1,Score=2,Score=3,Score=4,Score=5,% Score 1-2,% Score 3-5
9.14,5,a-curv-i3,2022-23,Abington - Abington High,00010505,     164,      40,      49,      51,      21,       3,  54.3,  45.7
1.16,1.16,a-curv-i3,2022-23,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     154,     120,      25,       5,       3,       1,  94.2,   5.8
18.6,5,a-curv-i3,2022-23,Acton-Boxborough - Acton-Boxborough Regional High,06000505,"   1,442",      22,      79,     229,     473,     639,   7.0,  93.0
16.48,5,a-curv-i3,2022-23,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     387,      17,      51,      87,     118,     114,  17.6,  82.4
12.24,5,a-curv-i3,2022-23,Agawam - Agawam High,00050505,     423,      60,     104,     140,      82,      37,  38.8,  61.2
16.8,5,a-curv-i3,2022-23,Amesbury - Amesbury High,00070505,     100,       4,      12,      31,      27,      26,  16.0,  84.0
16.78,5,a-curv-i3,2022-23,Amherst-Pelham - Amherst Regional High,06050505,     224,       7,      29,      58,      79,      51,  16.1,  83.9
16.22,5,a-curv-i3,2022-23,Andover - Andover High,00090505,"   1,173",      55,     167,     281,     378,     292,  18.9,  81.1
15.62,5,a-curv-i3,2022-23,Arlington - Arlington High,00100505,"   1,408",      94,     215,     379,     397,     323,  21.9,  78.1
11.9,5,a-curv-i3,2022-23,Ashburnham-Westminster - Oakmont Regional High School,06100505,     195,      21,      58,      62,      35,      19,  40.5,  59.5
18.4,5,a-curv-i3,2022-23,Ashland - Ashland High,00140505,     436,      10,      25,      78,     146,     177,   8.0,  92.0
7.459999999999999,5,a-curv-i3,2022-23,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,     110,      32,      37,      31,       9,       1,  62.7,  37.3
6.0600000000000005,5,a-curv-i3,2022-23,Athol-Royalston - Athol High,06150505,      99,      56,      13,      18,       9,       3,  69.7,  30.3
3.1,3.1,a-curv-i3,2022-23,Atlantis Charter (District) - Atlantis Charter School,04910550,     116,      67,      31,      14,       4,       0,  84.5,  15.5
8.6,5,a-curv-i3,2022-23,Attleboro - Attleboro High,00160505,     646,     187,     181,     152,      99,      27,  57.0,  43.0
10.0,5,a-curv-i3,2022-23,Auburn - Auburn Senior High,00170505,     352,      70,     106,     109,      43,      24,  50.0,  50.0
9.559999999999999,5,a-curv-i3,2022-23,Avon - Avon Middle High School,00180510,      23,       3,       9,       6,       5,       0,  52.2,  47.8
13.219999999999999,5,a-curv-i3,2022-23,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,     118,      12,      28,      33,      35,      10,  33.9,  66.1
8.6,5,a-curv-i3,2022-23,Barnstable - Barnstable High,00200505,     565,     146,     176,     125,      85,      33,  57.0,  43.0
1.8199999999999998,1.82,a-curv-i3,2022-23,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,      22,      14,       6,       1,       1,       0,  90.9,   9.1
17.78,5,a-curv-i3,2022-23,Bedford - Bedford High,00230505,     478,      13,      40,      88,     139,     198,  11.1,  88.9
13.34,5,a-curv-i3,2022-23,Belchertown - Belchertown High,00240505,     111,       6,      31,      32,      24,      18,  33.3,  66.7
8.84,5,a-curv-i3,2022-23,Bellingham - Bellingham High School,00250505,     163,      45,      46,      43,      23,       6,  55.8,  44.2
18.5,5,a-curv-i3,2022-23,Belmont - Belmont High,00260505,"   1,391",      16,      88,     232,     448,     607,   7.5,  92.5
14.280000000000001,5,a-curv-i3,2022-23,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,      28,       5,       3,      12,       7,       1,  28.6,  71.4
14.219999999999999,5,a-curv-i3,2022-23,Berkshire Hills - Monument Mt Regional High,06180505,      90,       5,      21,      24,      17,      23,  28.9,  71.1
13.48,5,a-curv-i3,2022-23,Berlin-Boylston - Tahanto Regional High,06200505,     144,      11,      36,      60,      22,      15,  32.6,  67.4
12.64,5,a-curv-i3,2022-23,Beverly - Beverly High,00300505,     456,      67,     101,     135,      98,      55,  36.8,  63.2
10.92,5,a-curv-i3,2022-23,Billerica - Billerica Memorial High School,00310505,     599,     127,     145,     163,     102,      62,  45.4,  54.6
9.74,5,a-curv-i3,2022-23,Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,     374,      82,     110,      89,      68,      25,  51.3,  48.7
14.8,5,a-curv-i3,2022-23,Blackstone-Millville - Blackstone Millville RHS,06220505,      77,       3,      17,      31,      17,       9,  26.0,  74.0
14.52,5,a-curv-i3,2022-23,Blue Hills Regional Vocational Technical - Blue Hills Regional Vocational Technical,08060605,      62,       3,      14,      24,      16,       5,  27.4,  72.6
1.1800000000000002,1.18,a-curv-i3,2022-23,Boston - Another Course To College,00350541,     118,      97,      14,       3,       4,       0,  94.1,   5.9
1.1800000000000002,1.18,a-curv-i3,2022-23,Boston - Boston Arts Academy,00350546,      34,      28,       4,       2,       0,       0,  94.1,   5.9
0.0,1,a-curv-i3,2022-23,Boston - Boston Collaborative High School,00350755,       1,"","","","","","",""
3.5,3.5,a-curv-i3,2022-23,Boston - Boston Community Leadership Academy,00350558,     120,      59,      40,      21,       0,       0,  82.5,  17.5
3.34,3.34,a-curv-i3,2022-23,Boston - Boston International High School & Newcomers Academy,00350507,      30,      18,       7,       4,       1,       0,  83.3,  16.7
10.459999999999999,5,a-curv-i3,2022-23,Boston - Boston Latin Academy,00350545,"   1,107",     198,     330,     332,     160,      87,  47.7,  52.3
16.84,5,a-curv-i3,2022-23,Boston - Boston Latin School,00350560,"   2,341",     111,     259,     585,     709,     677,  15.8,  84.2
5.42,5,a-curv-i3,2022-23,Boston - Brighton High School,00350505,      70,      40,      11,       5,       3,      11,  72.9,  27.1
1.1800000000000002,1.18,a-curv-i3,2022-23,Boston - Burke High School,00350525,      68,      59,       5,       4,       0,       0,  94.1,   5.9
2.8,2.8,a-curv-i3,2022-23,Boston - Charlestown High School,00350515,      93,      64,      16,      12,       1,       0,  86.0,  14.0
