Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade 11 and 12 Students,# Students Completing Advanced,% Students Completing Advanced,% ELA,% Math,% Science and Technology,% Computer and Information Science,% History and Social Sciences,% Arts,% All Other Subjects,Ch 74 Secondary Cooperative Program
3.604963112005365,3.6,a-curv-i7,2024-25,Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,         156,         156, 100.0,  65.4,  66.7,  42.9,   4.5,  44.2,  22.4,  27.6,   0.0
-5.444444444444445,1,a-curv-i7,2024-25,Abington-Abington High,00010505,         253,         206,  81.4,  13.8,  81.4,   3.6,   0.0,  15.0,   0.0,   0.0,   0.0
6.332320162107395,5,a-curv-i7,2024-25,Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,          98,          98, 100.0,   0.0,  99.0,  41.8,   0.0,  40.8,   0.0,   6.1,   0.0
-2.2165659136705904,1,a-curv-i7,2024-25,Acton-Boxborough-Acton-Boxborough Regional High,06000505,         806,         603,  74.8,  21.2,  66.1,  36.1,   5.0,  52.6,   0.0,  11.4,   0.0
-5.7900432900432905,1,a-curv-i7,2024-25,Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,         256,         246,  96.1,  19.1,  89.5,  36.7,   0.8,  60.9,   2.7,   9.8,   0.0
-12.965029761904761,1,a-curv-i7,2024-25,Agawam-Agawam High,00050505,         493,         325,  65.9,  28.8,  48.9,  37.9,   3.0,  19.5,   1.6,   0.0,   0.0
-5.263772175536881,1,a-curv-i7,2024-25,Amesbury-Amesbury High,00070505,         224,         114,  50.9,  15.2,  46.9,  12.9,   0.0,   8.0,   4.5,  12.5,   0.0
0.0,1,a-curv-i7,2024-25,Amesbury-Amesbury Innovation High School,00070515,          27,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
-3.2295482295482296,1,a-curv-i7,2024-25,Amherst-Pelham-Amherst Regional High,06050505,         425,         260,  61.2,   0.5,  53.4,  12.5,   1.6,  19.3,   0.0,   8.5,   0.0
-6.39596602972399,1,a-curv-i7,2024-25,Andover-Andover High,00090505,         819,         660,  80.6,  44.2,  69.1,  44.4,   6.6,  35.7,   3.7,  10.9,   0.0
4.210758377425044,4.21,a-curv-i7,2024-25,Argosy Collegiate Charter School (District)-Argosy Collegiate Charter School,35090305,         107,          88,  82.2,  63.6,  15.9,   0.0,   2.8,  41.1,  23.4,  44.9,   0.0
-10.15,1,a-curv-i7,2024-25,Arlington-Arlington High,00100505,         821,         712,  86.7,  46.7,  76.6,  30.2,   7.1,  60.4,   2.6,  14.6,   0.0
-12.65172735760971,1,a-curv-i7,2024-25,Ashburnham-Westminster-Oakmont Regional High School,06100505,         316,         204,  64.6,  19.9,  58.9,  10.1,   0.3,  13.3,   0.0,   4.4,   0.0
-4.200295937584073,1,a-curv-i7,2024-25,Ashland-Ashland High,00140505,         445,         303,  68.1,  24.0,  58.7,  28.3,  15.3,   7.9,   0.0,   3.6,   0.0
-7.12021221532091,1,a-curv-i7,2024-25,Assabet Valley Regional Vocational Technical-Assabet Valley Vocational High School,08010605,         540,         453,  83.9,   8.7,  53.1,  22.4,   0.2,   0.2,   0.0,  28.0,  27.2
-2.7838827838827847,1,a-curv-i7,2024-25,Athol-Royalston-Athol High,06150505,         208,         153,  73.6,  13.9,  44.2,  24.0,   4.3,  28.4,   0.0,   4.3,   0.0
0.7729211087420045,1,a-curv-i7,2024-25,Atlantis Charter (District)-Atlantis Charter School,04910550,         146,          74,  50.7,  23.3,  26.7,  28.8,   0.0,  28.8,   0.0,   0.0,   0.0
0.0,1,a-curv-i7,2024-25,Attleboro-Attleboro Community Academy,00160515,          49,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
-4.1197105292232905,1,a-curv-i7,2024-25,Attleboro-Attleboro High,00160505,         992,         602,  60.7,  14.5,  49.2,  10.4,   7.9,  22.2,   0.5,   0.0,   0.0
34.375,5,a-curv-i7,2024-25,Attleboro-Attleboro Virtual Academy,00160705,          24,          13,  54.2,   4.2,  54.2,   0.0,   0.0,   8.3,   0.0,   0.0,   0.0
-4.856475300400533,1,a-curv-i7,2024-25,Auburn-Auburn Senior High,00170505,         359,         207,  57.7,  14.5,  40.1,  21.7,   0.0,  25.1,   4.5,   1.1,   0.0
2.7042915931804816,2.7,a-curv-i7,2024-25,Avon-Avon Middle High School,00180510,         109,          63,  57.8,  13.8,  33.9,  38.5,   0.0,   0.0,   0.0,   0.0,   0.0
-3.532268170426064,1,a-curv-i7,2024-25,Ayer Shirley School District-Ayer Shirley Regional High School,06160505,         229,         160,  69.9,  15.3,  60.7,  21.8,   7.4,  24.5,   0.0,   3.1,   0.0
-3.485324947589098,1,a-curv-i7,2024-25,Barnstable-Barnstable High,00200505,         648,         420,  64.8,  12.2,  39.8,  37.8,   5.4,  23.6,   3.5,   6.6,   0.0
8.04794520547945,5,a-curv-i7,2024-25,Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,          75,          74,  98.7,  25.3,  53.3,  53.3,   0.0,   0.0,   0.0,   0.0,   0.0
-4.646464646464646,1,a-curv-i7,2024-25,Bedford-Bedford High,00230505,         428,         339,  79.2,  21.7,  77.3,  33.9,   5.6,   4.4,   0.0,   5.4,   0.0
