Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
6.9,5,"",2022-23,6.9,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,   1.0,   1.0,   3.9,  93.1,   0.0,   0.0,   1.0,  73.3,  26.7,        102.0
0.0,1,"",2022-23,0.0,Abington - Abington Early Education Program,00010001,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,          4.0
2.6,2.6,"",2022-23,2.6,Abington - Abington High,00010505,   0.0,   0.0,   2.6,  97.4,   0.0,   0.0,   0.0,  67.3,  32.7,         39.1
6.9,5,"",2022-23,6.9,Abington - Abington Middle School,00010405,   2.9,   0.0,   4.0,  93.1,   0.0,   0.0,   0.0,  64.6,  35.4,         34.8
3.7,3.7,"",2022-23,3.7,Abington - Beaver Brook Elementary,00010020,   3.7,   0.0,   0.0,  96.3,   0.0,   0.0,   0.0, 100.0,   0.0,         27.1
6.6,5,"",2022-23,6.6,Abington - Woodsdale Elementary School,00010015,   0.0,   0.0,   0.0,  93.4,   0.0,   0.0,   6.6,  83.6,  16.4,         15.2
36.3,5,"",2022-23,36.3,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,  27.2,   3.9,   5.2,  63.7,   0.0,   0.0,   0.0,  52.8,  47.2,         38.3
4.2,4.2,"",2022-23,4.2,Acton-Boxborough - Acton-Boxborough Regional High,06000505,   0.0,   2.4,   1.8,  95.8,   0.0,   0.0,   0.0,  67.8,  32.2,        109.2
3.6,3.6,"",2022-23,3.6,Acton-Boxborough - Blanchard Memorial School,06000005,   3.6,   0.0,   0.0,  96.4,   0.0,   0.0,   0.0,  92.9,   7.1,         28.0
0.5,1,"",2022-23,0.5,Acton-Boxborough - C.T. Douglas Elementary School,06000020,   0.0,   0.5,   0.0,  99.5,   0.0,   0.0,   0.0,  90.9,   9.1,         22.0
