Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Grade Nine Students,# Passing All Courses,% Passing All Courses
3.7010526315789476,3.7,a-ovpe-i1,2021-22,Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,          91,          80,  87.9
3.250526315789474,3.25,a-ovpe-i1,2021-22,Abington-Abington High,00010505,         136,         105,  77.2
3.4989473684210526,3.5,a-ovpe-i1,2021-22,Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,          71,          59,  83.1
4.1557894736842105,4.16,a-ovpe-i1,2021-22,Acton-Boxborough-Acton-Boxborough Regional High,06000505,         391,         386,  98.7
3.8063157894736843,3.81,a-ovpe-i1,2021-22,Advanced Math and Science Academy Charter (District)-Advanced Math and Science Academy Charter School,04300305,         135,         122,  90.4
3.263157894736842,3.26,a-ovpe-i1,2021-22,Agawam-Agawam High,00050505,         285,         221,  77.5
3.44,3.44,a-ovpe-i1,2021-22,Amesbury-Amesbury High,00070505,         104,          85,  81.7
2.454736842105263,2.45,a-ovpe-i1,2021-22,Amesbury-Amesbury Innovation High School,00070515,          12,           7,  58.3
3.3936842105263154,3.39,a-ovpe-i1,2021-22,Amherst-Pelham-Amherst Regional High,06050505,         206,         166,  80.6
4.050526315789474,4.05,a-ovpe-i1,2021-22,Andover-Andover High,00090505,         417,         401,  96.2
2.214736842105263,2.21,a-ovpe-i1,2021-22,Argosy Collegiate Charter School (District)-Argosy Collegiate Charter School,35090305,          78,          41,  52.6
3.873684210526316,3.87,a-ovpe-i1,2021-22,Arlington-Arlington High,00100505,         374,         344,  92.0
4.025263157894736,4.03,a-ovpe-i1,2021-22,Ashburnham-Westminster-Oakmont Regional High School,06100505,         160,         153,  95.6
3.831578947368421,3.83,a-ovpe-i1,2021-22,Ashland-Ashland High,00140505,         223,         203,  91.0
4.012631578947368,4.01,a-ovpe-i1,2021-22,Assabet Valley Regional Vocational Technical-Assabet Valley Vocational High School,08010605,         299,         285,  95.3
3.195789473684211,3.2,a-ovpe-i1,2021-22,Athol-Royalston-Athol High,06150505,         116,          88,  75.9
3.221052631578947,3.22,a-ovpe-i1,2021-22,Atlantis Charter (District)-Atlantis Charter School,04910550,          81,          62,  76.5
NA,NA,a-ovpe-i1,2021-22,Attleboro-Attleboro Community Academy,00160515,           3,"",""
3.92,3.92,a-ovpe-i1,2021-22,Attleboro-Attleboro High,00160505,         494,         460,  93.1
NA,NA,a-ovpe-i1,2021-22,Attleboro-Attleboro Virtual Academy,00160705,           5,"",""
3.5705263157894738,3.57,a-ovpe-i1,2021-22,Auburn-Auburn Senior High,00170505,         171,         145,  84.8
2.997894736842105,3.0,a-ovpe-i1,2021-22,Avon-Avon Middle High School,00180510,          66,          47,  71.2
3.646315789473684,3.65,a-ovpe-i1,2021-22,Ayer Shirley School District-Ayer Shirley Regional High School,06160505,         119,         103,  86.6
3.0652631578947367,3.07,a-ovpe-i1,2021-22,Barnstable-Barnstable High,00200505,         378,         275,  72.8
3.1578947368421053,3.16,a-ovpe-i1,2021-22,Baystate Academy Charter Public School (District)-Baystate Academy Charter Public School,35020405,          68,          51,  75.0
4.025263157894736,4.03,a-ovpe-i1,2021-22,Bedford-Bedford High,00230505,         227,         217,  95.6
3.1242105263157898,3.12,a-ovpe-i1,2021-22,Belchertown-Belchertown High,00240505,         163,         121,  74.2
3.6589473684210527,3.66,a-ovpe-i1,2021-22,Bellingham-Bellingham High School,00250505,         153,         133,  86.9
NA,NA,a-ovpe-i1,2021-22,Bellingham-Keough Memorial Academy,00250510,           5,"",""
3.8610526315789473,3.86,a-ovpe-i1,2021-22,Belmont-Belmont High,00260505,         349,         320,  91.7
2.808421052631579,2.81,a-ovpe-i1,2021-22,Berkshire Arts and Technology Charter Public (District)-Berkshire Arts and Technology Charter Public School,04140305,          51,          34,  66.7
3.751578947368421,3.75,a-ovpe-i1,2021-22,Berkshire Hills-Monument Mt Regional High,06180505,         138,         123,  89.1
3.6294736842105264,3.63,a-ovpe-i1,2021-22,Berlin-Boylston-Tahanto Regional High,06200505,          65,          56,  86.2
3.5242105263157897,3.52,a-ovpe-i1,2021-22,Beverly-Beverly High,00300505,         325,         272,  83.7
3.6210526315789475,3.62,a-ovpe-i1,2021-22,Billerica-Billerica Memorial High School,00310505,         308,         265,  86.0
3.6842105263157894,3.68,a-ovpe-i1,2021-22,Blackstone Valley Regional Vocational Technical-Blackstone Valley,08050605,         321,         281,  87.5
3.477894736842105,3.48,a-ovpe-i1,2021-22,Blackstone-Millville-Blackstone Millville RHS,06220505,         109,          90,  82.6
4.071578947368421,4.07,a-ovpe-i1,2021-22,Blue Hills Regional Vocational Technical-Blue Hills Regional Vocational Technical,08060605,         245,         237,  96.7
3.1705263157894734,3.17,a-ovpe-i1,2021-22,Boston Collegiate Charter (District)-Boston Collegiate Charter School,04490305,          97,          73,  75.3
4.2105263157894735,4.21,a-ovpe-i1,2021-22,Boston Day and Evening Academy Charter (District)-Boston Day and Evening Academy Charter School,04240505,          46,          46, 100.0
3.183157894736842,3.18,a-ovpe-i1,2021-22,Boston Green Academy Horace Mann Charter School (District)-Boston Green Academy Horace Mann Charter School,04110305,          90,          68,  75.6
3.5199999999999996,3.52,a-ovpe-i1,2021-22,Boston Preparatory Charter Public (District)-Boston Preparatory Charter Public School,04160305,         122,         102,  83.6
1.848421052631579,1.85,a-ovpe-i1,2021-22,Boston-Another Course To College,00350541,          66,          29,  43.9
2.888421052631579,2.89,a-ovpe-i1,2021-22,Boston-Boston Arts Academy,00350546,         118,          81,  68.6
NA,NA,a-ovpe-i1,2021-22,Boston-Boston Collaborative High School,00350755,           3,"",""
3.031578947368421,3.03,a-ovpe-i1,2021-22,Boston-Boston Community Leadership Academy,00350558,         125,          90,  72.0
