Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# Enrolled,# Retained,% Retained,01,02,03,04,05,06,07,08,09,10,11,12
7.6,5,a-degr-i2,2022-23,Abby Kelley Foster Charter Public (District)-Abby Kelley Foster Charter Public School,04450105,"       1,302",           2,   0.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   1.8,   0.0,   0.0,   0.0,   0.0
8.0,5,a-degr-i2,2022-23,Abington-Woodsdale Elementary School,00010015,         335,           0,   0.0,"","",   0.0,   0.0,"","","","","","","",""
8.0,5,a-degr-i2,2022-23,Abington-Abington Middle School,00010405,         647,           0,   0.0,"","","","",   0.0,   0.0,   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Abington-Beaver Brook Elementary,00010020,         361,           0,   0.0,   0.0,   0.0,"","","","","","","","","",""
7.2,5,a-degr-i2,2022-23,Abington-Abington High,00010505,         541,           2,   0.4,"","","","","","","","",   0.7,   0.0,   0.0,   0.8
7.2,5,a-degr-i2,2022-23,Academy Of the Pacific Rim Charter Public (District)-Academy Of the Pacific Rim Charter Public School,04120530,         467,           2,   0.4,"","","","",   2.8,   0.0,   0.0,   0.0,   1.6,   0.0,   0.0,   0.0
7.6,5,a-degr-i2,2022-23,Acton-Boxborough-Acton-Boxborough Regional High,06000505,"       1,682",           4,   0.2,"","","","","","","","",   0.2,   0.0,   0.0,   0.7
8.0,5,a-degr-i2,2022-23,Acton-Boxborough-Raymond J Grey Junior High,06000405,         825,           0,   0.0,"","","","","","",   0.0,   0.0,"","","",""
8.0,5,a-degr-i2,2022-23,Acton-Boxborough-Luther Conant School,06000030,         370,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
6.8,5,a-degr-i2,2022-23,Acton-Boxborough-C.T. Douglas Elementary School,06000020,         323,           2,   0.6,   1.6,   1.7,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Acton-Boxborough-McCarthy-Towne School,06000015,         389,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Acton-Boxborough-Merriam School,06000010,         397,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Acton-Boxborough-Blanchard Memorial School,06000005,         448,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
8.0,5,a-degr-i2,2022-23,Acton-Boxborough-Paul P Gates Elementary School,06000025,         296,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,"","","","","",""
