Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,4 Year Private College,4 Year Public College,2 Year Private College,2 Year Public College,Other Post Secondary,Apprenticeship,Work,Military,Other,Unknown,Total
5.338666666666667,5,a-cgpr-i1,2016-17,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,  21.3,  51.3,   0.0,  22.5,   2.5,"",   2.5,   0.0,   0.0,   0.0,      80
5.216,5,a-cgpr-i1,2016-17,Abington - Abington High,00010505,  26.6,  44.7,   0.0,  22.3,   2.1,"",   2.1,   1.1,   0.0,   1.1,      94
5.338666666666667,5,a-cgpr-i1,2016-17,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,  50.0,  41.7,   0.0,   6.3,   2.1,"",   0.0,   0.0,   0.0,   0.0,      48
5.226666666666667,5,a-cgpr-i1,2016-17,Acton-Boxborough - Acton-Boxborough Regional High,06000505,  48.5,  42.3,   0.0,   3.3,   1.5,"",   2.4,   1.1,   0.4,   0.4,     456
4.997333333333334,5.0,a-cgpr-i1,2016-17,Adams-Cheshire - Hoosac Valley Middle & High School,06030505,  23.4,  29.7,   3.1,  20.3,   4.7,"",  12.5,   3.1,   0.0,   3.1,      64
5.205333333333333,5,a-cgpr-i1,2016-17,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,  47.6,  46.0,   0.8,   3.2,   0.0,"",   0.0,   0.8,   1.6,   0.0,     124
4.8693333333333335,4.87,a-cgpr-i1,2016-17,Agawam - Agawam High,00050505,  29.3,  21.2,   0.7,  32.3,   1.7,"",   6.1,   3.7,   0.0,   5.1,     297
5.296,5,a-cgpr-i1,2016-17,Amesbury - Amesbury High,00070505,  26.0,  39.3,   0.0,  20.0,   1.3,"",  12.7,   0.7,   0.0,   0.0,     150
4.666666666666667,4.67,a-cgpr-i1,2016-17,Amesbury - Amesbury Innovation High School,00070515,  12.5,  12.5,   0.0,  50.0,   0.0,"",  12.5,  12.5,   0.0,   0.0,       8
5.114666666666667,5,a-cgpr-i1,2016-17,Amherst-Pelham - Amherst Regional High,06050505,  37.2,  26.5,   1.3,  24.2,   0.9,"",   5.8,   0.0,   1.8,   2.2,     223
5.312,5,a-cgpr-i1,2016-17,Andover - Andover High,00090505,  56.9,  38.1,   0.2,   4.2,   0.2,"",   0.0,   0.0,   0.0,   0.4,     457
5.1466666666666665,5,a-cgpr-i1,2016-17,Arlington - Arlington High,00100505,  49.5,  37.4,   0.3,   6.9,   0.3,"",   2.1,   0.3,   3.1,   0.0,     289
5.28,5,a-cgpr-i1,2016-17,Ashburnham-Westminster - Oakmont Regional High School,06100505,  31.4,  38.5,   0.0,  17.8,   3.6,"",   7.7,   0.6,   0.0,   0.6,     169
5.296,5,a-cgpr-i1,2016-17,Ashland - Ashland High,00140505,  33.5,  50.5,   0.0,   8.8,   1.6,"",   4.9,   0.0,   0.0,   0.5,     182
5.162666666666667,5,a-cgpr-i1,2016-17,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,  15.7,  19.5,   0.4,  15.3,   6.1,"",  39.8,   2.7,   0.0,   0.4,     261
5.093333333333334,5,a-cgpr-i1,2016-17,Athol-Royalston - Athol High,06150505,  19.4,  11.9,   1.5,  46.3,   4.5,"",  11.9,   3.0,   1.5,   0.0,      67
4.0906666666666665,4.09,a-cgpr-i1,2016-17,Attleboro - Attleboro Community Academy,00160515,   0.0,   0.0,   3.3,  30.0,   6.7,"",  36.7,   6.7,   6.7,  10.0,      30
4.943999999999999,4.94,a-cgpr-i1,2016-17,Attleboro - Attleboro High,00160505,  26.7,  31.1,   0.0,  21.3,   1.6,"",  12.0,   5.4,   0.3,   1.6,     367
5.2266666666666675,5,a-cgpr-i1,2016-17,Auburn - Auburn Senior High,00170505,  35.1,  42.4,   0.0,  11.9,   0.7,"",   7.9,   2.0,   0.0,   0.0,     151
5.002666666666666,5,a-cgpr-i1,2016-17,Avon - Avon Middle High School,00180510,  20.8,  54.2,   0.0,   4.2,  12.5,"",   2.1,   0.0,   4.2,   2.1,      48
4.794666666666666,4.79,a-cgpr-i1,2016-17,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,  20.3,  36.7,   0.0,  25.3,   0.0,"",   7.6,   2.5,   0.0,   7.6,      79
4.629333333333333,4.63,a-cgpr-i1,2016-17,Barnstable - Barnstable High,00200505,  28.0,  49.4,   0.0,   1.1,   0.0,"",   8.3,   3.4,   6.0,   3.7,     350
5.130666666666667,5,a-cgpr-i1,2016-17,Bedford - Bedford High,00230505,  44.3,  37.6,   0.0,  11.4,   1.0,"",   1.9,   1.4,   0.5,   1.9,     210
4.800000000000001,4.8,a-cgpr-i1,2016-17,Belchertown - Belchertown High,00240505,  38.7,  18.5,   1.2,  26.2,   0.0,"",   5.4,   1.8,   1.2,   7.1,     168
5.0986666666666665,5,a-cgpr-i1,2016-17,Bellingham - Bellingham High School,00250505,  14.3,  50.4,   0.8,   4.5,   6.8,"",  18.8,   1.5,   3.0,   0.0,     133
0.0,1,a-cgpr-i1,2016-17,Bellingham - Keough Memorial Academy,00250510,"","","","","","","","","","",       3
5.253333333333333,5,a-cgpr-i1,2016-17,Belmont - Belmont High,00260505,  62.7,  32.8,   0.0,   1.0,   1.0,"",   1.0,   0.0,   0.0,   1.4,     287
5.333333333333333,5,a-cgpr-i1,2016-17,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,  37.5,  62.5,   0.0,   0.0,   0.0,"",   0.0,   0.0,   0.0,   0.0,      16
5.040000000000001,5,a-cgpr-i1,2016-17,Berkshire Hills - Monument Mt Regional High,06180505,  41.0,  24.3,   0.0,  18.1,   0.7,"",  10.4,   2.1,   2.8,   0.7,     144
5.274666666666667,5,a-cgpr-i1,2016-17,Berlin-Boylston - Tahanto Regional High,06200505,   0.0,  97.7,   0.0,   0.0,   0.0,"",   1.2,   0.0,   0.0,   1.2,      86
5.04,5,a-cgpr-i1,2016-17,Beverly - Beverly High,00300505,  28.5,  43.9,   0.6,  18.9,   1.0,"",   1.6,   2.6,   1.6,   1.3,     312
