Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,<26 yrs (# ),26-32 yrs (#),33-40 yrs (#),41-48 yrs (#),49-56 yrs (#),57-64 yrs (#),Over 64 yrs (#),FTE Count,Student Count,Student to Nurse Ratio
5.464888888888889,5,a-phya-i1,2024-25,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,          0.0,          0.0,          1.0,          2.0,          0.0,          0.0,          0.0,          3.0,1426,475.3333333333333
0,1,a-phya-i1,2024-25,Abington - Abington Early Education Program,00010001,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,82
6.115555555555556,5,a-phya-i1,2024-25,Abington - Abington High,00010505,          0.0,          0.0,          0.0,          1.5,          0.0,          0.0,          0.0,          1.5,530,353.3333333333333
4.437333333333333,4.44,a-phya-i1,2024-25,Abington - Abington Middle School,00010405,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,668,668.0
5.381333333333333,5,a-phya-i1,2024-25,Abington - Beaver Brook Elementary,00010020,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,491,491.0
6.016,5,a-phya-i1,2024-25,Abington - Woodsdale Elementary School,00010015,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          1.0,372,372.0
1.2133333333333334,1.21,a-phya-i1,2024-25,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,          0.0,          0.0,          0.4,          0.0,          0.0,          0.0,          0.0,          0.4,509,1272.5
3.880634920634921,3.88,a-phya-i1,2024-25,Acton-Boxborough - Acton-Boxborough Regional High,06000505,          0.0,          0.0,          0.0,          1.0,          0.1,          1.0,          0.0,          2.1,1622,772.3809523809523
6.808888888888889,5,a-phya-i1,2024-25,Acton-Boxborough - Blanchard Memorial School,06000005,          0.0,          0.0,          1.0,          1.0,          0.0,          0.0,          0.1,          2.1,469,223.33333333333331
6.0218181818181815,5,a-phya-i1,2024-25,Acton-Boxborough - C.T. Douglas Elementary School,06000020,          0.0,          0.0,          0.0,          0.0,          0.1,          0.0,          1.0,          1.1,408,370.9090909090909
0,1,a-phya-i1,2024-25,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,          0.0,116
6.012121212121212,5,a-phya-i1,2024-25,Acton-Boxborough - Luther Conant School,06000030,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.1,          1.1,410,372.7272727272727
5.910303030303031,5,a-phya-i1,2024-25,Acton-Boxborough - McCarthy-Towne School,06000015,          0.0,          0.0,          0.0,          0.0,          1.0,          0.0,          0.1,          1.1,431,391.8181818181818
6.084848484848485,5,a-phya-i1,2024-25,Acton-Boxborough - Merriam School,06000010,          0.0,          0.0,          0.0,          0.0,          0.0,          1.0,          0.1,          1.1,395,359.09090909090907
6.157575757575757,5,a-phya-i1,2024-25,Acton-Boxborough - Paul P Gates Elementary School,06000025,          0.0,          1.0,          0.0,          0.0,          0.1,          0.0,          0.0,          1.1,380,345.45454545454544
5.687017543859649,5,a-phya-i1,2024-25,Acton-Boxborough - Raymond J Grey Junior High,06000405,          0.0,          1.0,          0.0,          0.0,          0.8,          0.0,          0.1,          1.9,824,433.68421052631584
6.621333333333333,5,a-phya-i1,2024-25,Acushnet - Acushnet Elementary School,00030025,          0.0,          1.0,          0.0,          0.0,          1.0,          0.0,          0.0,          2.0,517,258.5
5.850666666666666,5,a-phya-i1,2024-25,Acushnet - Albert F Ford Middle School,00030305,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          0.0,          1.0,403,403.0
3.2969696969696973,3.3,a-phya-i1,2024-25,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,          0.0,          0.0,          0.5,          0.6,          0.0,          0.0,          0.0,          1.1,970,881.8181818181818
7.28,5,a-phya-i1,2024-25,Agawam - Agawam Early Childhood Center,00050003,          0.0,          0.0,          0.0,          1.0,          0.0,          0.0,          0.0,          1.0,135,135.0
