Raw likert calculation,Likert Score,Admin Data Item,Academic Year,Teachers of color (%),School Name,DESE ID,African American (%),Asian (%),Hispanic (%),White (%),Native American (%),Native Hawaiian Pacific Islander (%),Multi-Race Non-Hispanic (%),Females (%),Males (%),FTE Count
10.399999999999999,5,"",2021-22,10.399999999999999,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,   4.5,   0.6,   3.5,  89.7,   0.0,   0.6,   1.2,  78.1,  21.9,        173.4
0.0,1,"",2021-22,0.0,Abington - Abington Early Education Program,00010001,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0, 100.0,   0.0,         17.0
7.5,5,"",2021-22,7.5,Abington - Abington High,00010505,   0.0,   1.5,   6.0,  92.5,   0.0,   0.0,   0.0,  72.5,  27.5,         66.6
9.8,5,"",2021-22,9.8,Abington - Abington Middle School,00010405,   1.3,   1.3,   5.9,  90.1,   0.0,   0.0,   1.3,  76.3,  23.7,         75.1
1.4,1.4,"",2021-22,1.4,Abington - Beaver Brook Elementary,00010020,   0.0,   0.0,   1.4,  98.6,   0.0,   0.0,   0.0,  98.6,   1.4,         69.7
0.0,1,"",2021-22,0.0,Abington - Woodsdale Elementary School,00010015,   0.0,   0.0,   0.0, 100.0,   0.0,   0.0,   0.0,  91.1,   8.9,         39.1
47.800000000000004,5,"",2021-22,47.800000000000004,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,  27.6,   9.1,  10.0,  52.2,   0.0,   0.0,   1.1,  65.7,  34.3,         90.4
5.800000000000001,5,"",2021-22,5.800000000000001,Acton-Boxborough - Acton-Boxborough Regional High,06000505,   0.5,   2.4,   1.5,  94.2,   0.5,   0.0,   0.9,  75.0,  25.0,        198.7
8.0,5,"",2021-22,8.0,Acton-Boxborough - Blanchard Memorial School,06000005,   1.1,   6.2,   0.7,  92.0,   0.0,   0.0,   0.0,  87.7,  12.3,         88.0
4.5,4.5,"",2021-22,4.5,Acton-Boxborough - C.T. Douglas Elementary School,06000020,   0.0,   0.0,   4.5,  95.5,   0.0,   0.0,   0.0,  94.4,   5.6,         53.6
11.1,5,"",2021-22,11.1,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,   0.0,  11.1,   0.0,  88.9,   0.0,   0.0,   0.0,  96.6,   3.4,         29.5
15.9,5,"",2021-22,15.9,Acton-Boxborough - Luther Conant School,06000030,   0.0,  11.4,   3.0,  84.2,   0.0,   0.0,   1.5,  97.0,   3.0,         67.7
10.1,5,"",2021-22,10.1,Acton-Boxborough - McCarthy-Towne School,06000015,   0.0,   7.6,   2.5,  89.9,   0.0,   0.0,   0.0,  95.4,   4.6,         65.8
12.5,5,"",2021-22,12.5,Acton-Boxborough - Merriam School,06000010,   2.9,   6.6,   1.5,  87.6,   0.0,   0.0,   1.5,  95.7,   4.3,         68.9
