Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
4.649411764705882,4.65,a-degr-i3,2020-21,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,        82,    98.8,     0.0,     0.0,     0.0,     1.2,     0.0
4.475294117647058,4.48,a-degr-i3,2020-21,Abington - Abington High,00010505,       162,    95.1,     0.0,     1.2,     0.6,     3.1,     0.0
4.705882352941177,4.71,a-degr-i3,2020-21,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,        59,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
4.672941176470588,4.67,a-degr-i3,2020-21,Acton-Boxborough - Acton-Boxborough Regional High,06000505,       427,    99.3,     0.0,     0.0,     0.0,     0.7,     0.0
4.672941176470588,4.67,a-degr-i3,2020-21,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,       141,    99.3,     0.0,     0.0,     0.0,     0.7,     0.0
4.352941176470588,4.35,a-degr-i3,2020-21,Agawam - Agawam High,00050505,       279,    92.5,     0.4,     0.4,     0.7,     6.1,     0.0
4.437647058823529,4.44,a-degr-i3,2020-21,Amesbury - Amesbury High,00070505,       141,    94.3,     0.7,     0.0,     0.7,     4.3,     0.0
4.0329411764705885,4.03,a-degr-i3,2020-21,Amesbury - Amesbury Innovation High School,00070515,        14,    85.7,     0.0,     0.0,     0.0,    14.3,     0.0
4.437647058823529,4.44,a-degr-i3,2020-21,Amherst-Pelham - Amherst Regional High,06050505,       229,    94.3,     0.4,     0.9,     1.3,     3.1,     0.0
4.644705882352941,4.64,a-degr-i3,2020-21,Andover - Andover High,00090505,       452,    98.7,     0.4,     0.2,     0.4,     0.2,     0.0
4.522352941176471,4.52,a-degr-i3,2020-21,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,        51,    96.1,     2.0,     0.0,     0.0,     2.0,     0.0
4.621176470588235,4.62,a-degr-i3,2020-21,Arlington - Arlington High,00100505,       333,    98.2,     0.3,     0.6,     0.0,     0.9,     0.0
4.536470588235295,4.54,a-degr-i3,2020-21,Ashburnham-Westminster - Oakmont Regional High School,06100505,       169,    96.4,     0.6,     0.0,     0.6,     2.4,     0.0
4.597647058823529,4.6,a-degr-i3,2020-21,Ashland - Ashland High,00140505,       213,    97.7,     0.0,     0.0,     0.0,     2.3,     0.0
4.654117647058824,4.65,a-degr-i3,2020-21,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,       267,    98.9,     0.0,     0.0,     0.0,     1.1,     0.0
3.4635294117647057,3.46,a-degr-i3,2020-21,Athol-Royalston - Athol High,06150505,        87,    73.6,     1.1,    14.9,     0.0,    10.3,     0.0
4.649411764705882,4.65,a-degr-i3,2020-21,Atlantis Charter (District) - Atlantis Charter School,04910550,        86,    98.8,     0.0,     0.0,     0.0,     1.2,     0.0
3.764705882352941,3.76,a-degr-i3,2020-21,Attleboro - Attleboro Community Academy,00160515,        50,    80.0,     4.0,     0.0,     0.0,    16.0,     0.0
4.432941176470588,4.43,a-degr-i3,2020-21,Attleboro - Attleboro High,00160505,       414,    94.2,     1.7,     0.2,     0.5,     3.4,     0.0
4.461176470588235,4.46,a-degr-i3,2020-21,Auburn - Auburn Senior High,00170505,       172,    94.8,     2.9,     0.0,     0.0,     2.3,     0.0
4.183529411764706,4.18,a-degr-i3,2020-21,Avon - Avon Middle High School,00180510,        45,    88.9,     4.4,     2.2,     0.0,     4.4,     0.0
4.475294117647058,4.48,a-degr-i3,2020-21,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,        82,    95.1,     0.0,     0.0,     1.2,     3.7,     0.0
4.070588235294117,4.07,a-degr-i3,2020-21,Barnstable - Barnstable High,00200505,       399,    86.5,     4.5,     0.5,     0.3,     8.3,     0.0
4.512941176470589,4.51,a-degr-i3,2020-21,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,        49,    95.9,     0.0,     0.0,     0.0,     4.1,     0.0
4.630588235294118,4.63,a-degr-i3,2020-21,Bedford - Bedford High,00230505,       183,    98.4,     0.0,     0.0,     0.0,     1.6,     0.0
4.569411764705882,4.57,a-degr-i3,2020-21,Belchertown - Belchertown High,00240505,       173,    97.1,     0.6,     0.6,     0.6,     1.2,     0.0
4.456470588235295,4.46,a-degr-i3,2020-21,Bellingham - Bellingham High School,00250505,       151,    94.7,     1.3,     0.0,     1.3,     2.6,     0.0
3.138823529411765,3.14,a-degr-i3,2020-21,Bellingham - Keough Memorial Academy,00250510,         6,    66.7,    16.7,    16.7,     0.0,     0.0,     0.0
4.705882352941177,4.71,a-degr-i3,2020-21,Belmont - Belmont High,00260505,       317,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
4.4,4.4,a-degr-i3,2020-21,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,        31,    93.5,     0.0,     0.0,     3.2,     3.2,     0.0
4.296470588235294,4.3,a-degr-i3,2020-21,Berkshire Hills - Monument Mt Regional High,06180505,       126,    91.3,     0.0,     0.8,     0.0,     7.9,     0.0
4.705882352941177,4.71,a-degr-i3,2020-21,Berlin-Boylston - Tahanto Regional High,06200505,        81,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
4.465882352941176,4.47,a-degr-i3,2020-21,Beverly - Beverly High,00300505,       311,    94.9,     1.9,     0.0,     0.3,     2.9,     0.0
