Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% H.S. Equiv.,% Dropped Out,% Permanently Excluded
4.84,4.84,a-degr-i1,2021-22,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,        94,    96.8,     0.0,     0.0,     0.0,     3.2,     0.0
4.68,4.68,a-degr-i1,2021-22,Abington - Abington High,00010505,       156,    93.6,     1.9,     0.0,     0.0,     4.5,     0.0
4.91,4.91,a-degr-i1,2021-22,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,        56,    98.2,     0.0,     0.0,     0.0,     1.8,     0.0
4.9,4.9,a-degr-i1,2021-22,Acton-Boxborough - Acton-Boxborough Regional High,06000505,       452,    98.0,     0.9,     0.0,     0.2,     0.9,     0.0
4.93,4.93,a-degr-i1,2021-22,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,       144,    98.6,     1.4,     0.0,     0.0,     0.0,     0.0
4.6049999999999995,4.6,a-degr-i1,2021-22,Agawam - Agawam High,00050505,       228,    92.1,     1.3,     0.4,     0.4,     5.7,     0.0
4.65,4.65,a-degr-i1,2021-22,Amesbury - Amesbury High,00070505,       115,    93.0,     2.6,     0.0,     0.0,     4.3,     0.0
3.6100000000000003,3.61,a-degr-i1,2021-22,Amesbury - Amesbury Innovation High School,00070515,        18,    72.2,     5.6,     0.0,     0.0,    22.2,     0.0
4.71,4.71,a-degr-i1,2021-22,Amherst-Pelham - Amherst Regional High,06050505,       224,    94.2,     1.8,     0.4,     0.0,     3.6,     0.0
4.665,4.67,a-degr-i1,2021-22,Andover - Andover High,00090505,       402,    93.3,     6.2,     0.0,     0.0,     0.5,     0.0
3.95,3.95,a-degr-i1,2021-22,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,        62,    79.0,     8.1,     0.0,     4.8,     8.1,     0.0
4.8549999999999995,4.85,a-degr-i1,2021-22,Arlington - Arlington High,00100505,       375,    97.1,     1.9,     0.3,     0.0,     0.8,     0.0
4.7700000000000005,4.77,a-degr-i1,2021-22,Ashburnham-Westminster - Oakmont Regional High School,06100505,       130,    95.4,     1.5,     0.0,     0.8,     2.3,     0.0
4.89,4.89,a-degr-i1,2021-22,Ashland - Ashland High,00140505,       228,    97.8,     0.0,     0.0,     0.4,     1.8,     0.0
4.8149999999999995,4.81,a-degr-i1,2021-22,Assabet Valley Regional Vocational Technical - Assabet Valley Vocational High School,08010605,       272,    96.3,     0.4,     0.0,     0.0,     3.3,     0.0
4.295,4.3,a-degr-i1,2021-22,Athol-Royalston - Athol High,06150505,        78,    85.9,     6.4,     0.0,     0.0,     7.7,     0.0
4.545,4.55,a-degr-i1,2021-22,Atlantis Charter (District) - Atlantis Charter School,04910550,        77,    90.9,     1.3,     0.0,     0.0,     5.2,     2.6
4.255,4.26,a-degr-i1,2021-22,Attleboro - Attleboro Community Academy,00160515,        47,    85.1,     6.4,     0.0,     0.0,     8.5,     0.0
4.725,4.73,a-degr-i1,2021-22,Attleboro - Attleboro High,00160505,       422,    94.5,     2.8,     0.0,     0.0,     2.6,     0.0
4.6450000000000005,4.65,a-degr-i1,2021-22,Attleboro - Attleboro Virtual Academy,00160705,        14,    92.9,     0.0,     0.0,     0.0,     7.1,     0.0
4.8,4.8,a-degr-i1,2021-22,Auburn - Auburn Senior High,00170505,       174,    96.0,     2.3,     0.0,     0.6,     1.1,     0.0
4.165,4.17,a-degr-i1,2021-22,Avon - Avon Middle High School,00180510,        42,    83.3,    11.9,     0.0,     0.0,     4.8,     0.0
4.2299999999999995,4.23,a-degr-i1,2021-22,Ayer Shirley School District - Ayer Shirley Regional High School,06160505,        78,    84.6,     2.6,     0.0,     0.0,    12.8,     0.0
4.275,4.28,a-degr-i1,2021-22,Barnstable - Barnstable High,00200505,       344,    85.5,     8.7,     0.3,     0.0,     5.5,     0.0
4.375,4.38,a-degr-i1,2021-22,Baystate Academy Charter Public School (District) - Baystate Academy Charter Public School,35020405,        48,    87.5,     0.0,     2.1,     2.1,     6.3,     2.1
4.955,4.96,a-degr-i1,2021-22,Bedford - Bedford High,00230505,       218,    99.1,     0.5,     0.0,     0.5,     0.0,     0.0
4.535,4.54,a-degr-i1,2021-22,Belchertown - Belchertown High,00240505,       161,    90.7,     2.5,     0.0,     1.9,     5.0,     0.0
4.625,4.63,a-degr-i1,2021-22,Bellingham - Bellingham High School,00250505,       134,    92.5,     2.2,     0.7,     1.5,     3.0,     0.0
1.6649999999999998,1.66,a-degr-i1,2021-22,Bellingham - Keough Memorial Academy,00250510,         9,    33.3,    22.2,     0.0,     0.0,    44.4,     0.0
4.9399999999999995,4.94,a-degr-i1,2021-22,Belmont - Belmont High,00260505,       340,    98.8,     0.9,     0.0,     0.0,     0.3,     0.0
4.535,4.54,a-degr-i1,2021-22,Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,04140305,        43,    90.7,     4.7,     0.0,     0.0,     4.7,     0.0
4.66,4.66,a-degr-i1,2021-22,Berkshire Hills - Monument Mt Regional High,06180505,       147,    93.2,     4.1,     0.0,     0.0,     2.7,     0.0
4.93,4.93,a-degr-i1,2021-22,Berlin-Boylston - Tahanto Regional High,06200505,        74,    98.6,     0.0,     0.0,     0.0,     1.4,     0.0
4.615,4.62,a-degr-i1,2021-22,Beverly - Beverly High,00300505,       351,    92.3,     5.1,     0.6,     0.3,     1.7,     0.0
4.8149999999999995,4.81,a-degr-i1,2021-22,Billerica - Billerica Memorial High School,00310505,       294,    96.3,     1.0,     0.0,     0.0,     2.7,     0.0
5.0,5.0,a-degr-i1,2021-22,Blackstone Valley Regional Vocational Technical - Blackstone Valley,08050605,       296,   100.0,     0.0,     0.0,     0.0,     0.0,     0.0
4.475,4.48,a-degr-i1,2021-22,Blackstone-Millville - Blackstone Millville RHS,06220505,       114,    89.5,     2.6,     1.8,     0.9,     5.3,     0.0
