Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
NA,NA,"",2021-22,Attleboro - A. Irvin Studley Elementary School,00160001,       0,      77,      50,      60,      75,      77,       0,       0,       0,       0,       0,       0,       0,       0,       0,     339
NA,NA,"",2021-22,Attleboro - Attleboro Community Academy,00160515,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       3,       1,      12,      34,       0,      50
NA,NA,"",2021-22,Attleboro - Attleboro High,00160505,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     486,     438,     408,     421,      16,"   1,769"
NA,NA,"",2021-22,Attleboro - Cyril K. Brennan Middle School,00160315,       0,       0,       0,       0,       0,       0,     141,     162,     164,     138,       0,       0,       0,       0,       0,     605
NA,NA,"",2021-22,Attleboro - Hill-Roberts Elementary School,00160045,       0,      76,      63,      95,      85,      83,       0,       0,       0,       0,       0,       0,       0,       0,       0,     402
NA,NA,"",2021-22,Attleboro - Hyman Fine Elementary School,00160040,       0,      93,      83,      97,      88,     100,       0,       0,       0,       0,       0,       0,       0,       0,       0,     461
NA,NA,"",2021-22,Attleboro - Peter Thacher Elementary School,00160050,       0,     100,      98,      95,      84,      86,       0,       0,       0,       0,       0,       0,       0,       0,       0,     463
NA,NA,"",2021-22,Attleboro - Robert J. Coelho Middle School,00160305,       0,       0,       0,       0,       0,       0,     149,     145,     138,     170,       0,       0,       0,       0,       0,     602
NA,NA,"",2021-22,Attleboro - Thomas Willett Elementary School,00160035,       0,      75,      69,      69,      82,      69,       0,       0,       0,       0,       0,       0,       0,       0,       0,     364
NA,NA,"",2021-22,Attleboro - Wamsutta Middle School,00160320,       0,       0,       0,       0,       0,       0,     133,     150,     137,     161,       0,       0,       0,       0,       0,     581
NA,NA,"",2021-22,Boston - Adams Elementary School,00350302,      21,      27,      39,      45,      34,      34,      18,      27,       0,       0,       0,       0,       0,       0,       0,     245
NA,NA,"",2021-22,Boston - Alighieri Dante Montessori School,00350066,      24,      14,      14,      12,      14,      13,       7,       6,       0,       0,       0,       0,       0,       0,       0,     104
NA,NA,"",2021-22,Boston - Another Course To College,00350541,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,      60,      58,      55,      58,       0,     231
