Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,Total # of Classes,Average Class Size,Number of Students,Female %,Male %,English Language Learner %,Students with Disabilities %,Economically Disadvantaged %
4.220000000000001,4.22,a-reso-i1,2020-21,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,     713,  18.9,"      1,425",  54.4,  45.6,  13.6,  13.0,48.6
5.4,5,a-reso-i1,2020-21,Abington - Abington Early Education Program,00010001,      20,  13.0,         65,  41.5,  58.5,   4.6,  60.0,29.2
4.58,4.58,a-reso-i1,2020-21,Abington - Abington High,00010505,     266,  17.1,        591,  46.9,  53.1,   5.6,  11.5,26.9
3.46,3.46,a-reso-i1,2020-21,Abington - Abington Middle School,00010405,     328,  22.7,        651,  50.2,  49.8,   6.6,  15.7,33.3
3.9799999999999995,3.98,a-reso-i1,2020-21,Abington - Beaver Brook Elementary,00010020,     241,  20.1,        525,  52.6,  47.2,  13.1,  16.4,31.4
3.6799999999999997,3.68,a-reso-i1,2020-21,Abington - Woodsdale Elementary School,00010015,     134,  21.6,        320,  50.3,  49.7,  10.0,  19.1,25.3
4.0600000000000005,4.06,a-reso-i1,2020-21,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,     201,  19.7,        538,  48.5,  51.5,   8.2,  26.0,48.7
4.84,4.84,a-reso-i1,2020-21,Acton-Boxborough - Acton-Boxborough Regional High,06000505,     782,  15.8,"      1,755",  47.0,  52.8,   1.1,   9.9,7.9
4.42,4.42,a-reso-i1,2020-21,Acton-Boxborough - Blanchard Memorial School,06000005,     149,  17.9,        376,  47.9,  52.1,   9.8,  17.8,6.9
4.66,4.66,a-reso-i1,2020-21,Acton-Boxborough - C.T. Douglas Elementary School,06000020,     135,  16.7,        319,  46.4,  53.3,   6.6,  16.0,10
6.540000000000001,5,a-reso-i1,2020-21,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,      12,   7.3,         79,  38.0,  62.0,  17.7,  55.7,15.2
4.6,4.6,a-reso-i1,2020-21,Acton-Boxborough - Luther Conant School,06000030,     107,  17.0,        255,  48.6,  51.4,  13.7,  18.8,12.6
4.26,4.26,a-reso-i1,2020-21,Acton-Boxborough - McCarthy-Towne School,06000015,     149,  18.7,        394,  50.8,  49.2,   5.8,  16.2,10.4
4.46,4.46,a-reso-i1,2020-21,Acton-Boxborough - Merriam School,06000010,     140,  17.7,        353,  50.7,  49.3,   5.7,  16.4,9.1
4.2,4.2,a-reso-i1,2020-21,Acton-Boxborough - Paul P Gates Elementary School,06000025,      86,  19.0,        231,  48.9,  51.1,   9.1,  11.3,11.3
4.66,4.66,a-reso-i1,2020-21,Acton-Boxborough - Raymond J Grey Junior High,06000405,     584,  16.7,        840,  49.9,  49.9,   2.1,  17.6,9.1
5.18,5,a-reso-i1,2020-21,Acushnet - Acushnet Elementary School,00030025,     251,  14.1,        494,  47.4,  52.6,   0.4,  13.4,28.3
4.6,4.6,a-reso-i1,2020-21,Acushnet - Albert F Ford Middle School,00030305,     149,  17.0,        419,  47.7,  52.3,   0.0,  11.9,27
4.279999999999999,4.28,a-reso-i1,2020-21,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,04300305,     490,  18.6,        960,  47.6,  52.3,   2.0,   6.3,10.7
6.34,5,a-reso-i1,2020-21,Agawam - Agawam Early Childhood Center,00050003,      16,   8.3,        118,  40.7,  59.3,   1.7,  61.9,40.7
5.220000000000001,5,a-reso-i1,2020-21,Agawam - Agawam High,00050505,     664,  13.9,"      1,037",  48.8,  51.1,   1.6,  13.7,27.6
5.54,5,a-reso-i1,2020-21,Agawam - Agawam Junior High,00050405,     650,  12.3,        584,  50.9,  49.0,   3.1,  16.1,37.8
5.2,5,a-reso-i1,2020-21,Agawam - Benjamin J Phelps,00050020,     256,  14.0,        348,  48.3,  51.7,   8.1,  11.5,39.1
5.32,5,a-reso-i1,2020-21,Agawam - Clifford M Granger,00050010,     184,  13.4,        251,  51.0,  49.0,   8.4,  21.1,37.9
5.4799999999999995,5,a-reso-i1,2020-21,Agawam - James Clark School,00050030,     205,  12.6,        264,  50.0,  50.0,   9.9,  17.4,32.2
4.82,4.82,a-reso-i1,2020-21,Agawam - Roberta G. Doering School,00050303,     417,  15.9,        510,  43.7,  56.3,   2.8,  19.0,37.7
5.16,5,a-reso-i1,2020-21,Agawam - Robinson Park,00050025,     274,  14.2,        370,  49.7,  50.3,  11.6,  11.1,40
3.1799999999999997,3.18,a-reso-i1,2020-21,Alma del Mar Charter School (District) - Alma del Mar Charter School,04090205,     236,  24.1,        791,  55.0,  45.0,  30.5,  19.7,66.6
4.46,4.46,a-reso-i1,2020-21,Amesbury - Amesbury Elementary,00070005,     144,  17.7,        302,  37.8,  62.3,   0.3,  24.5,32.1
