Information Requested,Academic Year,School ID,Data Unit,Item  ID,Raw Score,Reverse Scored,HS only,Admin Data Benchmark (Absolute),Benchmark Formula,Likert Score
Total number of students enrolled in school,2023-24 Spring,200,number,NA,893,,,NA,NA,
Percent students retained in a grade,2023-24 Spring,200,percentage,a-degr-i2,0,X,,2,(benchmark - raw score) + benchmark) * 4 / benchmark,8
Percent teachers with 10+ days absent,2023-24 Spring,200,percentage,a-pcom-i2,1.5,X,,28,(benchmark - raw score) + benchmark) * 4 / benchmark,7.785714286
Percent of students suspended,2023-24 Spring,200,percent,a-phys-i1,3.6,X,,5.27,(benchmark - raw score) + benchmark) * 4 / benchmark,5.267552182
Percent of students suspended for 10+ days,2023-24 Spring,200,percent,a-phys-i3,0,X,,1,(benchmark - raw score) + benchmark) * 4 / benchmark,8
Average class size,2023-24 Spring,200,number,a-reso-i1,16,X,,20,(benchmark - raw score) + benchmark) * 4 / benchmark,4.8
Chronic absence rate,2023-24 Spring,200,number,a-vale-i1,20.8,X,,10,(benchmark - raw score) + benchmark) * 4 / benchmark,1
Placement in college or career (HS only),2023-24 Spring,200,percentage,a-cgpr-i1,85,,X,65.6,(4*raw)/benchmark,5.182926829
Percent graduates completing MassCORE (HS only),2023-24 Spring,200,percentage,a-curv-i1,XX,,X,90,(4*raw)/benchmark,#VALUE!
Percent juniors and seniors enrolled in one AP (HS only),2023-24 Spring,200,percentage,a-curv-i2,22,,X,30,(4*raw)/benchmark,2.933333333
Percent AP test takers scoring 3 or higher (HS only),2023-24 Spring,200,percentage,a-curv-i3,56,,X,20,(4*raw)/benchmark,11.2
Percent students of color completing advanced coursework (HS only),2023-24 Spring,200,percentage,a-curv-i4,17,,X,36.4,(4*raw)/benchmark,1.868131868
4-year on-time graduation rate (HS only),2023-24 Spring,200,percentage,a-degr-i1,,,X,80,(4*raw)/benchmark,n/a
5-year graduation rate (HS only),2023-24 Spring,200,percentage,a-degr-i3,100,,X,85,(4*raw)/benchmark,5
Percentage teachers with 3+ years of experience,2023-24 Spring,200,percentage,a-exp-i1,92.4,,,80,(4*raw)/benchmark,4.62
Percentage teachers National Board certified,2023-24 Spring,200,percentage,a-exp-i2,1,,,10,(4*raw)/benchmark,0.4
Percentage teachers teaching in area of licensure,2023-24 Spring,200,percentage,a-exp-i3,100,,,95,(4*raw)/benchmark,5
9th grade passing rate,2023-24 Spring,200,percentage,a-ovpe-i1,100,,X,75.8,(4*raw)/benchmark,5.277044855
Percent teacher returning (including retirement),2023-24 Spring,200,percentage,a-pcom-i1,87.7,,,85,(4*raw)/benchmark,4.127058824
% Teachers of Color,2023-24 Spring,200,percentage,a-pcom-i3,0,,,12.8,(4*raw)/benchmark,0
Percent of students enrolled in at least 1 arts course,2023-24 Spring,200,number,a-picp-i1,76,,,77.5,(4*raw)/benchmark,3.922580645
Average daily attendance,2023-24 Spring,200,number,a-vale-i2,92.5,,,90,(4*raw)/benchmark,4.111111111
Student to co-curricular activities ratio (HS only),2023-24 Spring,200,ratio,a-cocu-i1,48,X,X,57,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),6.694444444
Student to career-technical education courses (HS only),2023-24 Spring,200,ratio,a-cppm-i2,49,X,X,5,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),1
"for all schools with a % teachers of color less than 5, they will receive a 1 on our Likert scale. We decided to set 5% as a ""floor"" because even in a school that is 100% white, there should still be teachers of color. If a school has greater than or equal to 5%, then the formula is: (% teachers of color/% students of color) * (4/0.25)",2023-24 Spring,200,ratio,a-cure-i1,14.6,,,0.26,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),1
Student to number of courses ratio (HS only),2023-24 Spring,200,ratio,a-curv-i5,131,X,X,5,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),2.546564885
Student to number of electives ratio (completely free choice) (HS only),2023-24 Spring,200,ratio,a-curv-i6,87,X,X,2,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),1
Medical staff to student ratio (schoolwide),2023-24 Spring,200,ratio,a-phya-i1,1,X,,750,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),3.237333333
Student to guidance counselor ratio (HS only),2023-24 Spring,200,ratio,a-sust-i1,2,X,,250,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),0.856
Student to mental health counselor ratio,2023-24 Spring,200,ratio,a-sust-i2,4,X,,250,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),4.428
Student to instructional support staff ratio,2023-24 Spring,200,ratio,a-sust-i3,14,X,,43.4,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),2.121132324
Student to art teacher ratio,2023-24 Spring,200,ratio,a-sust-i4,4,X,,500,((benchmark - (number_of_students / raw score)) + benchmark)* 4 / benchmark),6.214
Total number of teachers employeed in school,2023-24 Spring,200,number,NA,65,,,,,
