SCHOOL NAME,Student Enrollment (Grades 4-11)
Samuel Adams Elementary School,57
Dante Alghieri Montessori School,10
Another Course to College,166
Phineas Bates Elementary School,86
Ludwig van Beethoven Elementary School,
Blackstone Innovation School,184
Boston Adult Technical Academy,117
Boston Arts Academy,378
Boston Collaborative High School,104
Boston Community Leadership Academy,356
Boston Day and Evening Academy,237
Boston Green Academy,392
Boston International Newcomers Academy,376
Boston Latin Academy,"1,475"
Boston Latin School,"2,021"
Boston Teachers Union K-8 School,181
Manassah E. Bradley Elementary School,94
Brighton High School,446
Jeremiah E. Burke High School,318
William E. Channing Elementary School,43
Charlestown High School,677
James J. Chittick Elementary School,95
Clap Elementary School,35
Community Academy,71
Community Academy of Science and Health,263
James F. Condon K-8 School,516
George H. Conley Elementary School,79
Curley K-8 School,500
Henry Dearborn STEM Academy,308
Paul A. Dever Elementary School,117
Dorchester Academy,3
Dudley Street Neighborhood Charter School,74
East Boston High School,987
Thomas Edison K-8 School,360
Clarence R. Edwards Middle School,308
John Eliot K-8 School,236
David A. Ellis Elementary School,102
English High School,402
Edward Everett Elementary School,85
Excel High School,395
Fenway High School,285
Lilla G. Frederick Middle School,530
Gardner Pilot Academy,203
Greater Egleston High School,55
Sarah Greenwood K-8 School,177
Henry Grew Elementary School,63
Curtis Guild Elementary School,96
Nathan Hale Elementary School,49
Dennis Haley K-8 School,253
Harvard/Kent Elementary School,181
Dr. William W. Henderson K-12 Inclusion School,480
James W. Hennigan K-8 School,395
Rafael Hernandez K-8 School,148
Higginson-Lewis School,212
Oliver Wendell Holmes Elementary School,99
Horace Mann School for the Deaf and Hard of Hearing,49
Joseph Hurley K-8 School,139
Washington Irving Middle School,344
Jackson/Mann K-8 School,311
Edward M. Kennedy Academy for Health Careers,280
John F. Kennedy Elementary School,112
Patrick Kennedy Elementary School,103
Thomas J. Kenny Elementary School,115
Joyce Kilmer K-8 School,224
"Martin Luther King, Jr. K-8 School",188
Joseph Lee K-8 School,359
Patrick Lyndon K-8 School,261
Mary Lyon K-8 School,79
Mary Lyon High School,96
Madison Park Technical Vocational High School,640
Joseph P. Manning Elementary School,50
Samuel Mason Elementary School,69
Mather Elementary School,193
John W. McCormack Middle School,392
Donald McKay K-8 School,454
William McKinley Elementary School,40
William McKinley Middle School,55
William McKinley South End Academy,127
William McKinley Preparatory High School,62
William McKinley School,
Ellis Mendell School,70
Mildred Avenue K-8 School,338
Mission Hill K-8 School,104
Wolfgang A. Mozart Elementary School,53
Margarita Muniz Academy,230
Richard J. Murphy K-8 School,592
New Mission High School,308
John D. O'Bryant School of Mathematics and Science,"1,259"
Hugh R. O'Donnell Elementary School,75
William Ohrenberger School,548
Orchard Gardens K-8 School,472
James Otis Elementary School,106
Michael J. Perkins Elementary School,90
Oliver Hazard Perry K-8 School,87
John D. Philbrick Elementary School,42
Josiah Quincy Elementary School,275
Josiah Quincy Upper School,456
Franklin D. Roosevelt K-8 School,231
William E. Russell Elementary School,111
Pauline A. Shaw Elementary School,
Snowden International School at Copley,356
Charles Sumner Elementary School,154
Charles H. Taylor Elementary School,187
TechBoston Academy,786
James P. Timilty Middle School,347
Maurice Tobin K-8 School,191
William Monroe Trotter K-8 School,226
Joseph P. Tynan Elementary School,69
Mario Umana Academy,688
UP Academy Boston,497
UP Academy Dorchester,390
UP Academy Holland,247
Urban Science Academy,263
Warren/Prescott K-8 School,256
West Roxbury Academy,347
F. Lyman Winship Elementary School,47
John Winthrop Elementary School,91
Young Achievers Science and Math K-8 School,279
