SCHOOL NAME,Teacher Count
Samuel Adams Elementary School,28
Dante Alghieri Montessori School,12
Another Course to College,19
Baldwin Early Learning Pilot Academy,16
Phineas Bates Elementary School,25
Ludwig van Beethoven Elementary School,23
Blackstone Innovation School,44
Boston Arts Academy,41
Boston Collaborative High School,7
Boston Community Leadership Academy,32
Boston Day and Evening Academy,24
Boston Green Academy,39
Boston International Newcomers Academy,45
Boston Latin Academy,85
Boston Latin School,118
Boston Teachers Union K-8 School,22
Manassah E. Bradley Elementary School,27
Brighton High School,52
Jeremiah E. Burke High School,27
William E. Channing Elementary School,20
William E. Carter School,5
Charlestown High School,78
James J. Chittick Elementary School,28
Clap Elementary School,15
Community Academy,9
Community Academy of Science and Health,32
James F. Condon K-8 School,65
George H. Conley Elementary School,20
Curley K-8 School,80
Henry Dearborn STEM Academy,38
Paul A. Dever Elementary School,35
Dorchester Academy,5
Dudley Street Neighborhood Charter School,26
East Boston Early Education Center,16
East Boston High School,100
Thomas Edison K-8 School,56
Clarence R. Edwards Middle School,32
John Eliot K-8 School,44
David A. Ellis Elementary School,33
Ellison/Parks Early Education School,17
English High School,48
Edward Everett Elementary School,19
Excel High School,38
Fenway High School,24
Lilla G. Frederick Middle School,47
Gardner Pilot Academy,34
Greater Egleston High School,11
Sarah Greenwood K-8 School,32
Henry Grew Elementary School,21
Curtis Guild Elementary School,27
Nathan Hale Elementary School,10
Dennis Haley K-8 School,51
Harvard/Kent Elementary School,45
Haynes Early Education Center,17
Dr. William W. Henderson K-12 Inclusion School,92
James W. Hennigan K-8 School,46
Rafael Hernandez K-8 School,24
Higginson Elementary K0-2,16
Higginson-Lewis School,30
Oliver Wendell Holmes Elementary School,30
Horace Mann School for the Deaf and Hard of Hearing,40
Joseph Hurley K-8 School,25
Washington Irving Middle School,26
Jackson/Mann K-8 School,56
Edward M. Kennedy Academy for Health Careers,32
John F. Kennedy Elementary School,26
Patrick Kennedy Elementary School,24
Thomas J. Kenny Elementary School,31
Joyce Kilmer K-8 School,35
"Martin Luther King, Jr. K-8 School",39
Lee Academy,21
Joseph Lee K-8 School,56
Patrick Lyndon K-8 School,41
Mary Lyon K-8 School,18
Mary Lyon High School,15
Madison Park Technical Vocational High School,98
Joseph P. Manning Elementary School,14
Samuel Mason Elementary School,21
Mather Elementary School,47
Mattapan EES,30
John W. McCormack Middle School,33
Donald McKay K-8 School,59
William McKinley Elementary School,8
William McKinley Middle School,9
William McKinley South End Academy,23
William McKinley Preparatory High School,14
William McKinley School,
Ellis Mendell School,24
Mildred Avenue K-8 School,42
Mission Hill K-8 School,19
Wolfgang A. Mozart Elementary School,19
Margarita Muniz Academy,27
Richard J. Murphy K-8 School,67
New Mission High School,27
John D. O'Bryant School of Mathematics and Science,78
Hugh R. O'Donnell Elementary School,19
William Ohrenberger School,46
Orchard Gardens K-8 School,68
James Otis Elementary School,33
Michael J. Perkins Elementary School,17
Oliver Hazard Perry K-8 School,22
John D. Philbrick Elementary School,14
Josiah Quincy Elementary School,62
Josiah Quincy Upper School,42
Franklin D. Roosevelt K-8 School,36
William E. Russell Elementary School,31
Pauline A. Shaw Elementary School,18
Snowden International School at Copley,33
Charles Sumner Elementary School,45
Charles H. Taylor Elementary School,40
TechBoston Academy,74
James P. Timilty Middle School,28
Maurice Tobin K-8 School,35
William Monroe Trotter K-8 School,36
Joseph P. Tynan Elementary School,25
Mario Umana Academy,73
UP Academy Boston,43
UP Academy Dorchester,59
UP Academy Holland,48
Urban Science Academy,26
Warren/Prescott K-8 School,44
West Roxbury Academy,36
West Zone Early Learning Center,13
F. Lyman Winship Elementary School,23
John Winthrop Elementary School,26
Young Achievers Science and Math K-8 School,43
Boston Adult Technical Academy,18
