,Alt School Name,District,District DESE ID,DESE School ID,HS?,Teacher Staffing Total,K-12 Student Enrollment Total,School Closed In ,Notes
Lee Elementary School,,Lee Public Schools,1500000,1500025,,,,,
Lee Middle/High School,,Lee Public Schools,1500000,1500505,X,,,,
Fowler School,,Maynard Public Schools,1740000,1740305,,,,,
Green Meadow,,Maynard Public Schools,1740000,1740010,,,,,
Maynard High School,,Maynard Public Schools,1740000,1740505,X,,,,
Buckland-Shelburne Regional,,Mohawk Trail School District,7170000,7170005,,,,,
Colrain Central,,Mohawk Trail School District,7170000,7170010,,,,,
Mohawk Trail Regional School,,Mohawk Trail School District,7170000,7170505,X,,,,
Sanderson Academy,,Mohawk Trail School District,7170000,7170020,,,,,
Meadow View Primary School,,Waupun Area School District,6216,160,,,,,WI school codes: https://apps6.dpi.wi.gov/SchDirPublic/districts
Rock River Intermediate School,,Waupun Area School District,6216,110,,,,,
School for Agricultural and Environmental Studies (SAGES),,Waupun Area School District,6216,150,,,,,
Waupun Area Junior/Senior High School,,Waupun Area School District,6216,200,X,,,,
John P. Faber School,,Dunellen Public Schools,1140,50,,57,569,,NJ school codes: https://rc.doe.state.nj.us/selectreport/2021-2022/23/1140
Lincoln Middle School,,Dunellen Public Schools,1140,60,,33,289,,
Dunellen High School,,Dunellen Public Schools,1140,40,X,40,352,,
Green Meadows Elementary,,Hampden-Wilbraham,6800000,6800005,,,,,
Mile Tree Elementary,,Hampden-Wilbraham,6800000,6800025,,,,,
Minnechaug Regional High,,Hampden-Wilbraham,6800000,6800505,X,,,,
Soule Road,,Hampden-Wilbraham,6800000,6800030,,,,,
Stony Hill School,,Hampden-Wilbraham,6800000,6800050,,,,,
Wilbraham Middle,,Hampden-Wilbraham,6800000,6800310,,,,,
Tyngsborough Elementary School,,Tyngsborough,3010000,3010020,,,,,
Tyngsborough Middle School,,Tyngsborough,3010000,3010305,,,,,
Tyngsborough High School,,Tyngsborough,3010000,3010505,X,,,,
Newbury Elementary,,Triton,7730000,7730020,,,,,
Pine Grove,,Triton,7730000,7730025,,,,,
Salisbury Elementary,,Triton,7730000,7730015,,,,,
Triton Regional Middle School,,Triton,7730000,7730405,,,,,
Triton Regional High School,,Triton,7730000,7730505,X,,,,
Berlin Memorial School,,Berlin-Boylston,6200000,6200005,,,,,
Boylston Elementary School,,Berlin-Boylston,6200000,6200010,,,,,
Tahanto Regional High,,Berlin-Boylston,6200000,6200505,X,,,,
Masconomet Regional High School,,Masconomet,7050000,7050505,X,,,,
Masconomet Regional Middle School,,Masconomet,7050000,7050405,,,,,
Edward G. Molin Elementary School,,Newburyport,2040000,2040030,,,,,
Francis T Bresnahan Elementary,,Newburyport,2040000,2040005,,,,,
Newburyport High School,,Newburyport,2040000,2040505,X,,,,
Rupert A Nock Middle School,,Newburyport,2040000,2040305,,,,,
A. Irvin Studley Elementary School,#N/A,Attleboro,1,160001,,,,,
Hill-Roberts Elementary School,#N/A,Attleboro,1,160045,,,,,
Hyman Fine Elementary School,#N/A,Attleboro,1,160040,,,,,
Peter Thacher Elementary School,#N/A,Attleboro,1,160050,,,,,
Thomas Willett Elementary School,#N/A,Attleboro,1,160035,,,,,
Attleboro Community Academy,,Attleboro,,160515,,,,,
Attleboro High School,#N/A,Attleboro,1,160505,X,,,,
Cyril K. Brennan Middle School,#N/A,Attleboro,1,160315,,,,,
Robert J. Coelho Middle School,#N/A,Attleboro,1,160305,,,,,
Wamsutta Middle School,#N/A,Attleboro,1,160320,,,,,
Another Course to College,#N/A,Boston,2,350541,X,,,,
Baldwin Early Learning Pilot Academy ,#N/A,Boston,2,350003,,,,,
Blackstone Innovation School,Blackstone Elementary,Boston,2,350390,,,,,
Boston Adult Technical Academy ,#N/A,Boston,2,350548,X,,,,
Boston Arts Academy,#N/A,Boston,2,350546,X,,,,
Boston Collaborative High School,#N/A,Boston,2,350755,X,,,,
Boston Community Leadership Academy,#N/A,Boston,2,350558,X,,,,
Boston Day and Evening Academy,Boston Day & Evening Academy,Boston,2,441006,X,,,,
Boston Green Academy,#N/A,Boston,2,4110305,,,,,
Boston International Newcomers Academy,Boston International High/Newcomers Academy,Boston,2,350507,X,,,,
Boston Latin Academy,#N/A,Boston,2,350545,X,,,,
Boston Latin School,#N/A,Boston,2,350560,X,,,,
Boston Teachers Union K-8 School,Boston Teachers Union K-8,Boston,2,350012,,,,,
Brighton High School,Brighton High,Boston,2,350505,X,,,,
Charles H. Taylor Elementary School,Taylor Elementary,Boston,2,350054,,,,,
Charles Sumner Elementary School,Sumner Elementary,Boston,2,350052,,,,,
Charlestown High School,Charlestown High,Boston,2,350515,X,,,,
Clap Elementary School,Clap Innovation School,Boston,2,350298,,,,,
Clarence R. Edwards Middle School,Edwards Middle,Boston,2,350430,,,,,
Community Academy,#N/A,Boston,2,350518,X,,,,
Community Academy of Science and Health,#N/A,Boston,2,350581,X,,,,
Curley K-8 School,Curley K-8,Boston,2,350020,,,,,
Curtis Guild Elementary School,Guild Elementary,Boston,2,350062,,,,,
Dante Alghieri Montessori School,Alighieri Montessori,Boston,2,350066,,,,,
David A. Ellis Elementary School,Ellis Elementary,Boston,2,350072,,,,,
Dennis Haley K-8 School,Haley,Boston,2,350077,,,,,
Donald McKay K-8 School,McKay K-8,Boston,2,350080,,,,,
Dorchester Academy,Dorchester Academy,Boston,,350651,X,,,,
Dr. William W. Henderson K-12 Inclusion School,Henderson K-12,Boston,2,350266,X,,,,
Dudley Street Neighborhood Charter School,#N/A,Boston,2,4070405,,,,,
East Boston Early Education Center ,#N/A,Boston,2,350009,,,,,
East Boston High School,East Boston High,Boston,2,350530,X,,,,
Edward Everett Elementary School,Everett Elementary,Boston,2,350088,,,,,
Edward M. Kennedy Academy for Health Careers,Kennedy Academy for Health Careers,Boston,2,4520505,X,,,,
Ellis Mendell School,Mendell Elementary,Boston,2,350100,,,,,
Ellison/Parks Early Education School,#N/A,Boston,2,350008,,,,,
English High School,English High,Boston,2,350535,X,,,,
Excel High School,Excel High,Boston,2,350522,X,,,,
F. Lyman Winship Elementary School,Winship Elementary,Boston,2,350374,,,,,
Fenway High School,Fenway High,Boston,2,350540,X,,,,
Franklin D. Roosevelt K-8 School,"Roosevelt (Lower School, grades K-1)",Boston,2,350116,,,,,
Gardner Pilot Academy,#N/A,Boston,2,350326,,,,,
George H. Conley Elementary School,Conley Elementary,Boston,2,350122,,,,,
Greater Egleston High School,Greater Egleston High,Boston,2,350543,X,,,,
Harvard/Kent Elementary School,Harvard/Kent Elementary,Boston,2,350200,,,,,
Haynes Early Education Center ,#N/A,Boston,2,350010,,,,,
Henry Dearborn STEM Academy,Dearborn Middle,Boston,2,350074,X,,,,
Henry Grew Elementary School,Grew Elementary,Boston,2,350135,,,,,
Higginson K0-2,Higginson Elementary K0-2,Boston,2,350015,,,,,
Higginson-Lewis School,Higginson/Lewis K-8,Boston,2,350377,,,,,
Horace Mann School for the Deaf and Hard of Hearing,#N/A,Boston,2,350750,X,,,,
Hugh R. O'Donnell Elementary School,O'Donnell Elementary,Boston,2,350141,,,,,
Jackson/Mann K-8 School,Jackson/Mann K-8,Boston,2,350013,,,,,
James F. Condon K-8 School,Condon Elementary,Boston,2,350146,,,,,
James J. Chittick Elementary School,Chittick Elementary,Boston,2,350154,,,,,
James Otis Elementary School,Otis Elementary,Boston,2,350156,,,,,
James P. Timilty Middle School,Timilty Middle,Boston,2,350485,,,,,
James W. Hennigan K-8 School,Hennigan Elementary,Boston,2,350153,,,,,
Jeremiah E. Burke High School,Burke High,Boston,2,350525,X,,,,
John D. O'Bryant School of Mathematics and Science,O'Bryant School of Mathematics and Science,Boston,2,350575,X,,,,
John D. Philbrick Elementary School,Philbrick Elementary,Boston,2,350172,,,,,
John Eliot K-8 School,Eliot K-8,Boston,2,350096,,,,,
John F. Kennedy Elementary School,John F. Kennedy Elementary,Boston,2,350166,,,,,
John W. McCormack Middle School,McCormack Middle,Boston,2,350179,,,,,
John Winthrop Elementary School,Winthrop Elementary,Boston,2,350180,,,,,
Joseph Hurley K-8 School,Hurley K-8,Boston,2,350182,,,,,
Joseph Lee K-8 School,#N/A,Boston,2,350183,,,,,
Joseph P. Manning Elementary School,Manning Elementary,Boston,2,350184,,,,,
Joseph P. Tynan Elementary School,Tynan Elementary,Boston,2,350181,,,,,
Josiah Quincy Elementary School,Quincy Elementary,Boston,2,350286,,,,,
Josiah Quincy Upper School,Quincy Upper,Boston,2,350565,X,,,,
Joyce Kilmer K-8 School,Kilmer K-8,Boston,2,350190,,,,,
Lee Academy,Lee Elementary,Boston,2,350001,,,,,
Lilla G. Frederick Middle School,Frederick Middle,Boston,2,350383,,,,,
Ludwig van Beethoven Elementary School,Beethoven Elementary,Boston,2,350021,,,,,
Madison Park Technical Vocational High School,Madison Park Technical Vocational High,Boston,2,350537,X,,,,
Manassah E. Bradley Elementary School,Bradley Elementary,Boston,2,350215,,,,,
Margarita Muniz Academy,#N/A,Boston,2,350549,X,,,,
Mario Umana Academy,Umana Academy,Boston,2,350656,,,,,
"Martin Luther King, Jr. K-8 School",King K-8,Boston,2,350376,,,,,
Mary Lyon High School,Lyon High,Boston,2,350655,X,,,,
Mary Lyon K-8 School,Lyon K-8,Boston,2,350004,,,,,
Mather Elementary School,Mather Elementary,Boston,2,350227,,,,,
Mattahunt,,Boston,2,350226,,,,,
Mattahunt Elementary School,,Boston,,350016,,,,,
Maurice Tobin K-8 School,Tobin K-8,Boston,2,350229,,,,,
Michael J. Perkins Elementary School,Perkins Elementary,Boston,2,350231,,,,,
Mildred Avenue K-8 School,Mildred Avenue,Boston,2,350378,,,,,
Mission Hill K-8 School,Mission Hill K-8,Boston,2,350382,,,,,
Nathan Hale Elementary School,Hale Elementary,Boston,2,350243,,,,,
New Mission High School,New Mission High,Boston,2,350542,X,,,,
Oliver Hazard Perry K-8 School,Perry K-8,Boston,2,350255,,,,,
Oliver Wendell Holmes Elementary School,Holmes Elementary,Boston,2,350138,,,,,
Orchard Gardens K-8 School,Orchard Gardens K-8,Boston,2,350257,,,,,
Patrick Kennedy Elementary School,Patrick J. Kennedy Elementary,Boston,2,350264,,,,,
Patrick Lyndon K-8 School,Lyndon K-8,Boston,2,350262,,,,,
Paul A. Dever Elementary School,Dever Elementary,Boston,2,350268,,,,,
Pauline A. Shaw Elementary School,PA Shaw,Boston,2,350014,,,,,
Phineas Bates Elementary School,Bates Elementary,Boston,2,350278,,,,,
Rafael Hernandez K-8 School,Hernandez K-8,Boston,2,350691,,,,,
Richard J. Murphy K-8 School,Murphy K-8,Boston,2,350240,,,,,
Samuel Adams Elementary School,Adams Elementary,Boston,2,350302,,,,,
Samuel Mason Elementary School,Mason Elementary,Boston,2,350304,,,,,
Sarah Greenwood K-8 School,Sarah Greenwood K-8,Boston,2,350308,,,,,
Snowden International School at Copley,#N/A,Boston,2,350690,X,,,,
TechBoston Academy,#N/A,Boston,2,350657,X,,,,
Thomas Edison K-8 School,Edison K-8,Boston,2,350375,,,,,
Thomas J. Kenny Elementary School,Kenny Elementary,Boston,2,350328,,,,,
UP Academy Boston,#N/A,Boston,2,4800405,,,,,
UP Academy Dorchester,#N/A,Boston,2,35050405,,,,,
UP Academy Holland,#N/A,Boston,2,350167,,,,,
Urban Science Academy,#N/A,Boston,2,350579,X,,,,
Warren/Prescott K-8 School,Warren/Prescott K-8,Boston,2,350346,,,,,
Washington Irving Middle School,Irving Middle,Boston,2,350445,,,,,
West Roxbury Academy,#N/A,Boston,2,350658,X,,,,
West Zone Early Learning Center ,#N/A,Boston,2,350006,,,,,
William E. Carter School,Carter Development Center,Boston,2,350036,,,,,
William E. Channing Elementary School,Channing Elementary,Boston,2,350360,,,,,
William E. Russell Elementary School,Russell Elementary,Boston,2,350366,,,,,
William McKinley School,McKinley Elementary,Boston,2,350363,X,,,,
William Monroe Trotter K-8 School,Trotter Elementary,Boston,2,350370,,,,,
William Ohrenberger School,Ohrenberger,Boston,2,350258,,,,,
Wolfgang A. Mozart Elementary School,Mozart Elementary,Boston,2,350237,,,,,
Young Achievers Science and Math K-8 School,Young Achievers Science & Math K-8,Boston,2,350380,,,,,
Abraham Lincoln Elementary School,#N/A,Lowell,3,1600020,,,,,
Adie Day School,#N/A,Lowell,3,1600605,X,,,,
Bailey Elementary School,#N/A,Lowell,3,1600002,,,,,
Bartlett Community Partnership School,#N/A,Lowell,3,1600090,,,,,
Butler Middle School,#N/A,Lowell,3,1600310,,,,,
Cardinal O'Connell Early Learning Center,#N/A,Lowell,3,1600001,,,,,
Daley Middle School,#N/A,Lowell,3,1600315,,,,,
Greenhalge Elementary School,#N/A,Lowell,3,1600015,,,,,
Laura Lee Therapeutic Day School,#N/A,Lowell,3,1600085,X,,,,
LeBlanc Therapeutic Day School,#N/A,Lowell,3,1600320,X,,,,
Lowell High School,#N/A,Lowell,3,1600505,X,,,,
McAuliffe Elementary School,#N/A,Lowell,3,1600075,,,,,
McAvinnue Elementary School,#N/A,Lowell,3,1600010,,,,,
Moody Elementary School,#N/A,Lowell,3,1600027,,,,,
Morey Elementary School,#N/A,Lowell,3,1600030,,,,,
Murkland Elementary School,#N/A,Lowell,3,1600080,,,,,
Pawtucketville Memorial Elementary School,#N/A,Lowell,3,1600036,,,,,
Pyne Arts School,#N/A,Lowell,3,1600018,,,,,
Reilly Elementary School,#N/A,Lowell,3,1600040,,,,,
The BRIDGE Program at The Riverside School,#N/A,Lowell,3,1600920,,,,,
Robinson Middle School,#N/A,Lowell,3,1600330,,,,,
Shaughnessy Elementary School,#N/A,Lowell,3,1600050,,,,,
STEM Academy at the Rogers School,#N/A,Lowell,3,1600005,,,,,
Stoklosa Middle School,#N/A,Lowell,3,1600360,,,,,
Sullivan Middle School,#N/A,Lowell,3,1600340,,,,,
The Career Academy,#N/A,Lowell,3,1600515,X,,,,
Wang Middle School,#N/A,Lowell,3,1600345,,,,,
Washington Elementary School,#N/A,Lowell,3,1600055,,,,,
Brookside Elementary School,#N/A,Milford,7,1850065,,,,,
Memorial Elementary School,#N/A,Milford,7,1850010,,,,,
Milford High School,#N/A,Milford,7,1850505,X,,,,
Shining Star Early Childhood Center,#N/A,Milford,7,1850075,,,,,
Stacy Middle School,#N/A,Milford,7,1850305,,,,,
Woodland Elementary School,#N/A,Milford,7,1850090,,,,,
Beachmont Elementary School,#N/A,Revere,4,2480013,,,,,
Garfield Elementary School,#N/A,Revere,4,2480056,,,,,
Garfield Middle School,#N/A,Revere,4,2480057,,,,,
Hill Elementary School,#N/A,Revere,4,2480035,,,,,
Lincoln Elementary School,#N/A,Revere,4,2480025,,,,,
Paul Revere Elementary School,#N/A,Revere,4,2480050,,,,,
Revere High School,#N/A,Revere,4,2480505,X,,,,
Rumney Marsh Academy,#N/A,Revere,4,2480014,,,,,
City Lab High School,#N/A,Revere,4,2480520,X,,,,
Susan B. Anthony Middle School,#N/A,Revere,4,2480305,,,,,
Whelan Elementary School,#N/A,Revere,4,2480003,,,,,
Arthur D. Healey School,#N/A,Somerville,5,2740075,,,,,
Benjamin G. Brown School,#N/A,Somerville,5,2740015,,,,,
Dr. Albert F. Argenziano School at Lincoln Park,#N/A,Somerville,5,2740087,,,,,
East Somerville Community School,#N/A,Somerville,5,2740111,,,,,
John F. Kennedy Elementary School,John F. Kennedy Elementary,Somerville,5,2740083,,,,,
Michael E. Capuano Early Childhood Center,#N/A,Somerville,5,2740005,,,,,
Next Wave/Full Circle,Full Circle High School,Somerville,5,2740510,X,,,,
Somerville High School,#N/A,Somerville,5,2740505,X,,,,
West Somerville Neighborhood School,#N/A,Somerville,5,2740115,,,,,
Winter Hill Community Innovation School,#N/A,Somerville,5,2740120,,,,,
Minot Forest Elementary School,#N/A,Wareham,8,310001799,,,,,
John William Decas Elementary School,#N/A,Wareham,8,3100003,,,,,
Wareham Elementary School,,Wareham,8,3100017,,,,,
Wareham Cooperative Alternative School,#N/A,Wareham,8,3100315,X,,,,
Wareham High School,#N/A,Wareham,8,3100505,X,,,,
Wareham Middle School,#N/A,Wareham,8,3100305,,,,,
Ambrose Elementary School,#N/A,Winchester,6,3440045,,,,,
Lincoln Elementary School,#N/A,Winchester,6,3440005,,,,,
Lynch Elementary School,#N/A,Winchester,6,3440020,,,,,
McCall Middle School,#N/A,Winchester,6,3440305,,,,,
Muraco Elementary School,#N/A,Winchester,6,3440040,,,,,
Vinson-Owen Elementary School,#N/A,Winchester,6,3440025,,,,,
Winchester High School,#N/A,Winchester,6,3440505,X,,,,
