Category,Category ID,Category Description,Category Short Description,Subcategory,Subcategory ID,Subcategory Description,Measures,Measure Description,Measure ID,Source,Source Notes,Show items in accordion?,Active admin & survey items,Question/item (22-23),Question/item (21-22),Question/item (20-21),Original Item (19-20 surveys),Original Item (18-19 surveys),Original Item (17-18 surveys),Original Item (16-17 surveys),Survey Item ID,Reverse Scored,HS only admin item?,On Short Form?,Qualtrics ID,Admin Data Benchmark (Absolute) ,Admin Data Unit (Absolute) ,Item Warning High,Item Watch Low,Item Watch High,Item Growth Low,Item Growth High,Item Approval Low,Item Approval High,Item Ideal Low,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",College & Career Readiness,4D,Seeks to determine the degree to which students are prepared for college and beyond (applicable to high schools only). It includes measures of college-going & persistence and career preparation & placement.,College & Career Placement,Tracks the percentage of students enrolling in college or beginning a career immediately after high school graduation.,4D-i,Admin Data,"NCES, 2016",TRUE,TRUE,Placement in college or career (HS only) ,College enrollment rate (HS only),College enrollment rate (HS only),College enrollment rate (HS only),College enrollment rate (HS only),College enrollment rate (HS only),College enrollment rate (HS only),a-cgpr-i1,,X,,#N/A,65.6,percentage,2.98,2.99,3.49,3.5,3.99,4,4.4,4.41,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Co-Curricular Activities,"Tracks administrative data on the number and variety of extra- and co-curricular activities offered (e.g., sports teams and clubs).",3B-iii,Admin Data,Census,TRUE,TRUE,Student to co-curricular activities ratio (HS only),Student to co-curricular activities ratio (HS only),Student to co-curricular activities ratio (HS only),Student to co-curricular activities ratio (HS only),Student to co-curricular activities ratio (HS only),Student to co-curricular activities ratio (HS only),Student to co-curricular activities ratio (HS only),a-cocu-i1,X,X,,#N/A,57,ratio,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",College & Career Readiness,4D,Seeks to determine the degree to which students are prepared for college and beyond (applicable to high schools only). It includes measures of college-going & persistence and career preparation & placement.,Career Preparation,Tracks student access to career technical education courses.,4D-ii,Admin Data,Constructed by MCIEA staff,TRUE,FALSE,,Percent positive work placement (HS only),Percent positive work placement (HS only),Percent positive work placement (HS only),Percent positive work placement (HS only),Percent positive work placement (HS only),Percent positive work placement (HS only),a-cppm-i1,,X,,#N/A,85,percentage,2.98,2.99,3.49,3.5,3.99,4,4.4,4.41,
Academic Learning,4,"Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories. It considers factors like engagement in school, problem solving, and college-going rates.","Measures how much students are learning core academic content, developing their own academic identities, and progressing along positive trajectories.",College & Career Readiness,4D,Seeks to determine the degree to which students are prepared for college and beyond (applicable to high schools only). It includes measures of college-going & persistence and career preparation & placement.,Career Preparation,Tracks student access to career technical education courses.,4D-ii,Admin Data,,TRUE,TRUE,Student to career-technical education courses (HS only),Student to career-technical education courses (HS only),Student to career-technical education courses (HS only),Student to career-technical education courses (HS only),Student to career-technical education courses (HS only),Student to career-technical education courses (HS only),Student to career-technical education courses (HS only),a-cppm-i2,X,X,,#N/A,5,ratio,2.98,2.99,3.49,3.5,3.99,4,4.4,4.41,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Cultural Responsiveness,Draws on anonymous student reports on the degree to which the curriculum adequately represents diverse cultures and perspectives. It also draws on anonymous teacher responses about the degree to which they are adequately supported and prepared to teach in a culturally responsive manner.,3B-ii,Admin Data,"MA DESE, 2019-20, state average",TRUE,TRUE,Teacher-student parity index: teachers of color/ students of color,Teacher-student parity index: % teachers of color/% students of color,Teacher-student parity index: % teachers of color/% students of color,Teacher-student parity index: % teachers of color/% students of color,Teacher-student parity index: % teachers of color/% students of color,Teacher-student parity index: % teachers of color/% students of color,Teacher-student parity index: % teachers of color/% students of color,a-cure-i1,,,,#N/A,0.26,ratio,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Curricular Strength & Variety,"Draws on anonymous teacher reports on the strength and variety of the school curriculum. It also includes the percentage of students completing the recommended state core curriculum, the ratio of students to total classes, the ratio of students to elective classes, and the percentage of students participating in Advanced Placement courses in high school.",3B-i,Admin Data,Constructed by MCIEA staff,TRUE,TRUE,Percent graduates completing MassCORE (HS only),Percent graduates completing MassCORE (HS only),Percent graduates completing MassCORE (HS only),Percent graduates completing MassCORE (HS only),Percent graduates completing MassCORE (HS only),Percent graduates completing MassCORE (HS only),Percent graduates completing MassCORE (HS only),a-curv-i1,,X,,#N/A,90,percentage,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Curricular Strength & Variety,"Draws on anonymous teacher reports on the strength and variety of the school curriculum. It also includes the percentage of students completing the recommended state core curriculum, the ratio of students to total classes, the ratio of students to elective classes, and the percentage of students participating in Advanced Placement courses in high school.",3B-i,Admin Data,Constructed by MCIEA staff,TRUE,TRUE,Percent juniors and seniors enrolled in one AP (HS only),Percent juniors and seniors enrolled in one AP (HS only),Percent juniors and seniors enrolled in one AP (HS only),Percent juniors and seniors enrolled in one AP (HS only),Percent juniors and seniors enrolled in one AP (HS only),Percent juniors and seniors enrolled in one AP (HS only),Percent juniors and seniors enrolled in one AP (HS only),a-curv-i2,,X,,#N/A,30,percentage,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Curricular Strength & Variety,"Draws on anonymous teacher reports on the strength and variety of the school curriculum. It also includes the percentage of students completing the recommended state core curriculum, the ratio of students to total classes, the ratio of students to elective classes, and the percentage of students participating in Advanced Placement courses in high school.",3B-i,Admin Data,Constructed by MCIEA staff,TRUE,TRUE,Percent AP test takers scoring 3 or higher (HS only),Percent AP test takers scoring 3 or higher (HS only),Percent AP test takers scoring 3 or higher (HS only),Percent AP test takers scoring 3 or higher (HS only),Percent AP test takers scoring 3 or higher (HS only),Percent AP test takers scoring 3 or higher (HS only),Percent AP test takers scoring 3 or higher (HS only),a-curv-i3,,X,,#N/A,20,percentage,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Curricular Strength & Variety,"Draws on anonymous teacher reports on the strength and variety of the school curriculum. It also includes the percentage of students completing the recommended state core curriculum, the ratio of students to total classes, the ratio of students to elective classes, and the percentage of students participating in Advanced Placement courses in high school.",3B-i,Admin Data,"NCES, 2009",TRUE,TRUE,Percent students of color completing advanced coursework (HS only),Percent students of color enrolled in advanced coursework (HS only),Percent students of color enrolled in advanced coursework (HS only),Percent students of color enrolled in advanced coursework (HS only),Percent students of color enrolled in advanced coursework (HS only),Percent students of color enrolled in advanced coursework (HS only),Percent students of color enrolled in advanced coursework (HS only),a-curv-i4,,X,,#N/A,36.4,percentage,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
Resources,3,"Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community. It considers factors like physical spaces and materials, class size, and family-school relationships.","Measures the adequacy of a school's facility, personnel, and curriculum, as well as the degree to which it is supported by the community.",Learning Resources,3B,"Seeks to determine the degree to which a school's curriculum is appropriately challenging and diverse. It includes measures of curricular strength & variety, cultural responsiveness and co-curricular activities.",Curricular Strength & Variety,"Draws on anonymous teacher reports on the strength and variety of the school curriculum. It also includes the percentage of students completing the recommended state core curriculum, the ratio of students to total classes, the ratio of students to elective classes, and the percentage of students participating in Advanced Placement courses in high school.",3B-i,Admin Data,,TRUE,TRUE,Student to number of courses ratio (HS only),Student to number of courses ratio (HS only),Student to number of courses ratio (HS only),Student to number of courses ratio (HS only),Student to number of courses ratio (HS only),Student to number of courses ratio (HS only),Student to number of courses ratio (HS only),a-curv-i5,X,X,,#N/A,5,ratio,2.98,2.99,3.49,3.5,3.99,4,4.6,4.61,
