Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK-2 (#),3-5 (#),6-8 (#),9-12 (#),Multiple Grades (#),All Grades (#),FTE Count
NA,NA,NA,2022-23,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,04450105,      22.5,          24.7,          26.6,          29.7,          16.0,            .0,         119.6
NA,NA,NA,2022-23,Abington - Abington Early Education Program,00010001,       4.0,            .0,            .0,            .0,            .0,            .0,           4.0
NA,NA,NA,2022-23,Abington - Abington High,00010505,       0.0,            .0,            .0,          41.1,            .2,           1.5,          42.8
NA,NA,NA,2022-23,Abington - Abington Middle School,00010405,       0.0,          11.1,          35.7,            .0,            .0,            .0,          46.8
NA,NA,NA,2022-23,Abington - Beaver Brook Elementary,00010020,      37.0,            .0,            .0,            .0,            .0,            .1,          37.1
NA,NA,NA,2022-23,Abington - Woodsdale Elementary School,00010015,       0.0,          23.2,            .0,            .0,            .0,            .0,          23.2
NA,NA,NA,2022-23,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,04120530,       0.0,           4.3,          14.0,           8.9,          22.4,            .0,          49.6
NA,NA,NA,2022-23,Acton-Boxborough - Acton-Boxborough Regional High,06000505,       0.0,            .0,            .0,          76.6,          36.7,          10.2,         123.4
NA,NA,NA,2022-23,Acton-Boxborough - Blanchard Memorial School,06000005,      11.8,          12.4,           2.4,            .0,          10.5,            .0,          37.0
NA,NA,NA,2022-23,Acton-Boxborough - C.T. Douglas Elementary School,06000020,      10.8,           8.1,           2.3,            .0,           7.8,            .0,          29.0
NA,NA,NA,2022-23,Acton-Boxborough - Carol Huebner Early Childhood Program,06000001,       8.0,            .0,            .0,            .0,            .0,            .0,           8.0
NA,NA,NA,2022-23,Acton-Boxborough - Luther Conant School,06000030,       8.7,          10.0,           3.3,            .0,           8.0,            .0,          30.0
NA,NA,NA,2022-23,Acton-Boxborough - McCarthy-Towne School,06000015,       9.9,          11.4,           3.4,            .0,           9.8,            .0,          34.5
NA,NA,NA,2022-23,Acton-Boxborough - Merriam School,06000010,      10.0,          10.4,           3.5,            .0,           8.8,            .0,          32.5
NA,NA,NA,2022-23,Acton-Boxborough - Paul P Gates Elementary School,06000025,      10.2,           7.1,           3.5,            .0,           7.6,            .0,          28.4
NA,NA,NA,2022-23,Acton-Boxborough - Raymond J Grey Junior High,06000405,       0.0,            .0,          57.4,            .0,          15.2,            .0,          72.6
NA,NA,NA,2022-23,Acushnet - Acushnet Elementary School,00030025,      27.5,          14.5,            .0,            .0,            .0,           1.0,          43.0
