StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Please select your school in Boston.,What district is your school in?,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,do not use,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,do not useÂ ,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,do not use expa,t-expa-q2,t-expa-q3,do not use phya,t-phya-q2,t-phya-q3,,Q131,Q132,Q81,Q83_1,Q84_1,Q85
3/27/18 14:16,3/27/18 14:23,IP Address,216.163.221.198,100,397,TRUE,2018-03-27T14:23:16,R_1q2tsPNSVnsvtR3,,,,,42.2736969,-71.08999634,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,4,5,5,5,3,2,5,2,3,2,3,4,4,4,3,3,4,5,4,3,5,2,2,5,5,5,5,4,4,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,4,3,4,4,2,1,1,1,4,4,2,4,5,2,2,4,3,3,2,3,5,1,2,3,,3,3,,4,3,
4/27/18 14:33,4/27/18 14:42,IP Address,216.163.221.198,100,550,TRUE,2018-04-27T14:42:35,R_1GD4DPeUhkq9UNe,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,5,5,5,5,3,4,5,2,3,2,3,4,4,5,3,3,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,1,2,5,2,5,3,4,4,4,4,4,5,4,5,2,1,2,2,5,3,2,4,4,2,2,4,4,4,2,2,2,1,1,1,,3,3,,9,9,
4/27/18 14:34,4/27/18 14:44,IP Address,216.163.221.198,100,565,TRUE,2018-04-27T14:44:22,R_puf6Ih7VHNZkxLH,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,5,4,4,5,3,1,3,3,3,3,3,5,5,5,5,5,4,5,3,3,3,3,3,4,3,3,3,3,4,3,3,3,3,3,2,2,4,1,3,3,4,4,3,2,3,3,4,4,3,1,2,1,3,1,2,2,5,2,2,3,3,3,2,2,2,1,1,1,,4,2,,6,6,
4/2/18 13:37,4/2/18 13:48,IP Address,216.163.221.198,100,679,TRUE,2018-04-02T13:48:56,R_31afTUWuPGSY3jh,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,5,5,5,5,4,4,5,3,2,2,4,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,5,4,5,4,5,3,5,1,5,5,5,5,4,5,5,4,5,4,4,5,5,2,2,1,1,5,3,1,3,5,3,3,3,3,4,2,3,5,1,1,1,,4,4,It's a great place to teach and learn and I am so proud of the successes of our mostly ESL students.  They achieve so much more than anyone would have imagined.,9,8,I'm not sure everyone in my school knows about it.
4/27/18 14:37,4/27/18 14:48,IP Address,216.163.221.198,100,708,TRUE,2018-04-27T14:48:53,R_3dGnCm8Bj6Uzf6i,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,4,4,4,4,4,,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,4,4,4,4,4,4,4,4,4,4,3,4,5,3,5,5,3,3,4,4,3,3,3,4,3,4,4,2,4,4,,4,4,3,3,4,4,4,2,2,2,3,2,2,,3,3,NO,7,5,
4/27/18 14:36,4/27/18 14:48,IP Address,216.163.221.198,100,729,TRUE,2018-04-27T14:48:10,R_2z5PEsPPsPQhFjW,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,3,4,4,5,4,4,3,3,2,1,4,1,3,5,3,4,2,5,2,3,1,3,3,3,3,3,4,5,4,3,2,2,4,3,3,3,1,3,3,2,5,5,4,4,3,4,5,5,5,5,2,1,1,2,4,4,1,3,4,3,,4,4,4,2,2,2,1,1,1,,4,3,,7,6,
4/27/18 14:31,4/27/18 14:48,IP Address,216.163.221.198,100,1014,TRUE,2018-04-27T14:48:13,R_2fuLZiDsSszqipd,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,5,5,4,5,3,2,5,3,1,2,3,5,3,5,3,4,4,4,3,3,4,3,2,4,4,4,5,4,4,3,3,4,4,3,1,3,4,4,3,3,4,4,3,4,4,4,4,5,2,1,1,1,5,4,2,3,4,3,3,4,4,4,2,2,2,1,1,1,,3,3,,6,6,
4/27/18 9:24,4/27/18 9:41,IP Address,216.163.221.198,100,1020,TRUE,2018-04-27T9:41:41,R_3iKEqOIUIOGxlGc,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,5,5,5,5,4,4,5,4,1,4,3,5,4,5,2,2,1,4,3,4,4,4,4,2,4,3,3,3,3,3,4,3,3,3,2,2,4,1,4,4,4,5,3,4,5,5,5,5,2,1,2,2,3,4,3,3,5,3,2,5,4,5,1,2,2,1,1,1,,4,2,,7,5,Many of the questions were hard to answer because they depended on which class/cohort of students I was referring to: ESL students and native-English speakers have very different challenges and profiles.
4/27/18 14:35,4/27/18 14:53,IP Address,216.163.221.198,100,1070,TRUE,2018-04-27T14:53:22,R_O83z2OTA1c4rqQV,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,5,5,5,5,4,5,5,4,3,3,4,5,5,4,3,3,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,3,3,2,1,3,5,1,5,4,4,4,3,3,4,4,4,5,2,1,1,1,4,3,1,3,4,2,2,4,4,4,1,2,3,1,1,1,,3,3,A lot of the grade level content question I answered as below grade level because I teach ESL.,9,6,better than last year.  I like the change.
4/27/18 14:48,4/27/18 15:11,IP Address,216.163.221.198,100,1431,TRUE,2018-04-27T15:11:56,R_pGZu2Rdlt4wTAGt,,,,,42.30589294,-71.08589935,anonymous,EN,Boston Adult Technical Academy,Boston,00350548,5,5,5,4,5,4,4,3,3,5,4,4,5,3,4,5,5,4,4,5,5,5,5,2,1,5,5,4,4,4,4,4,4,2,3,4,1,4,4,4,5,4,4,4,4,4,4,4,5,5,4,1,3,3,5,5,3,5,4,4,4,3,4,5,3,3,3,1,1,2,,3,4,"My school has a climate and culture that promotes learning, and the wholesome growth of students, staff and faculty.",8,8,
