StartDate,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseID,Location.Latitude,DistributionChannel,UserLanguage,district,student_id,grade,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,gender,Q90_3_TEXT,race,Q91_7_TEXT,language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher,DESE ID
3/12/19 8:47,100,323,TRUE,2019-03-12T8:52:0,R_24IvMAxf0EV3C69,42.4125061,anonymous,EN,Revere,36434,4,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,2,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1,4,5,2,5,3,4,2,2,3,4,3,4,4,3,5,1,1,4,5,5,5,3,4,1,3,NA,4,1,5,1,5,1,4,2,4,2,,7,,EN,,,,,02480003
3/12/19 8:47,100,530,TRUE,2019-03-12T8:55:0,R_1mWRko0fMVAqNRE,42.4125061,anonymous,EN,Revere,37788,4,NA,NA,NA,NA,NA,NA,NA,NA,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,4,5,3,3,5,2,3,3,3,3,5,5,4,5,3,1,3,4,1,2,3,5,3,2,2,2,3,4,3,2,3,4,1,,6,,EN,,,,,02480003
3/12/19 8:47,100,558,TRUE,2019-03-12T8:56:0,R_3NVwGDvFnTiR2rf,42.4125061,anonymous,EN,Revere,37810,4,5,4,2,5,4,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,NA,NA,NA,4,4,2,3,4,5,4,1,1,4,4,5,5,3,2,1,4,2,2,NA,NA,2,1,3,5,4,4,5,3,4,4,3,5,2,,7,,EN,,,,,02480003
3/12/19 8:47,100,652,TRUE,2019-03-12T8:58:0,R_1hZvf0mgXPqzZhI,42.4125061,anonymous,EN,Revere,43716,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,5,5,4,5,3,NA,NA,NA,NA,2,4,1,5,NA,NA,NA,NA,NA,NA,NA,5,4,4,4,5,5,5,5,1,4,5,5,5,5,4,5,5,5,5,NA,NA,1,4,3,4,5,3,5,3,4,5,4,4,2,,5,,EN,,,,,02480003
3/12/19 8:47,100,662,TRUE,2019-03-12T8:58:0,R_2ZIcCVKI2mWJqyD,42.4125061,anonymous,EN,Revere,37821,4,3,NA,4,3,3,3,3,4,2,4,2,NA,NA,3,4,3,3,3,3,3,3,2,3,5,3,NA,3,3,3,3,2,4,3,3,4,4,4,3,4,4,4,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,"4,5",,EN,,,,,02480003
3/12/19 8:47,100,665,TRUE,2019-03-12T8:58:0,R_1ImkeEfYq4MzZeN,42.4125061,anonymous,EN,Revere,38069,4,1,1,2,5,2,4,5,4,4,4,5,5,3,3,3,1,3,4,3,3,4,4,5,1,4,4,3,4,5,4,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,2,5,4,4,4,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,7,american brazilian,EN,,,,,02480003
3/12/19 8:47,100,680,TRUE,2019-03-12T8:58:0,R_zVwbI5RLLPmtaZr,42.4125061,anonymous,EN,Revere,42417,4,2,5,3,3,2,5,5,4,4,5,5,3,3,5,5,5,3,3,3,4,1,5,3,5,5,5,4,4,4,3,3,5,5,5,5,4,5,4,4,5,5,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,7,portugese and norway,EN,,,,,02480003
3/12/19 8:47,100,688,TRUE,2019-03-12T8:58:0,R_vUd6NQg9A7UaDcd,42.4125061,anonymous,EN,Revere,36911,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,3,4,1,NA,NA,NA,NA,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,5,5,5,4,5,5,4,3,4,3,4,4,5,5,4,5,4,4,5,NA,NA,1,5,5,4,4,2,4,2,3,5,4,2,1,,"3,7",Portuguese,EN,,,,,02480003
3/12/19 8:47,100,717,TRUE,2019-03-12T8:59:0,R_33DxkPcorA1A3Og,42.4125061,anonymous,EN,Revere,39396,4,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,2,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,3,3,3,1,3,3,4,3,3,2,5,5,3,4,3,1,1,4,1,1,NA,NA,3,2,3,3,3,1,1,3,3,5,1,,4,,EN,,,,,02480003
3/12/19 8:47,100,731,TRUE,2019-03-12T8:59:0,R_AoKhlnal6iSSze1,42.4125061,anonymous,EN,Revere,37640,4,3,3,4,2,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,NA,NA,NA,5,5,4,4,5,4,3,3,2,4,3,3,4,4,4,3,4,2,3,NA,NA,1,4,3,3,2,2,3,3,2,2,2,3,NA,,"4,5",,EN,,,,,02480003
