StartDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,LocationLatitude,DistributionChannel,language,district,Q124,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,Q81,Q83_1,Q84_1,Q85,X,X.1,X.2,DESE ID
2/6/19 9:19,IP Address,192.64.64.114,100,367,TRUE,2019-02-06T9:25:0,R_yWvk5G4l5wENUjL,42.36489868,anonymous,EN,Somerville,NA,4,4,4,5,5,5,4,2,4,3,4,4,2,2,2,2,4,4,4,2,2,2,2,2,1,2,3,2,2,3,3,2,3,2,3,3,3,3,4,3,4,2,4,3,4,4,3,3,3,3,3,4,5,2,2,1,3,4,2,3,3,2,2,3,4,4,1,1,2,2,,8,5,,NA,NA,,02740075
2/6/19 9:19,IP Address,192.64.64.114,100,581,TRUE,2019-02-06T9:29:0,R_22qTDe9MoFJxUmc,42.36489868,anonymous,EN,Somerville,NA,4,4,4,4,3,4,3,2,4,4,4,3,3,4,1,3,3,3,4,2,2,3,2,1,2,3,4,3,3,4,3,3,3,3,4,3,3,3,3,3,3,1,3,2,3,4,4,3,3,3,4,4,3,3,4,3,3,3,2,3,4,4,3,3,3,3,2,3,2,3,,8,6,,NA,NA,,02740075
2/6/19 9:28,IP Address,192.64.64.114,100,352,TRUE,2019-02-06T9:34:0,R_WqG1dakCCtrmeyd,42.36489868,anonymous,EN,Somerville,NA,4,4,4,4,4,4,4,3,4,3,4,4,3,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3,2,4,4,4,4,3,3,3,4,3,4,3,4,3,4,,9,8,,NA,NA,,02740505
2/6/19 9:35,IP Address,209.6.196.243,100,376,TRUE,2019-02-06T9:41:0,R_2wNVGG1kEjAfbxB,42.38290405,anonymous,EN,Somerville,NA,2,2,4,5,5,5,5,2,4,4,4,4,4,2,5,4,4,4,5,1,1,1,1,1,1,2,2,2,5,4,4,2,1,1,1,2,4,5,5,5,2,1,2,2,1,2,2,3,4,4,4,5,5,5,3,1,2,2,1,2,4,1,1,5,4,4,2,3,1,3,,4,5,,NA,NA,,02740075
2/6/19 9:31,IP Address,192.64.64.114,100,745,TRUE,2019-02-06T9:43:0,R_2UimiuS8XTHhUTh,42.36489868,anonymous,EN,Somerville,NA,5,5,5,5,5,4,4,1,5,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,2,2,3,3,3,4,2,3,1,3,2,4,3,4,2,2,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,"The resources that we have to teach language arts, science and social studies are minimal at best. I spend most of my time trying to figure out what and how to reach the needs of my students, challenging them appropriately and supporting those that need it. There are many gaps in the materials.",9,5,,NA,NA,,02740015
2/6/19 9:46,IP Address,192.64.64.114,100,360,TRUE,2019-02-06T9:52:0,R_3097EQJEQhg6NIL,42.36489868,anonymous,EN,Somerville,NA,5,4,5,4,4,5,3,1,4,4,4,4,2,2,2,2,2,4,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,2,2,2,2,3,2,1,3,2,5,3,3,3,2,3,3,4,2,2,2,1,4,4,3,3,3,2,2,3,2,3,2,2,3,3,,7,6,,NA,NA,,02740111
2/6/19 9:36,IP Address,192.64.64.114,100,1045,TRUE,2019-02-06T9:54:0,R_3qlhNmtYzT2Z5mT,42.36489868,anonymous,EN,Somerville,NA,5,4,4,4,2,3,3,1,4,4,4,4,3,1,3,3,2,3,2,3,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,2,4,3,4,4,1,2,4,5,3,3,2,2,2,4,5,3,3,3,3,3,3,2,3,4,2,2,3,3,3,3,3,3,4,"There were no questions about how effectively district departments work together to coordinate curriculum and student learning goals and expectations. When district departments do not collaborate effectively, it affects every school in the district, including the Argenziano.",7,6,"Questions about an educator's specific classroom may not reflect the school overall. The majority of students in SEI-1 classrooms or the resource room are far below grade level in at least one subject area, for example.",NA,NA,,02740087
2/6/19 9:44,IP Address,192.64.64.114,100,896,TRUE,2019-02-06T9:59:0,R_1igIuvZDHCJ6GN0,42.36489868,anonymous,EN,Somerville,NA,4,4,4,2,3,4,2,2,3,3,4,4,3,NA,3,3,4,4,1,5,2,5,5,5,4,4,5,5,4,4,4,3,3,2,4,3,4,4,2,3,3,2,3,3,3,4,3,4,5,5,4,5,4,2,2,2,4,3,3,4,3,3,3,3,3,4,3,4,3,4,,7,3,,NA,NA,,02740505
2/6/19 9:49,IP Address,192.64.64.114,100,842,TRUE,2019-02-06T10:3:0,R_1eLwcvk5qV3T9l4,42.36489868,anonymous,EN,Somerville,NA,5,5,5,2,1,2,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,3,3,3,2,2,2,1,2,1,2,2,1,1,1,1,1,1,5,1,2,3,3,5,4,3,1,1,1,1,1,1,3,2,3,1,1,2,1,2,1,2,,9,4,I do not think that the questions or the results represent a true picture of the work environment of educators relevant to their individual schools. ,NA,NA,,00350166
2/6/19 9:49,IP Address,192.64.64.114,100,842,TRUE,2019-02-06T10:3:0,R_1eLwcvk5qV3T9l4,42.36489868,anonymous,EN,Somerville,NA,5,5,5,2,1,2,1,1,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,3,3,3,2,2,2,1,2,1,2,2,1,1,1,1,1,1,5,1,2,3,3,5,4,3,1,1,1,1,1,1,3,2,3,1,1,2,1,2,1,2,,9,4,I do not think that the questions or the results represent a true picture of the work environment of educators relevant to their individual schools. ,NA,NA,,02740083
2/6/19 9:47,IP Address,192.64.64.114,100,1061,TRUE,2019-02-06T10:5:0,R_3F2v4HCgCGt1XHe,42.36489868,anonymous,EN,Somerville,NA,5,4,4,2,2,2,3,4,4,4,5,5,3,2,2,3,3,5,3,3,3,3,3,5,4,3,3,4,4,4,3,3,3,3,3,1,4,3,1,3,4,1,4,2,4,3,3,5,4,4,4,4,5,5,5,2,5,5,5,5,4,5,4,2,4,3,1,2,2,3,,7,5,,NA,NA,,02740015
2/6/19 9:57,IP Address,192.64.64.114,100,957,TRUE,2019-02-06T10:13:0,R_R3NR5d2IcLJ4yNH,42.36489868,anonymous,EN,Somerville,NA,4,4,4,5,4,5,4,4,5,5,5,5,2,1,2,2,4,3,4,3,2,3,3,3,3,5,5,4,4,4,4,4,4,3,4,3,3,3,3,3,3,2,2,3,4,3,4,4,4,4,4,5,5,4,4,3,3,4,2,4,4,4,4,4,4,3,3,3,4,4,,7,7,,NA,NA,,02740015
2/6/19 10:06,IP Address,192.64.64.114,100,855,TRUE,2019-02-06T10:20:0,R_339lu3aN8zo5UuQ,42.36489868,anonymous,EN,Somerville,NA,5,5,5,2,2,4,2,2,4,3,4,4,3,3,4,4,2,1,2,4,4,4,4,3,3,3,3,3,NA,3,4,3,3,3,3,5,5,3,3,4,3,3,4,4,4,4,5,4,4,4,4,5,3,2,2,1,4,4,2,2,3,3,3,3,2,2,2,2,2,2,,5,5,,NA,NA,,02740505
2/6/19 9:02,IP Address,192.64.64.114,100,5406,TRUE,2019-02-06T10:32:0,R_1irGX7anOgDissr,42.36489868,anonymous,EN,Somerville,NA,4,5,5,4,3,5,1,1,4,4,3,3,1,2,1,3,4,4,3,3,3,4,1,2,2,3,3,3,3,4,3,3,4,2,4,3,4,3,3,3,4,2,4,3,3,3,4,3,4,3,3,5,5,4,3,2,1,2,1,3,4,3,3,3,3,4,2,3,3,3,,7,5,,NA,NA,,00350166
2/6/19 9:02,IP Address,192.64.64.114,100,5406,TRUE,2019-02-06T10:32:0,R_1irGX7anOgDissr,42.36489868,anonymous,EN,Somerville,NA,4,5,5,4,3,5,1,1,4,4,3,3,1,2,1,3,4,4,3,3,3,4,1,2,2,3,3,3,3,4,3,3,4,2,4,3,4,3,3,3,4,2,4,3,3,3,4,3,4,3,3,5,5,4,3,2,1,2,1,3,4,3,3,3,3,4,2,3,3,3,,7,5,,NA,NA,,02740083
2/6/19 10:23,IP Address,192.64.64.114,100,994,TRUE,2019-02-06T10:40:0,R_9tsk3Ljm2JgaOoV,42.36489868,anonymous,EN,Somerville,NA,4,4,4,4,4,5,4,2,4,4,4,4,3,4,3,3,3,2,2,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,3,2,3,2,3,3,3,4,4,4,4,3,4,2,2,2,3,3,4,3,2,4,4,3,4,3,2,2,3,2,2,2,3,3,4,,6,7,,NA,NA,,02740115
2/6/19 10:40,IP Address,174.192.25.51,100,506,TRUE,2019-02-06T10:48:0,R_1jqyGz81EumFPCp,42.42799377,anonymous,EN,Somerville,NA,5,4,3,4,4,5,5,2,5,4,5,4,2,2,3,1,3,2,4,4,3,3,4,4,2,2,3,3,4,4,3,4,3,4,2,3,2,2,4,5,4,2,3,3,3,3,3,3,4,5,5,5,4,5,4,3,3,3,3,3,4,2,2,4,4,4,3,4,3,4,,7,5,,NA,NA,,02740111
2/6/19 10:35,IP Address,192.64.64.114,100,945,TRUE,2019-02-06T10:50:0,R_1dHndA9ozLl0BeY,42.36489868,anonymous,EN,Somerville,NA,5,5,5,4,4,5,4,2,5,4,3,4,3,3,2,3,4,5,4,4,4,4,3,3,2,3,3,2,3,2,4,2,4,3,2,3,3,3,4,3,3,2,3,3,2,2,2,2,3,3,4,4,1,2,2,1,3,3,2,3,4,3,3,3,3,3,2,3,2,3,,8,3,,NA,NA,,02740120
2/6/19 10:44,IP Address,73.253.126.65,100,761,TRUE,2019-02-06T10:57:0,R_dpzE7HKNFthtaRr,42.41119385,anonymous,EN,Somerville,NA,4,4,4,4,4,3,3,1,4,4,3,3,3,4,3,3,3,2,4,3,3,3,3,3,2,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,4,2,3,2,4,4,4,4,4,4,4,4,3,4,4,2,2,4,2,4,3,4,4,3,4,4,3,4,3,4,,7,6,,NA,NA,,02740015
2/6/19 10:59,IP Address,192.64.64.114,100,852,TRUE,2019-02-06T11:13:0,R_3Gj33nceA6knLNQ,42.36489868,anonymous,EN,Somerville,NA,5,5,5,3,2,2,4,1,5,5,5,4,1,2,1,2,3,2,3,3,4,3,1,1,1,3,4,4,3,2,3,2,2,3,3,3,2,2,1,1,1,1,2,2,2,4,2,2,4,4,4,5,3,1,2,1,4,4,4,4,2,2,2,1,1,4,2,3,4,4,,9,2,,NA,NA,,02740505
2/6/19 9:50,IP Address,192.64.64.114,100,5283,TRUE,2019-02-06T11:18:0,R_3suyHEDrUvpIE7h,42.36489868,anonymous,EN,Somerville,NA,4,4,4,4,2,3,3,2,4,4,4,4,3,3,2,2,2,4,4,3,2,5,3,3,3,3,4,3,4,4,4,3,2,4,3,2,3,3,3,4,4,2,4,1,4,3,3,3,4,4,4,4,3,2,3,1,4,3,2,3,3,3,3,4,4,4,1,2,2,3,,7,5,,NA,NA,,02740111
2/6/19 11:22,IP Address,192.64.64.114,100,1218,TRUE,2019-02-06T11:42:0,R_2fk8iUhSSlsdfxA,42.36489868,anonymous,EN,Somerville,NA,4,4,3,4,4,3,3,2,5,5,5,5,3,4,2,3,4,5,5,4,4,4,4,4,4,3,3,4,3,3,3,3,5,4,4,2,2,2,3,4,4,3,3,3,3,3,5,5,4,4,4,4,5,3,3,4,4,4,2,3,3,3,3,3,3,3,2,2,3,4,,8,7,,NA,NA,,00350166
2/6/19 11:22,IP Address,192.64.64.114,100,1218,TRUE,2019-02-06T11:42:0,R_2fk8iUhSSlsdfxA,42.36489868,anonymous,EN,Somerville,NA,4,4,3,4,4,3,3,2,5,5,5,5,3,4,2,3,4,5,5,4,4,4,4,4,4,3,3,4,3,3,3,3,5,4,4,2,2,2,3,4,4,3,3,3,3,3,5,5,4,4,4,4,5,3,3,4,4,4,2,3,3,3,3,3,3,3,2,2,3,4,,8,7,,NA,NA,,02740083
2/6/19 11:35,IP Address,192.64.64.114,100,915,TRUE,2019-02-06T11:50:0,R_2RWAOi3g3O5EorA,42.36489868,anonymous,EN,Somerville,NA,5,5,5,2,2,3,3,1,5,5,5,4,3,3,4,4,2,2,3,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,3,4,4,4,5,4,3,3,2,5,5,4,4,4,2,2,3,4,4,3,4,4,4,,9,9,,NA,NA,,02740111
2/6/19 11:46,IP Address,192.64.64.114,100,1163,TRUE,2019-02-06T12:5:0,R_RkmHv4nEwIL8WSR,42.36489868,anonymous,EN,Somerville,NA,5,5,4,4,3,3,4,2,5,4,4,5,4,4,3,4,5,5,4,4,4,4,4,4,4,3,3,4,4,5,4,4,5,4,4,4,5,5,5,4,5,4,5,4,3,4,4,4,4,4,4,4,2,2,1,1,5,4,2,4,4,4,4,3,3,4,4,4,4,5,,9,8,,NA,NA,,02740505
2/6/19 12:30,IP Address,192.64.64.114,100,926,TRUE,2019-02-06T12:45:0,R_SZSrBjX9Atq05nX,42.36489868,anonymous,EN,Somerville,NA,5,5,5,3,2,2,3,1,5,5,5,5,1,2,4,2,4,1,2,4,5,4,4,4,4,4,5,5,5,4,5,5,4,4,4,1,2,3,1,4,4,1,4,1,3,3,3,2,3,3,3,4,3,4,4,3,4,4,3,4,4,4,4,2,4,4,3,4,3,3,,6,4,,NA,NA,,02740015
2/6/19 13:09,IP Address,192.64.64.114,100,434,TRUE,2019-02-06T13:16:0,R_2X4Fo8yHnD4frfC,42.36489868,anonymous,EN,Somerville,NA,5,5,4,3,4,3,3,2,4,4,4,4,3,1,1,1,3,3,3,4,3,4,3,3,3,4,4,3,3,2,4,3,3,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,3,2,3,2,4,3,3,2,3,3,2,2,3,2,2,2,2,3,3,3,3,4,,8,6,,NA,NA,,02740115
2/6/19 13:13,IP Address,192.64.64.114,100,358,TRUE,2019-02-06T13:19:0,R_3GBUp3GPOQOti4h,42.36489868,anonymous,EN,Somerville,NA,5,4,4,5,4,3,4,1,5,5,4,5,3,3,2,1,4,1,4,4,3,4,2,2,2,3,3,3,3,4,4,3,2,3,2,3,3,3,3,4,3,3,3,1,5,3,4,3,2,3,3,3,5,5,4,2,3,3,2,4,4,3,3,3,3,3,2,2,3,3,,9,9,,NA,NA,,02740115
2/6/19 13:15,IP Address,174.192.15.198,100,608,TRUE,2019-02-06T13:25:0,R_1NW1UWqNChEmt0Z,42.86669922,anonymous,EN,Somerville,NA,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4,4,3,3,3,3,4,1,1,3,3,,NA,NA,,NA,NA,,02740115
2/6/19 13:20,IP Address,192.64.64.114,100,714,TRUE,2019-02-06T13:32:0,R_ypvp7ZcsxyUCSlz,42.36489868,anonymous,EN,Somerville,NA,5,5,5,4,5,3,3,2,5,3,5,4,4,4,4,4,5,3,4,5,5,5,5,4,5,3,3,5,4,4,3,4,4,4,3,5,3,3,5,4,4,4,2,3,4,4,5,4,3,4,3,4,3,3,3,2,4,4,4,4,4,4,5,3,4,3,2,2,5,5,,9,6,,NA,NA,,02740505
2/6/19 13:24,IP Address,174.192.6.99,100,561,TRUE,2019-02-06T13:33:0,R_3EG4I33fAiQ6IJ2,42.36109924,anonymous,EN,Somerville,NA,4,3,5,4,4,4,4,2,4,4,3,3,2,2,2,3,3,3,4,4,3,2,4,4,3,3,3,3,3,3,3,3,4,4,3,3,5,5,5,4,3,3,4,3,3,3,4,3,3,3,3,4,3,4,3,3,3,3,3,4,4,2,2,3,3,4,3,3,3,3,,9,6,,NA,NA,,02740115
2/6/19 13:14,IP Address,192.64.64.114,100,1185,TRUE,2019-02-06T13:33:0,R_3iLqBFKHebdtcg6,42.36489868,anonymous,EN,Somerville,NA,5,5,5,5,5,5,4,3,5,5,5,4,3,4,3,4,4,3,4,5,5,4,5,5,5,4,4,5,5,5,5,4,4,4,4,4,5,4,5,3,4,5,3,4,4,4,5,5,4,4,4,4,4,4,3,4,5,5,3,5,4,4,4,2,4,5,2,1,3,3,,9,8,,NA,NA,,02740115
2/6/19 13:25,IP Address,192.64.64.114,100,668,TRUE,2019-02-06T13:36:0,R_3kpNMS6ZOXDm1YC,42.36489868,anonymous,EN,Somerville,NA,5,5,4,4,4,5,4,3,4,4,5,4,3,4,3,4,4,4,4,4,4,4,5,5,5,3,4,3,4,5,4,3,4,4,4,4,4,4,4,3,4,4,5,4,4,4,5,4,5,4,4,4,5,5,4,4,4,4,4,4,5,4,3,3,4,3,3,4,4,4,,9,6,,NA,NA,,02740115
2/6/19 13:16,IP Address,192.64.64.114,100,1413,TRUE,2019-02-06T13:39:0,R_3fYJXewWlJ1Uzps,42.36489868,anonymous,EN,Somerville,NA,5,5,5,4,4,5,3,3,5,4,3,4,3,2,2,4,3,4,4,4,4,5,4,4,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,5,2,2,3,3,5,5,4,4,5,5,4,5,3,4,3,1,2,3,1,2,4,4,4,4,4,4,1,1,1,3,,9,7,,NA,NA,,00350166
2/6/19 13:16,IP Address,192.64.64.114,100,1413,TRUE,2019-02-06T13:39:0,R_3fYJXewWlJ1Uzps,42.36489868,anonymous,EN,Somerville,NA,5,5,5,4,4,5,3,3,5,4,3,4,3,2,2,4,3,4,4,4,4,5,4,4,4,3,4,3,3,4,4,4,4,4,4,3,3,3,3,5,2,2,3,3,5,5,4,4,5,5,4,5,3,4,3,1,2,3,1,2,4,4,4,4,4,4,1,1,1,3,,9,7,,NA,NA,,02740083
2/6/19 13:29,IP Address,192.64.64.114,100,636,TRUE,2019-02-06T13:39:0,R_1C10wBUq9AgSudy,42.36489868,anonymous,EN,Somerville,NA,5,5,5,4,3,4,2,1,5,4,4,4,2,2,2,2,3,1,2,5,5,4,3,4,4,4,4,5,5,4,5,4,4,4,4,3,2,3,3,4,3,1,2,2,4,4,5,4,3,3,3,3,3,2,5,2,4,4,3,4,5,5,4,3,4,4,3,3,3,4,,NA,NA,"""Adequate"" is spelled wrong in one of the questions.",NA,NA,,02740015
