Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,District,school,Birth.Month,Birth.Day,Birth.Year,grade,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,Q90,Q90_3_TEXT,Q91,Q91_7_TEXT,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher,,ALL NA?
1,2020-01-29T10:47:0,R_3meiE9wU26ztkgo,anonymous,EN,1,9,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,EN,,,,,,
1,2020-01-30T8:13:0,R_39vFpeJ7FQoIz1T,anonymous,EN,1,2,NA,NA,NA,6,3,NA,4,2,1,2,3,2,3,2,4,3,2,4,3,3,3,4,3,4,3,3,3,5,4,4,4,3,3,3,4,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,4,4,3,3,3,3,3,4,1,,7,american,EN,Math teacher,,,,,
1,2020-02-05T7:49:0,R_1C7tpIHxHOmbNkI,anonymous,EN,1,1,NA,NA,NA,12,1,NA,5,5,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,3,NA,1,1,1,3,5,5,1,NA,2,NA,5,3,NA,4,3,NA,4,2,3,4,3,2,2,,4,,EN,,,Social Studies teacher,,,
1,2020-02-06T7:27:0,R_2zHA9TvBUDY7bRG,anonymous,EN,1,3,NA,NA,NA,5,2,1,2,3,3,4,4,4,4,3,5,5,3,4,3,3,4,3,1,2,3,3,5,3,5,4,3,4,4,4,5,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,3,3,3,4,3,2,2,3,3,3,,6,,EN,,,,,,
1,2020-02-06T7:37:0,R_0kCtrMgHk1Z1so9,anonymous,EN,1,5,NA,NA,NA,4,4,4,5,NA,2,4,3,4,4,4,3,4,2,3,NA,3,1,2,1,2,1,1,2,4,3,3,3,4,4,4,4,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,4,4,5,4,3,3,4,4,4,2,,5,,EN,,,,,,
1,2020-02-06T7:38:0,R_r0ii820UF0PCU5r,anonymous,EN,1,5,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,4,5,NA,NA,NA,NA,2,5,4,4,NA,NA,NA,NA,NA,NA,NA,5,4,5,4,4,5,5,3,4,3,4,5,4,3,1,4,4,4,4,2,1,1,3,5,3,5,3,4,3,2,3,3,3,1,,5,,EN,,,,,,
1,2020-02-06T7:40:0,R_1gLQn9gX9HZrEfl,anonymous,EN,1,5,NA,NA,NA,4,3,5,5,3,3,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,NA,NA,NA,5,5,4,4,4,4,3,4,4,3,3,4,5,5,5,4,3,3,4,4,4,4,4,4,4,3,2,3,5,3,3,4,4,1,,5,,EN,,,,,,
1,2020-02-06T7:43:0,R_Y9AfbC2pMnefSmZ,anonymous,EN,1,5,NA,NA,NA,4,3,1,5,4,3,1,4,3,4,4,5,4,1,2,5,2,4,4,4,1,3,3,1,1,3,2,3,3,3,3,1,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,5,4,5,5,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,6,,EN,,,,,,
1,2020-02-10T9:47:0,R_XYUsusbQyBpUF0t,anonymous,EN,1,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,1,3,5,5,3,4,1,4,2,5,2,5,5,3,5,1,1,1,1,2,4,5,4,4,4,5,3,3,1,1,1,3,2,NA,,,,EN,Math teacher,,,,,
1,2020-02-12T7:55:0,R_2tySFK3Ibs29xY7,anonymous,EN,1,1,NA,NA,NA,11,3,4,4,3,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,NA,NA,NA,3,3,4,3,3,3,3,4,2,4,2,5,5,3,5,3,3,4,4,3,2,3,3,4,4,5,3,3,1,3,3,3,2,1,,5,,EN,,,Social Studies teacher,,,
1,2020-02-06T7:42:0,R_1gAwTLiDF5EXint,anonymous,EN,1,1,1,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,2,4,NA,NA,NA,NA,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,2,3,2,NA,3,4,4,5,3,3,5,5,1,1,5,1,1,1,1,3,3,2,2,2,1,1,1,1,1,2,,5,,EN,,,Social Studies teacher,,,
1,2020-02-10T8:24:0,R_2v8PBQDFslvPuBW,anonymous,EN,1,1,1,NA,103,12,1,1,2,4,2,4,3,4,5,4,4,5,5,3,2,4,1,1,2,1,4,1,4,3,1,3,2,3,4,5,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,4,4,3,3,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,5,,EN,Math teacher,,,,,
1,2020-01-30T10:21:0,R_2t4rk8wSS7XoDkP,anonymous,ES,1,1,1,1,97,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,ES,,,,,,
1,2020-02-03T11:37:0,R_24801YX7nAIqxeD,anonymous,EN,1,2,1,10,108,7,1,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,3,4,4,4,4,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,giraffe,7,i do not know,EN,Math teacher,,,,,
1,2020-02-13T9:15:0,R_2eVXwY0x8Xq2Iat,anonymous,ES,1,8,1,10,111,4,5,3,2,NA,NA,NA,NA,NA,2,1,2,2,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,ES,,,,,,
1,2020-02-12T7:53:0,R_3RyLUzi73yaM5Ro,anonymous,EN,1,1,1,11,103,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,,,,EN,,,Social Studies teacher,,,
1,2020-02-13T12:12:0,R_1HpFYzZQgtooyYb,anonymous,EN,1,4,1,14,NA,5,4,5,5,4,3,3,2,4,4,3,5,4,2,2,4,2,1,1,1,4,3,2,5,4,2,3,1,4,1,5,5,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,3,3,2,1,3,2,2,1,1,,6,,EN,,,,,,
1,2020-01-22T6:43:0,R_2tA8gObQE5SMT3v,anonymous,EN,1,3,8,1,109,6,5,4,5,4,3,3,3,3,3,3,4,4,2,2,3,3,3,4,4,4,3,3,3,3,3,3,3,2,3,3,3,3,4,3,4,4,3,4,3,4,4,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,6,,EN,,,,English teacher,,
1,2020-01-22T6:45:0,R_XuLtahkJOtnsD3r,anonymous,EN,1,3,6,16,109,6,1,1,2,5,2,2,5,3,4,4,1,4,2,5,4,3,5,4,3,1,2,3,2,1,4,4,3,2,5,4,3,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,5,3,3,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,Not prepher,1,,EN,,,,English teacher,,
1,2020-02-13T7:47:0,R_3jfnnmzaA6tva8Q,anonymous,EN,1,1,1,16,105,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,3,2,2,2,NA,NA,NA,NA,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,3,4,3,3,3,3,1,4,3,4,5,4,2,3,4,4,2,2,1,1,4,4,2,3,1,2,3,3,3,1,,4,,EN,,,Social Studies teacher,,,
1,2020-02-24T8:27:0,R_siGwzwSibD4G2aJ,anonymous,EN,1,2,1,18,107,8,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,4,4,5,3,4,3,4,3,4,3,5,4,5,5,4,4,2,3,4,1,2,1,4,3,3,3,3,3,2,3,3,4,2,,5,,EN,Math teacher,,,,,
1,2020-02-06T12:23:0,R_ePsxvwgvXRyTE7n,anonymous,EN,1,5,1,20,111,4,5,5,5,4,2,2,4,2,3,2,5,3,5,5,5,5,2,2,4,4,4,4,3,4,4,5,5,2,5,5,4,5,3,5,5,5,5,5,2,5,4,4,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,7,Colombian and Asian,EN,,,,,,
1,2020-01-22T8:9:0,R_3pa6oKq5vIxDMxa,anonymous,EN,1,3,10,23,108,6,4,4,5,3,2,4,5,4,5,4,5,5,3,3,4,5,3,3,3,2,3,2,2,1,3,2,2,4,5,3,5,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,4,3,3,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,6,,EN,Math teacher,,,,,
1,2020-01-22T8:10:0,R_1Qi3VoyVn8c4DRT,anonymous,EN,1,3,9,2,108,6,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,4,5,4,5,4,5,5,5,3,5,2,3,2,3,4,2,4,3,3,3,4,2,5,5,5,4,4,5,5,3,2,5,4,2,,"2,3,5,7",Cape Verde,EN,,,,English teacher,,
1,2020-01-22T8:10:0,R_25QmWm128bNSHOA,anonymous,EN,1,3,5,21,109,6,3,4,5,4,2,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,4,NA,NA,NA,5,4,5,4,4,5,4,4,3,3,4,5,4,5,5,4,4,3,4,3,4,4,2,2,3,4,3,4,3,3,3,4,3,2,,"2,5",,EN,,Science teacher,,,,
1,2020-01-22T8:14:0,R_w7qM1tK2ZyFvChj,anonymous,EN,1,3,2,16,109,6,1,1,1,2,2,2,2,2,2,2,4,1,3,4,4,2,1,1,2,2,3,2,3,3,4,3,2,2,3,2,2,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,4,5,5,5,1,3,3,5,2,,6,,EN,Math teacher,,,,,
1,2020-01-22T8:14:0,R_31MyPR43kA84hW3,anonymous,EN,1,3,2,6,109,6,3,2,4,4,4,NA,4,4,3,4,5,4,4,4,2,1,2,3,4,4,5,2,5,3,4,1,1,3,5,4,4,3,4,3,5,3,3,3,3,4,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,3,,EN,,Science teacher,,,,
1,2020-01-22T8:16:0,R_1rIcAkeyyNkprG1,anonymous,EN,1,3,8,7,109,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,3,4,2,NA,NA,NA,NA,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,4,4,5,3,3,5,4,5,3,5,4,2,3,4,2,2,2,2,3,2,2,2,4,1,3,4,3,3,1,1,3,4,2,2,,6,,EN,,,Social Studies teacher,,,
1,2020-01-22T8:21:0,R_1EajCn5PuguzZAl,anonymous,EN,1,3,12,12,108,6,3,3,3,2,3,3,2,3,2,3,4,3,2,2,3,3,3,4,3,4,4,3,3,4,4,3,3,4,3,5,3,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,2,2,2,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,5,,EN,Math teacher,,,,,
1,2020-01-22T8:22:0,R_R8oKpIBu9GG0gmJ,anonymous,EN,1,3,5,8,109,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,4,4,5,NA,NA,NA,NA,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,4,4,4,3,3,4,4,4,4,3,3,4,3,4,3,5,4,4,4,2,3,2,4,4,4,5,3,4,4,2,4,3,4,1,,5,,EN,,,Social Studies teacher,,,
1,2020-02-24T8:29:0,R_2D6QKxATQRo8mdx,anonymous,EN,1,2,1,27,106,8,2,5,5,5,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,4,NA,NA,NA,4,5,4,4,5,5,5,4,4,5,5,5,4,1,5,4,4,4,4,4,2,4,2,1,3,5,4,5,3,4,5,4,4,2,,5,,EN,,,Social Studies teacher,,,
1,2020-01-22T8:23:0,R_29rZOamPZ8oENiU,anonymous,EN,1,3,1,29,109,6,2,2,2,3,2,3,4,4,2,3,3,3,1,4,3,5,3,2,3,4,4,4,5,4,5,3,4,3,4,4,4,3,4,5,4,4,3,2,3,3,3,4,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,,5,,EN,,,,English teacher,,
1,2020-01-22T8:26:0,R_bDX7zANa2JzO4V3,anonymous,EN,1,3,1,29,109,6,5,5,5,3,3,4,4,4,5,5,5,5,3,4,4,4,3,3,2,4,4,5,5,3,5,4,4,4,5,5,5,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,5,4,5,2,3,3,4,4,1,,5,,EN,Math teacher,,,,,
1,2020-02-03T10:4:0,R_2cnnMUMycwR6knF,anonymous,EN,1,3,1,3,108,7,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,NA,NA,NA,NA,NA,NA,NA,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3,4,2,4,5,5,5,4,5,1,1,2,1,4,4,4,3,5,2,3,1,5,3,1,1,5,5,4,4,3,4,2,1,2,3,3,1,,5,,EN,Math teacher,,,,,
1,2020-01-22T8:26:0,R_QgIvrJjzzat8FK9,anonymous,EN,1,3,12,26,108,6,2,1,2,3,2,1,3,4,3,2,3,4,3,2,4,4,1,3,1,4,4,1,3,3,4,4,4,4,5,4,5,5,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,4,4,3,5,5,1,2,3,4,2,,5,,EN,,,,English teacher,,
1,2020-01-22T8:28:0,R_2D8OTs7z5bJi1JN,anonymous,EN,1,3,6,16,109,6,NA,NA,NA,NA,NA,NA,NA,NA,5,4,4,5,NA,NA,NA,NA,NA,NA,NA,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,5,2,4,5,5,5,3,4,5,3,1,2,2,2,5,4,3,3,5,4,5,4,4,4,4,4,4,3,2,1,2,3,4,4,3,4,1,,5,,EN,,Science teacher,,,,
1,2020-01-22T8:33:0,R_42QbTACEnt3S4rD,anonymous,EN,1,3,11,12,108,6,1,2,2,3,2,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,4,NA,NA,NA,NA,3,3,4,3,4,2,3,3,3,3,2,2,4,5,3,2,2,3,2,3,2,5,3,2,3,2,2,4,3,3,3,2,1,,3,,EN,,Science teacher,,,,
1,2020-01-22T8:33:0,R_2trineInXKxcaNh,anonymous,EN,1,3,1,10,109,6,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,1,1,1,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,1,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,5,,EN,Math teacher,,,,,
1,2020-01-22T8:34:0,R_3L5fvpu2BZIvn3I,anonymous,EN,1,3,12,29,109,6,NA,NA,NA,NA,NA,NA,NA,NA,2,2,5,2,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,3,3,2,1,1,2,3,4,3,3,1,4,4,4,4,4,4,2,4,2,1,1,1,1,3,5,2,2,3,2,3,3,4,2,,5,,EN,,,Social Studies teacher,,,
1,2020-01-22T8:36:0,R_XM5affCAJbFAL1n,anonymous,EN,1,3,8,26,109,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,1,2,3,4,5,NA,NA,NA,NA,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,4,2,2,1,1,3,5,3,2,4,3,5,3,4,4,5,2,3,4,2,1,1,1,2,4,5,3,4,2,1,3,3,4,1,,7,caucasian/african american,EN,,Science teacher,,,,
1,2020-01-22T10:16:0,R_3KAyoUW8RhbQaoU,anonymous,EN,1,3,6,6,109,6,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,4,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,4,4,5,4,3,4,3,3,4,4,3,2,2,3,4,4,3,3,3,2,4,2,2,1,4,5,3,5,3,3,3,4,4,1,,5,,EN,,Science teacher,,,,
1,2020-02-24T8:36:0,R_2yeEn7bm1WWMI6V,anonymous,EN,1,2,1,3,107,8,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,2,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,5,4,4,3,3,5,3,4,4,4,2,5,4,4,5,3,3,2,2,4,3,4,5,4,4,4,4,4,3,4,4,4,4,3,Deez nuts,4,,EN,,Science teacher,,,,
1,2020-01-22T11:7:0,R_2zj3ctDVfgxSk5G,anonymous,EN,1,3,11,16,108,6,3,4,5,4,4,5,4,3,5,5,5,4,4,4,5,5,3,3,3,5,5,5,5,3,4,4,5,5,5,3,4,3,4,5,5,4,3,3,4,4,5,5,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,5,,EN,,,Social Studies teacher,,,
1,2020-01-22T11:7:0,R_24el7LMwsrxNBcn,anonymous,EN,1,3,12,28,108,6,1,2,3,2,2,2,2,2,3,2,5,2,4,4,2,3,4,5,1,1,3,2,3,4,4,3,3,4,4,3,4,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,5,5,3,2,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,"4,5",,EN,,,Social Studies teacher,,,
1,2020-01-22T11:8:0,R_RqcVBolbZ65KMMx,anonymous,EN,1,3,6,17,109,6,3,4,5,4,3,4,3,3,4,4,4,4,3,2,5,4,3,3,4,3,3,3,3,5,4,4,4,4,4,4,4,3,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,4,3,4,5,3,3,2,2,1,,2,,EN,,Science teacher,,,,
1,2020-01-22T11:12:0,R_3lxEqEUb2Ui5SKp,anonymous,EN,1,3,8,19,108,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,2,1,3,2,NA,NA,NA,NA,3,4,2,4,NA,NA,NA,NA,NA,NA,NA,4,4,3,5,4,4,5,4,4,3,2,4,4,4,4,2,2,2,2,2,3,3,5,1,3,2,2,2,5,2,4,5,2,1,,7,light skin/Portuguese,EN,,,,English teacher,,
