RecordedDate,ResponseId,UserLanguage,District,school,dist & school concat,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q1,t-qupd-q2,t-qupd-q3,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3
2020-01-14T12:17:0,R_xnja1W0U3jPKKHv,EN,6,7,67,03440505,,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
2020-01-15T6:22:0,R_Df1WHYUSZqGMrfP,EN,6,7,67,03440505,4,4,4,4,4,4,3,3,5,3,5,4,4,4,1,3,2,4,2,3,3,3,,,,NA,NA,,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,3,2,4,5,4,4,4,3,4,3,2,5,5,3,3,3,4,4,4,4,4,4,4,3,3,3,3
2020-01-15T10:57:0,R_VPeUQfxi668UESJ,EN,6,7,67,03440505,5,5,5,5,4,5,4,3,5,4,5,4,3,4,4,4,4,3,4,5,5,5,4,3,4,NA,NA,,4,3,5,4,4,4,5,3,3,3,4,5,5,3,4,3,3,4,5,5,2,3,3,2,3,4,3,3,3,4,4,5,4,4,3,3,4,4,4,5,4,5
2019-12-03T10:24:0,R_1K1P1JVmtlXVwJj,EN,6,7,67,03440505,4,4,5,4,3,3,1,1,5,5,5,2,2,2,2,1,1,5,1,2,2,2,1,1,2,3,3,4,4,4,4,4,4,3,5,2,3,3,4,5,3,3,3,3,4,5,3,4,2,1,1,1,2,3,3,1,4,4,3,4,4,3,3,3,3,3,3,5,2,3
2020-01-14T14:3:0,R_C7xNqM4Q7iHjn5T,EN,6,7,67,03440505,5,5,4,3,3,5,4,5,5,5,5,5,3,4,4,5,4,3,3,5,5,5,5,5,5,3,3,4,4,4,5,4,3,2,5,5,5,5,5,5,4,5,4,4,4,4,5,4,3,4,3,5,5,4,4,3,4,4,3,3,5,5,5,3,3,4,4,5,3,5
2020-01-07T12:47:0,R_1LRkZMJMIWrliPf,EN,6,7,67,03440505,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3
2020-01-07T12:38:0,R_qyjEIBvE6S7NrON,EN,6,7,67,03440505,5,5,5,3,2,4,2,2,5,4,5,4,2,1,2,2,4,3,3,2,2,2,3,3,2,3,3,3,3,4,4,4,3,2,5,5,5,3,3,4,5,3,3,3,4,4,5,3,3,3,3,3,5,4,4,2,3,4,3,3,4,4,4,3,3,4,3,5,4,5
2020-01-07T12:30:0,R_3QMDccRCw0gwg7I,EN,6,7,67,03440505,5,4,5,4,5,5,4,2,5,4,4,4,2,1,3,2,4,4,4,3,3,5,3,4,4,3,2,4,4,4,4,3,4,3,5,4,4,3,3,5,5,3,5,3,4,5,5,4,3,3,3,3,5,2,2,1,3,5,3,4,3,4,3,3,4,4,5,5,5,5
2020-01-07T13:18:0,R_2atLAQMl57MHCnO,EN,6,7,67,03440505,5,5,4,3,3,5,4,2,4,4,4,4,2,2,2,2,2,2,3,3,3,4,3,2,2,3,4,3,3,3,3,3,4,3,4,5,5,3,4,5,,,3,4,4,4,4,3,4,4,4,4,2,,,,3,3,,3,4,4,3,4,3,3,,,,
2020-01-07T14:0:0,R_3k1YyAdGcJQonMF,EN,6,7,67,03440505,4,4,4,4,3,2,2,3,4,4,4,3,3,1,2,2,2,2,2,3,2,4,4,4,3,3,4,4,3,4,4,3,4,3,3,4,4,3,2,4,4,2,4,4,4,4,4,3,3,3,4,4,4,4,4,2,4,3,3,3,4,3,4,4,4,5,3,5,5,5
2020-01-07T13:49:0,R_3HFkOY2dAL8FzT5,EN,6,7,67,03440505,5,5,5,3,3,4,4,4,5,5,5,5,4,3,5,5,3,3,3,4,5,4,4,4,4,3,3,4,3,3,4,4,5,3,5,4,4,4,3,4,4,2,4,4,5,5,5,3,3,3,3,3,5,5,5,5,3,5,3,3,4,5,5,3,3,3,5,5,5,5
2020-01-07T13:11:0,R_4HDumy694t58ODT,EN,6,7,67,03440505,5,5,5,2,2,2,1,1,5,5,5,5,1,1,4,2,1,1,1,2,1,3,4,2,2,2,2,2,3,3,3,2,4,2,3,1,4,4,4,5,3,5,3,3,2,4,3,3,5,5,4,5,5,3,3,2,1,3,1,3,2,3,2,3,3,2,3,5,3,5
2020-01-07T15:36:0,R_3Oqyup6jwIFIKvU,EN,6,7,67,03440505,5,5,5,4,4,5,4,3,5,4,4,5,2,1,1,2,3,3,5,3,3,2,3,4,3,3,3,4,4,5,4,4,5,4,5,4,3,3,4,5,3,5,4,4,5,4,5,4,3,3,3,3,4,2,2,1,4,4,3,4,5,5,5,4,4,5,3,5,3,5
2020-01-07T12:32:0,R_2ci02HQS5yU2RYg,EN,6,7,67,03440505,5,4,4,5,4,5,4,4,4,4,4,4,2,3,2,3,2,3,3,4,4,4,3,3,4,3,3,3,4,4,4,4,5,3,4,4,4,3,4,4,4,2,4,3,5,4,5,4,4,4,4,4,5,4,4,2,3,4,2,3,4,4,4,4,4,4,4,5,4,5
2020-01-07T14:0:0,R_32LKMOhZwWhkoe5,EN,6,7,67,03440505,5,5,4,5,3,4,3,2,5,4,5,5,3,3,3,3,4,4,4,3,2,2,3,3,3,3,3,4,3,4,4,4,5,4,5,5,3,3,4,5,3,3,4,4,5,5,5,4,3,3,3,4,3,5,5,5,2,4,2,4,5,5,5,4,4,4,2,4,4,5
2020-01-07T12:56:0,R_1lbBgShvl1wyiFC,EN,6,7,67,03440505,5,5,4,5,5,4,4,3,4,3,5,3,4,5,5,5,5,5,5,4,3,3,5,5,3,3,3,3,4,5,4,4,5,3,4,5,5,5,4,5,4,4,4,4,4,5,5,5,3,1,5,2,5,3,3,2,5,5,5,5,5,5,5,4,5,5,4,5,4,5
2020-01-07T14:42:0,R_1qhexeVUDmAwLP2,EN,6,7,67,03440505,4,4,4,4,3,5,4,4,4,5,4,3,4,4,4,5,4,2,3,4,4,4,4,5,3,1,1,2,3,3,3,3,4,3,5,3,4,4,3,4,1,3,2,1,5,2,4,3,5,5,5,5,5,5,4,3,1,3,2,4,3,3,3,4,4,4,3,3,3,3
2020-01-09T7:54:0,R_aWyz2ZkrRXe2zQd,EN,6,7,67,03440505,3,4,4,4,2,5,2,2,2,2,2,2,4,4,4,2,3,3,1,3,1,2,3,2,4,4,4,4,3,3,4,4,4,3,2,3,2,2,3,4,2,2,3,3,2,2,4,4,3,3,3,3,1,3,4,1,3,4,3,4,3,3,3,2,1,2,1,1,1,1
2020-01-07T12:44:0,R_3CZ8xv8qjvnA7HS,EN,6,7,67,03440505,5,5,4,2,4,4,3,1,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,2,2,2,3,3,2,3,5,4,4,3,4,4,4,5,4,5
2020-01-07T14:8:0,R_1pKCjKPwtisyplK,EN,6,7,67,03440505,5,5,4,5,5,4,4,2,4,4,4,4,3,4,4,4,3,4,3,3,3,3,4,4,3,3,3,4,3,3,3,3,4,4,4,4,3,3,3,4,4,3,4,3,4,4,5,4,4,4,4,4,3,3,3,2,3,4,4,4,4,4,4,4,4,4,5,5,3,4
2020-01-07T13:53:0,R_33r27hUFl5a9ZtM,EN,6,7,67,03440505,4,5,5,4,4,4,3,2,5,4,3,4,4,3,2,4,3,3,3,4,4,4,4,4,4,3,2,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,2,3,3,4,4,4,3,3,4,3,4,4,4,3,3,4,4,3,5,3,4
2020-01-13T11:17:0,R_VWpHpebkXmpWHZL,EN,6,7,67,03440505,5,5,5,3,3,3,2,2,5,4,4,5,4,3,3,3,3,3,3,1,2,1,2,2,2,2,3,3,,3,4,3,3,3,3,4,4,3,3,4,2,2,2,2,4,4,5,4,4,4,4,4,3,3,3,1,2,3,2,3,4,4,4,2,3,4,3,4,3,4
