Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,district_code,school_code,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,#N/A,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,#N/A,#N/A,s-cure-q3,s-cure-q4,#N/A,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,#N/A,#N/A,s-grmi-q4,s-appa-q1,s-appa-q2,#N/A,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,#N/A,#N/A,s-vale-q4,#N/A,s-acst-q2,s-acst-q3,#N/A,#N/A,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2020-09-29 18:28:41,2020-09-29 18:48:28,0,73.249.89.226,6,1186,0,2020-09-30 18:48:50,R_2dnWzTTd0EUc0B8,,,,,,,anonymous,EN,1,8,,,,dddd,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,,,,
2021-02-23 15:12:58,2021-02-23 15:13:17,0,50.207.254.114,0,19,0,2021-02-24 15:13:19,R_2VwOGs921wJP0TP,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,,,,
2021-03-31 9:50:19,2021-03-31 9:59:01,0,108.7.17.250,100,522,1,2021-03-31 9:59:02,R_306GRp4FQgxY61R,,,,,42.53340149,-70.96530151,anonymous,EN,3,2,12,4,108,3300,7,1,,,,,,,,,,,,,,2,4,2,1,4,3,3,,,,,3,3,3,3,,,,,,,,,,,,,,3,2,3,3,2,1,3,4,1,3,3,4,4,2,4,3,3,4,3,3,3,4,3,3,3,3,3,,,,,,,,,,3,4,4,2,3,3,1,,3,,EN,Math teacher,,,
2021-03-31 9:50:09,2021-03-31 10:00:16,0,67.186.188.168,100,607,1,2021-03-31 10:00:17,R_2QtzfH0AXYeHBDr,,,,,42.63510132,-71.30139923,anonymous,EN,3,2,12,18,108,2064,7,1,,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,3,5,3,3,,,,,,,,,,4,4,3,4,5,1,1,5,1,3,2,4,4,1,2,1,3,2,3,3,3,4,2,5,3,4,5,5,3,3,4,3,,,,,4,4,4,4,3,5,2,,2,,EN,,,,English teacher
2021-03-31 9:51:39,2021-03-31 10:01:36,0,73.47.153.77,100,596,1,2021-03-31 10:01:36,R_1OE8DN8mLxeFuty,,,,,42.65820313,-71.30580139,anonymous,EN,3,2,6,15,109,3710,7,1,,2,2,2,,,,,,,,,,3,3,4,3,3,3,3,4,3,4,3,4,4,5,4,3,4,3,5,2,2,3,,,,,,,,,,,,1,2,5,1,3,3,2,4,3,5,4,,,,,,,,,,,,5,4,3,4,4,4,4,4,4,,,,,,,2,,2,,EN,,,Social Studies teacher,
2021-03-31 9:51:23,2021-03-31 10:02:39,0,73.149.173.34,100,675,1,2021-03-31 10:02:40,R_2gYiuBKHNP7K24h,,,,,42.6282959,-71.33110046,anonymous,EN,3,2,9,18,108,273729,7,1,,,,,,,,,,,,,,5,5,4,3,4,4,5,,,,,4,2,3,4,,,,,,,,,,,,,,5,4,3,4,3,2,3,4,1,4,3,2,3,4,5,5,3,5,3,5,2,4,4,2,3,2,3,,,,,,,,,,4,5,5,4,4,5,2,,2,,EN,Math teacher,,,
2021-03-31 9:50:19,2021-03-31 10:02:54,0,73.38.195.23,100,755,1,2021-03-31 10:02:55,R_ddsy5LPxpBkzms9,,,,,42.6282959,-71.33110046,anonymous,EN,3,2,5,28,109,129,7,1,,3,3,3,,,,,,,,,,4,4,5,5,4,3,5,4,4,3,2,4,5,4,5,5,5,5,4,4,5,3,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,4,3,3,4,4,4,4,3,4,3,4,4,5,5,5,3,,,,,,,1,,4,,EN,,Science teacher,,
2021-03-31 9:55:17,2021-03-31 10:04:35,0,98.216.136.173,100,558,1,2021-03-31 10:04:35,R_3Re0c2a7YL7Cuac,,,,,42.63510132,-71.30139923,anonymous,EN,3,2,5,19,109,6854,7,1,,,,,,,,,,,,,,,,,,,,,3,5,2,4,,,,,,,,,5,3,2,,,,,,,4,3,2,2,3,1,2,5,1,3,2,2,3,2,2,1,2,2,4,4,5,4,1,5,3,5,4,,,,,,5,5,5,5,5,5,5,5,5,5,2,,"3,4",,EN,,,,English teacher
2021-03-31 9:50:23,2021-03-31 10:07:30,0,73.114.30.138,100,1026,1,2021-03-31 10:07:31,R_1P76JYZj0O29MuD,,,,,42.63510132,-71.30139923,anonymous,EN,3,2,10,13,108,3767,7,1,,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,,,3,3,3,3,3,2,2,4,2,3,3,3,2,5,4,4,2,2,3,4,3,4,4,3,3,3,3,4,3,3,3,4,,,,,4,3,4,3,3,4,2,,2,,EN,,Science teacher,,
2021-03-31 9:55:57,2021-03-31 10:08:04,0,73.142.18.170,100,727,1,2021-03-31 10:08:06,R_1eXfWJqePUDiDsm,,,,,42.6282959,-71.33110046,anonymous,EN,3,2,2,8,109,2162,7,1,,3,2,2,,,,,,,,,,4,3,4,4,2,2,3,1,2,3,4,3,2,4,4,2,1,3,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,4,3,1,5,1,2,4,3,4,4,5,3,3,4,3,4,,,,,,,1,,5,,EN,,,Social Studies teacher,
2021-03-31 9:58:20,2021-03-31 10:08:53,0,73.149.172.34,100,632,1,2021-03-31 10:08:54,R_usp4cU8nqS5Ejwl,,,,,42.6282959,-71.33110046,anonymous,EN,3,2,3,31,115,3031,7,1,,1,1,1,,,,,,,,,,3,3,3,4,3,3,2,1,1,2,2,3,4,5,5,4,5,3,4,2,2,3,,,,,,,4,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,5,3,4,4,4,4,5,4,3,4,4,1,,6,,EN,,,Social Studies teacher,
2021-03-31 9:56:22,2021-03-31 10:11:45,0,71.233.4.113,100,922,1,2021-03-31 10:11:46,R_3PYNv8Ujp8dLjnA,,,,,42.63510132,-71.30139923,anonymous,EN,3,2,3,26,109,8321,7,1,,2,2,2,,,,,,,,,,3,4,3,3,3,2,1,4,3,4,4,2,2,3,4,3,3,3,4,2,3,1,,,,,,,,,,,,,,,,,,,,,,,1,2,3,2,2,1,3,1,2,1,2,3,2,2,2,3,4,4,3,4,,,,,,,1,,4,,EN,Math teacher,,,
2021-03-31 9:51:42,2021-03-31 10:11:57,0,73.123.16.138,100,1214,1,2021-03-31 10:11:57,R_2wz3CT17KnpyvWb,,,,,42.67640686,-71.31710052,anonymous,EN,3,2,2,15,109,433,7,1,,2,2,2,,,,,,,,,,3,4,3,3,1,3,3,2,1,1,2,3,4,3,3,3,4,2,2,1,1,1,,,,,,,2,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,3,1,3,5,3,2,3,1,3,4,,3,4,3,4,2,,2,,EN,,,Social Studies teacher,
2021-03-31 9:55:16,2021-03-31 10:15:43,0,73.47.188.248,100,1227,1,2021-03-31 10:15:44,R_1o5XnGerQ3W0B6F,,,,,42.63510132,-71.30139923,anonymous,EN,3,2,2,20,109,1907,7,1,,4,2,4,,,,,,,,,,1,1,4,2,4,4,4,2,3,3,3,3,3,4,4,5,5,5,5,4,4,4,,,,,,,,,,,,4,3,3,2,5,3,3,4,2,2,1,,,,,,,,,,,,4,4,4,2,4,4,4,4,4,,,,,,,2,,5,,EN,,Science teacher,,
2021-03-31 9:50:14,2021-03-31 10:17:42,0,216.234.138.153,100,1647,1,2021-03-31 10:17:43,R_2dQRjYU2meq7xlL,,,,,42.6282959,-71.33110046,anonymous,EN,3,2,12,14,108,4770,7,1,,,,,,,,,,,,,,,,,,,,,4,2,3,3,,,,,,,,,1,1,1,,,,,,,2,2,2,2,2,2,2,3,1,2,2,2,2,3,2,2,2,3,3,3,3,3,3,2,3,2,3,,,,,,3,3,4,5,3,3,3,3,3,3,1,,7,idk what i am ,EN,,,,English teacher
2021-03-30 10:18:17,2021-03-30 10:18:29,0,73.119.156.17,0,12,0,2021-03-31 10:18:30,R_2uIpkRjsjubnw6d,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EN,,,,
2021-03-31 10:00:20,2021-03-31 10:30:32,0,73.142.18.4,100,1811,1,2021-03-31 10:30:33,R_1r9u5RqXaFQgKdE,,,,,42.6282959,-71.33110046,anonymous,EN,3,2,11,23,108,,7,1,,5,3,4,,,,,,,,,,2,3,2,1,1,1,1,1,4,1,3,1,4,3,5,1,1,4,3,5,1,2,,,,,,,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,3,1,3,5,,2,4,1,4,2,2,4,2,2,3,4,,1,,EN,,,,English teacher
2021-03-31 11:07:40,2021-03-31 11:27:16,0,73.47.172.80,100,1175,1,2021-03-31 11:27:17,R_2ZCQnwQQXzGm0FT,,,,,42.63510132,-71.30139923,anonymous,EN,3,2,8,24,111,4226,5,1,,4,4,2,4,1,1,1,5,2,1,2,1,1,1,5,1,1,2,3,3,2,2,4,5,3,3,4,1,1,3,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,3,1,1,2,2,5,1,3,,,,,,,,,,,,,,,,2,,6,,EN,,,,
2021-03-31 11:05:21,2021-03-31 11:32:04,0,73.100.191.239,100,1602,1,2021-03-31 11:32:04,R_2pWhKRNOqOiywUl,,,,,42.63510132,-71.30139923,anonymous,EN,3,2,5,8,111,6971,5,1,,1,3,2,4,1,3,4,3,,,,,,,,,,,,,,,,,,,,4,4,3,4,,,,5,4,4,3,4,4,4,4,4,4,1,2,1,5,1,4,4,4,3,2,2,2,3,1,4,4,3,3,3,4,3,4,4,,,,,,,,,,,,,,,,2,,6,,EN,,,,
2021-03-31 11:17:03,2021-03-31 11:33:55,0,216.234.138.153,100,1011,1,2021-03-31 11:33:56,R_2blWr8FYgkGL1br,,,,,42.6282959,-71.33110046,anonymous,EN,3,2,8,25,111,289745,5,3,,1,4,1,3,3,4,5,4,5,3,4,2,4,5,3,4,5,5,5,5,5,3,5,2,3,3,4,4,2,4,3,4,1,3,,,,,,,,,,,,,,,,,,,,,,,5,1,4,5,3,3,5,5,4,,4,,,,,,,,,,,,,,,,1,,7,american amazoinian germen and south american,EN,,,,
