StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,
4/6/2022 17:34:00,4/10/2022 15:47:00,0,100,339174,1,2022-04-10T15:47:0,R_1l3MFX0OwrCmhuG,42.15100098,-71.646698,anonymous,EN,1,160505,5,5,5,2,5,5,4,4,5,5,5,4,5,5,1,1,1,1,3,4,1,4,5,5,4,5,5,5,3,1,4,3,1,4,1,1,1,1,1,,5,2,4,4,2,5,1,4,4,5,5,4,5,1,1,1,5,5,1,3,1,1,1,4,3,4,3,5,3,3,
4/13/2022 16:07:00,4/13/2022 16:16:00,0,36,514,0,2022-04-20T16:17:0,R_XHfz112mwJG0MnL,,,anonymous,EN,1,160050,5,5,5,,,,,,,,,,,,,,1,1,1,,,,,,,4,5,4,,,,,1,2,,,,,,,,,,,,,,,,,,,5,3,2,1,,,,,,,,3,4,2,,,,,
4/6/2022 14:10:00,4/6/2022 14:43:00,0,100,1987,1,2022-04-06T14:43:0,R_3jTItYjjuh6lU5i,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,5,2,5,1,1,5,5,5,5,1,1,2,1,3,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,3,2,4,1,1,1,,1,4,1,5,3,4,,5,,4,5,5,5,5,2,2,1,2,3,1,2,,,,1,2,1,2,3,2,2,
4/27/2022 9:59:00,4/27/2022 10:54:00,0,100,3309,1,2022-04-27T10:54:0,R_3PbOhE1LKlN6NNU,42.3611,-71.0518,anonymous,EN,1,160050,,,,5,5,5,5,,,,,,1,1,1,1,4,5,5,1,1,1,1,2,1,4,5,4,2,2,2,2,4,4,4,,3,3,3,4,,,,,,,,,,,,,,,,,3,2,4,3,,,,2,2,4,,,,,
4/13/2022 16:06:00,4/13/2022 16:15:00,0,100,521,1,2022-04-13T16:15:0,R_2WN26orS960GjzJ,41.9261,-71.3011,anonymous,EN,1,160050,5,5,5,5,5,5,5,2,5,5,5,5,1,1,1,2,3,5,1,3,2,3,3,3,3,5,5,4,4,4,3,3,4,4,4,2,2,2,1,5,5,2,2,3,4,,1,,5,4,4,4,5,4,3,3,1,3,2,4,,,,1,1,1,2,2,1,2,
4/13/2022 16:05:00,4/13/2022 16:13:00,0,100,444,1,2022-04-13T16:13:0,R_yXeHaBI0UvKhM9r,41.9261,-71.3011,anonymous,EN,1,160050,5,5,5,2,2,3,2,2,5,5,5,5,1,3,1,1,2,2,2,2,2,2,1,2,1,3,4,3,5,5,4,3,4,4,1,2,5,5,2,4,5,3,5,5,3,,3,,5,4,4,4,5,3,3,2,1,4,2,2,,,,4,3,1,2,3,5,5,
4/13/2022 15:45:00,4/13/2022 15:52:00,0,100,425,1,2022-04-13T15:52:0,R_xEPwwZQU36LexqN,41.9261,-71.3011,anonymous,EN,1,160035,5,5,5,3,4,5,5,,,,,,4,2,1,2,,,,3,3,2,,,,4,5,1,3,4,3,2,,,,1,1,1,2,4,4,1,4,2,,,,,,,,,5,4,4,5,5,5,4,5,,,,,,,3,2,3,3,
4/6/2022 11:24:00,4/6/2022 11:38:00,0,100,826,1,2022-04-06T11:38:0,R_zUS3sAD8upOu4MN,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,2,2,5,2,,,,,,1,1,1,1,,,,1,1,1,,,,1,1,1,3,3,4,3,,,,2,2,3,1,3,4,1,4,4,,,,,,,,,5,3,3,3,3,3,2,3,,,,,,,4,5,3,4,
4/6/2022 7:25:00,4/6/2022 7:34:00,0,100,582,1,2022-04-06T7:34:0,R_3P4uZdnRXAosivK,41.9261,-71.3011,anonymous,EN,1,160505,4,5,5,5,5,5,3,1,5,4,4,5,1,2,1,1,2,1,4,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,1,1,2,4,1,3,3,4,4,4,4,3,3,3,4,5,2,2,2,3,2,2,2,2,2,2,3,3,2,4,5,3,5,
4/6/2022 14:51:00,4/6/2022 15:05:00,0,100,829,1,2022-04-06T15:5:0,R_2CWKyhSr1IKJebt,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,3,2,4,2,5,5,5,5,5,5,4,5,5,1,4,2,3,2,3,3,3,1,5,5,1,3,4,3,3,3,2,2,1,2,3,3,4,3,4,4,2,5,,5,,2,2,2,2,3,3,3,2,2,3,3,4,,,,1,2,1,1,1,2,2,
4/6/2022 15:24:00,4/6/2022 15:35:00,0,100,694,1,2022-04-06T15:35:0,R_22VyNs8qy5YbpOg,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,2,2,4,1,5,5,5,5,5,1,1,2,1,4,3,2,1,1,2,1,1,1,2,2,3,4,3,3,3,3,3,3,2,1,1,3,1,5,1,4,3,4,4,4,4,2,2,2,2,3,4,4,3,4,4,3,3,3,3,3,5,3,3,3,5,5,4,
4/6/2022 7:44:00,4/6/2022 8:06:00,0,100,1302,1,2022-04-06T8:6:0,R_2t4ocyMimbCLkaV,41.9261,-71.3011,anonymous,EN,1,160505,3,4,3,2,2,4,1,1,5,5,5,2,1,2,2,1,2,2,2,1,1,1,2,2,1,5,5,5,2,1,4,3,1,1,2,1,2,2,4,4,2,5,5,4,1,3,1,2,4,3,2,2,1,2,2,1,4,3,,3,3,1,1,4,2,2,2,4,3,4,
4/6/2022 7:30:00,4/6/2022 7:43:00,0,100,794,1,2022-04-06T7:43:0,R_1I6DGP7jDdAeKn1,41.9261,-71.3011,anonymous,EN,1,160505,5,4,5,2,2,4,2,2,5,5,5,5,2,2,4,3,3,2,2,2,2,3,1,1,1,2,2,1,2,2,2,2,2,1,4,1,1,1,4,1,2,1,1,1,3,5,3,3,5,4,4,5,4,2,2,2,1,1,1,2,2,3,3,3,3,3,4,4,4,4,
3/30/2022 15:09:00,3/30/2022 15:17:00,0,100,447,1,2022-03-30T15:17:0,R_1lahwcbSOXZV47Q,41.92610168,-71.30110168,anonymous,EN,1,160315,5,5,5,3,2,5,4,2,5,5,5,5,2,3,2,2,4,3,4,2,2,2,2,2,2,3,3,1,2,2,2,1,4,3,5,4,2,4,4,4,5,1,4,4,4,4,4,4,2,1,2,1,5,2,2,1,2,2,1,3,1,1,1,4,4,4,3,3,3,3,
4/13/2022 16:18:00,4/13/2022 16:32:00,0,100,820,1,2022-04-13T16:32:0,R_9AnvP0C3osB2DM5,41.9261,-71.3011,anonymous,EN,1,160050,3,5,4,5,5,2,1,1,5,4,3,3,2,2,3,2,4,2,2,1,1,1,1,1,1,4,5,3,2,2,2,2,2,3,2,1,2,1,2,2,4,5,1,1,4,,5,,2,3,4,4,5,3,3,1,2,1,2,1,,,,3,3,4,2,3,4,3,
4/6/2022 9:45:00,4/6/2022 10:13:00,0,100,1675,1,2022-04-06T10:13:0,R_1pPOmLSkBBsFIbo,41.6669,-72.7726,anonymous,EN,1,160505,5,5,5,3,2,4,3,1,3,4,4,3,2,2,1,1,3,2,2,2,1,2,1,2,1,2,2,2,3,1,3,1,3,4,2,2,1,1,1,1,4,1,1,4,,,,,3,3,2,5,5,5,3,1,3,1,1,2,,,,2,1,1,1,1,4,4,
4/13/2022 16:06:00,4/13/2022 16:19:00,0,100,779,1,2022-04-13T16:19:0,R_YPSY89cJrFwmNhL,41.9261,-71.3011,anonymous,EN,1,160050,5,4,5,1,2,4,1,1,4,4,5,4,2,1,1,1,2,2,1,1,1,1,1,1,1,3,5,2,4,4,3,3,1,1,1,1,2,1,2,3,3,2,1,1,2,,4,,3,2,2,3,5,2,2,1,1,1,1,1,,,,1,2,1,3,3,3,3,
4/6/2022 14:27:00,4/6/2022 15:06:00,0,100,2346,1,2022-04-06T15:6:0,R_2wi4uLeAWGt0EH9,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,2,2,4,4,2,5,5,5,5,2,2,3,2,3,3,4,1,1,1,1,2,1,3,3,4,4,3,4,3,3,3,3,2,1,1,2,3,2,1,2,4,4,4,4,4,3,2,1,1,4,4,3,4,1,3,2,3,3,5,4,3,5,5,3,5,3,5,
4/6/2022 7:23:00,4/6/2022 7:37:00,0,100,858,1,2022-04-06T7:37:0,R_10OVrKCV8ksACw5,41.9261,-71.3011,anonymous,EN,1,160505,3,3,3,4,4,5,3,2,3,2,3,3,1,1,1,1,2,2,4,3,1,1,3,3,1,1,2,1,2,4,2,2,2,2,4,1,1,1,1,1,4,1,3,2,2,2,5,2,3,3,3,5,5,5,3,5,1,1,1,3,2,2,2,3,3,3,1,5,1,5,
4/6/2022 14:40:00,4/6/2022 14:52:00,0,100,710,1,2022-04-06T14:52:0,R_DCV7ufmmxi1rOXT,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,2,2,2,3,1,4,4,4,4,1,2,1,1,1,2,1,3,2,3,2,2,1,5,5,3,3,3,3,3,3,3,3,2,1,2,1,1,2,1,4,4,4,,4,,3,4,3,4,5,1,2,1,4,3,3,3,,,,5,2,1,1,3,3,4,
4/13/2022 16:05:00,4/13/2022 16:17:00,0,100,685,1,2022-04-13T16:17:0,R_d0TQ2M0q1XflU1X,41.9261,-71.3011,anonymous,EN,1,160050,3,4,4,2,2,4,2,1,4,4,2,4,1,3,3,1,1,1,1,1,1,1,1,1,1,3,4,4,4,4,3,2,1,1,1,1,2,1,2,3,4,1,3,1,3,,2,,4,3,5,3,5,3,1,1,2,1,1,1,,,,4,3,4,3,3,4,4,
4/13/2022 16:22:00,4/13/2022 16:33:00,0,100,676,1,2022-04-13T16:33:0,R_279d65QqxtB54Ev,41.9261,-71.3011,anonymous,EN,1,160045,5,5,4,2,2,1,1,1,5,4,4,4,2,2,3,3,1,1,2,5,5,5,2,2,1,4,5,4,3,3,3,3,1,3,1,3,2,1,3,2,3,4,2,4,5,5,5,4,4,4,4,3,5,3,2,1,4,3,1,2,3,3,3,2,4,4,3,3,3,3,
3/30/2022 15:09:00,3/30/2022 21:26:00,0,100,22597,1,2022-03-30T21:26:0,R_A0Sotd7rO9Qv6db,42.05900574,-71.11229706,anonymous,EN,1,160315,5,5,5,5,5,5,5,2,4,5,5,5,4,4,2,2,5,2,4,5,5,5,5,5,5,2,2,1,2,2,2,2,4,3,4,3,3,5,3,3,4,1,4,3,4,5,5,5,2,2,3,4,5,2,2,2,4,4,3,2,1,2,2,3,3,3,3,3,3,3,
4/12/2022 18:56:00,4/13/2022 13:30:00,0,100,66804,1,2022-04-13T13:30:0,R_2ykBjcfZRdaAlad,41.9261,-71.3011,anonymous,EN,1,160515,4,4,5,5,5,4,4,,,,,,4,3,4,5,,,,5,5,5,,,,5,5,5,3,3,4,4,,,,3,3,2,5,3,5,2,5,5,,,,,,,,,2,1,1,1,3,3,4,3,,,,,,,2,2,2,3,
4/27/2022 13:08:00,4/27/2022 13:18:00,0,100,631,1,2022-04-27T13:18:0,R_1OZbtKaG1h487jj,41.9261,-71.3011,anonymous,EN,1,160050,5,5,4,3,3,5,3,1,5,5,5,5,2,1,2,2,2,2,5,1,1,1,1,1,1,3,3,3,4,4,4,3,4,3,4,4,3,4,5,4,4,2,4,3,5,5,5,5,4,4,4,5,5,3,3,1,4,3,4,4,3,3,3,2,4,4,3,4,4,4,
4/13/2022 16:06:00,4/13/2022 16:19:00,0,100,795,1,2022-04-13T16:19:0,R_sjRmTtTwNVbe8gx,41.9261,-71.3011,anonymous,EN,1,160050,3,3,5,1,2,4,3,2,3,3,3,3,3,3,3,,1,2,1,2,1,3,1,1,1,5,5,4,4,5,5,4,3,2,4,2,2,2,3,3,5,4,5,5,3,,3,,4,4,4,5,5,3,3,1,2,3,1,3,,,,3,4,4,4,4,5,5,
4/6/2022 8:40:00,4/6/2022 8:49:00,0,100,556,1,2022-04-06T8:49:0,R_2P4OXEWdedbNqbF,42.3498,-71.0765,anonymous,EN,1,160505,5,5,5,3,3,5,3,,,,,,2,2,1,1,,,,3,3,3,,,,3,3,3,3,3,3,3,,,,2,1,1,1,1,3,1,2,1,,,,,,,,,5,1,3,1,2,2,2,2,,,,,,,1,1,1,1,
3/30/2022 14:33:00,3/30/2022 14:40:00,0,100,428,1,2022-03-30T14:40:0,R_22CUuZuNjDC2SNb,41.88600159,-71.34570313,anonymous,EN,1,160305,5,5,5,3,4,5,1,,,,,,1,3,1,2,,,,3,4,4,,,,4,4,3,3,3,2,3,,,,1,1,2,2,4,4,1,2,1,,,,,,,,,5,3,3,1,2,3,2,3,,,,,,,2,2,2,2,
4/27/2022 13:22:00,4/27/2022 13:30:00,0,100,509,1,2022-04-27T13:30:0,R_2sYYgWojAyzoii8,41.9261,-71.3011,anonymous,EN,1,160040,5,5,5,5,5,5,5,1,5,5,5,4,3,3,4,3,4,3,5,1,1,1,3,3,1,4,5,3,5,5,4,4,5,5,3,3,3,4,3,3,5,1,1,1,5,4,5,4,4,3,4,4,3,4,4,1,5,5,3,4,3,3,3,3,4,4,3,3,3,4,
4/6/2022 10:17:00,4/6/2022 10:29:00,0,100,763,1,2022-04-06T10:29:0,R_1E6de87QFdsmbwM,41.8307,-71.3982,anonymous,EN,1,160515,5,5,5,5,5,4,5,,,,,,4,4,5,5,,,,5,4,5,,,,3,4,4,3,3,4,4,,,,4,3,3,4,2,4,3,4,4,,,,,,,,,2,1,1,1,3,5,1,3,,,,,,,2,2,2,3,
4/6/2022 14:44:00,4/6/2022 15:01:00,0,100,1047,1,2022-04-06T15:1:0,R_28ZCnc6N3enEnTv,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,2,2,3,4,2,5,4,5,4,1,1,1,1,3,1,1,1,1,1,1,1,1,3,,3,2,3,3,3,1,2,1,4,3,3,3,3,2,1,3,3,1,4,1,2,3,3,3,3,4,2,,,3,3,,,1,1,1,2,2,2,,,,,
4/13/2022 15:45:00,4/13/2022 16:17:00,0,100,1890,1,2022-04-13T16:17:0,R_ApWRo2ECUsCy8U1,41.9261,-71.3011,anonymous,EN,1,160035,5,5,4,4,4,4,3,2,5,5,5,5,3,5,3,3,3,2,3,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,4,2,1,2,2,4,4,4,4,5,4,5,5,2,4,2,1,5,3,2,5,1,1,1,4,4,4,2,3,3,3,
4/27/2022 8:50:00,4/27/2022 9:19:00,0,100,1746,1,2022-04-27T9:19:0,R_27vqdieTNASRyQr,41.9261,-71.3011,anonymous,EN,1,160050,4,4,4,5,5,5,2,1,4,3,4,3,3,2,2,3,3,2,4,1,1,1,1,1,2,3,4,2,2,4,4,1,1,2,1,3,4,4,2,4,3,1,2,2,,,,,5,2,2,5,1,3,3,4,4,4,3,2,,,,1,2,1,2,2,3,3,
4/6/2022 20:20:00,4/6/2022 20:37:00,0,100,1021,1,2022-04-06T20:37:0,R_2Bmp9ZmpUg26C4H,42.0713,-71.478,anonymous,EN,1,160515,3,3,4,5,5,5,5,,,,,,3,4,4,4,,,,5,5,5,,,,4,4,4,3,3,4,4,,,,3,3,2,2,2,3,1,3,3,,,,,,,,,1,,,,2,2,,2,,,,,,,1,3,1,2,"Why do these final questions have doubles of some numbers? (5 5, 5 5, and 3 3 7 7). Also, some of the questions were truly not applicable to how our small, alternative school runs, so having an N/A button or similar might be helpful in some cases."
4/26/2022 21:43:00,4/26/2022 21:58:00,0,100,897,1,2022-04-26T21:58:0,R_2dgdYRWrGcLZpgJ,41.9261,-71.3011,anonymous,EN,1,160050,5,5,4,5,5,5,4,2,4,3,4,5,1,1,2,1,4,4,4,1,1,1,1,2,1,2,2,3,4,4,4,4,4,4,4,2,2,3,3,4,5,1,3,3,1,3,4,4,3,4,4,4,4,3,3,1,4,4,5,4,3,3,3,2,3,3,2,3,3,3,
4/6/2022 14:37:00,4/6/2022 14:57:00,0,100,1214,1,2022-04-06T14:57:0,R_1j8L88lrHAR2F9U,41.7505,-71.2089,anonymous,EN,1,160505,4,4,4,4,4,2,4,1,4,3,4,4,2,1,4,1,2,1,2,5,5,5,5,5,5,5,5,5,2,2,4,4,3,3,3,3,4,3,3,2,4,2,2,2,3,2,3,4,2,2,4,3,3,1,1,1,4,3,2,2,3,3,3,4,2,2,4,5,4,5,
4/6/2022 7:25:00,4/6/2022 7:39:00,0,100,838,1,2022-04-06T7:39:0,R_31zxoJbZxQYii83,41.9261,-71.3011,anonymous,EN,1,160505,3,3,4,3,3,4,2,2,3,4,2,3,4,2,4,3,2,1,2,4,2,4,1,1,1,3,4,2,2,4,3,1,2,2,3,2,2,3,2,2,1,1,2,1,3,,2,,5,5,5,5,5,1,1,1,2,2,1,1,,,,3,2,3,4,5,3,4,
4/6/2022 14:48:00,4/6/2022 15:00:00,0,100,686,1,2022-04-06T15:0:0,R_3kFxVd9rTXdR4pu,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,3,3,5,3,,,,,,2,1,1,1,,,,4,3,4,,,,3,3,2,4,3,4,3,,,,4,4,4,4,3,3,1,4,1,,,,,,,,,5,3,2,1,3,3,2,2,,,,,,,4,5,3,4,This survey has very little to do with my role as a support staff.  Stop asking me about questions my teaching
3/30/2022 15:09:00,3/30/2022 15:19:00,0,100,603,1,2022-03-30T15:19:0,R_3lYYA9roJ7Lj3oU,41.92610168,-71.30110168,anonymous,EN,1,160315,5,4,5,2,2,5,3,,,,,,1,2,2,1,,,,5,5,4,,,,3,2,1,3,3,3,2,,,,2,3,3,1,1,2,1,2,2,,,,,,,,,5,3,3,2,3,4,3,4,,,,,,,2,3,2,3,
4/6/2022 14:39:00,4/6/2022 14:49:00,0,100,600,1,2022-04-06T14:49:0,R_DPkLQRFVGswZhzH,42.3498,-71.0765,anonymous,EN,1,160505,5,5,5,4,4,4,3,1,5,5,5,5,4,5,5,5,2,2,4,1,1,1,1,1,1,3,3,3,4,4,4,4,4,3,3,4,2,1,2,3,3,2,2,2,3,4,4,4,3,3,4,4,3,3,4,2,3,3,3,3,3,4,3,4,4,4,5,5,4,5,
4/6/2022 13:39:00,4/6/2022 14:01:00,0,100,1338,1,2022-04-06T14:1:0,R_3qQnw5ZZq2ZqOlt,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,4,2,4,4,2,4,4,5,4,1,2,1,2,1,5,4,3,5,5,2,2,3,4,3,4,4,4,4,4,4,4,4,3,3,5,5,1,3,5,5,4,3,,4,,3,3,4,4,5,1,1,1,4,4,2,4,,,,3,3,2,3,3,3,4,
4/27/2022 10:40:00,4/27/2022 10:54:00,0,100,786,1,2022-04-27T10:54:0,R_20UN3mPt2fzCBFu,41.9261,-71.3011,anonymous,EN,1,160050,2,2,4,2,2,4,2,2,3,3,3,3,2,4,2,2,1,2,2,1,1,2,1,1,1,3,3,4,5,5,5,5,3,3,3,2,4,3,2,3,4,1,2,2,,,,,4,4,4,5,5,2,1,2,2,2,2,3,,,,4,2,2,3,5,3,5,I think it was hard to answer questiuons about of the teachers collaborate when im in a complete sub seperate classroom and have no idea how the other teachers interact. Maybe if you made a survey for genereal education and then sub seperate
4/6/2022 14:53:00,4/6/2022 15:07:00,0,100,868,1,2022-04-06T15:7:0,R_cZyfP4quoKUiSTD,41.9261,-71.3011,anonymous,EN,1,160505,5,5,5,2,2,3,3,1,5,4,5,4,4,2,3,2,3,3,4,3,1,4,1,1,1,3,3,4,3,3,4,4,4,2,3,3,2,5,3,3,3,2,4,4,5,4,4,1,2,2,1,3,3,3,3,2,3,2,2,3,5,4,4,3,5,5,4,5,5,5,
4/6/2022 14:47:00,4/6/2022 14:58:00,0,100,671,1,2022-04-06T14:58:0,R_1dgagL8VaEuhBXm,41.9261,-71.3011,anonymous,EN,1,160505,5,4,5,3,2,4,1,,,,,,1,2,2,1,,,,1,1,2,,,,1,1,2,4,3,4,3,,,,2,3,3,2,2,2,1,3,3,,,,,,,,,5,3,2,1,3,3,2,3,,,,,,,4,4,4,4,Too broad a category. Some teach. Some do not. many different roles.
4/13/2022 16:05:00,4/13/2022 16:24:00,0,100,1093,1,2022-04-13T16:24:0,R_0CWhbHOaDTYd40V,41.9261,-71.3011,anonymous,EN,1,160050,5,4,5,4,3,5,3,3,4,4,5,4,1,3,2,4,3,5,5,1,1,1,1,2,1,5,5,3,4,4,3,3,3,3,4,2,2,2,3,4,4,4,3,4,1,,4,,4,4,4,4,5,3,3,1,3,4,3,4,,,,4,3,2,5,5,3,3,
