StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,What district is your school in?,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3
5/24/2022 7:46,5/25/2022 9:43,0,208.118.224.220,31,93410,0,2022-06-01T9:43:0,R_3lDhwnmlNwnVzz7,,,,,,,anonymous,EN,3,1600310,,,,,,,,,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,
5/13/2022 14:44,5/24/2022 20:02,0,108.20.187.123,100,969496,1,2022-05-24T20:2:0,R_Z4TkENwEZpqpWeZ,,,,,42.5945,-71.3571,anonymous,EN,3,1600002,4,4,4,4,3,4,4,4,5,4,5,4,4,4,4,4,4,4,4,,,,4,4,4,4,4,3,,,4,4,,,,4,4,3,,4,4,3,4,4,3,4,3,3,,,,,,,,,4,4,,,3,,,3,4,4,,,,
3/8/2022 8:31,3/8/2022 8:46,0,50.226.12.122,100,891,1,2022-03-08T8:46:0,R_10p8Yq7vKv2YSlY,,,,,42.09710693,-71.54650116,anonymous,EN,7,1850075,,,,5,4,5,5,5,5,,5,,5,5,,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,,,,,,,,,,,,,5,4,4,5,5,5,4,5,,,,3,4,4,,,,
4/12/2022 15:59,4/12/2022 16:06,0,50.207.254.135,100,436,1,2022-04-12T16:6:0,R_3HRcNIuQC6tzwZi,,,,,42.14759827,-71.5318985,anonymous,EN,7,1850010,4,4,4,5,5,5,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,,4,,4,4,4,4,4,4,3,2,4,4,3,4,,,,4,4,4,3,3,4,4
5/3/2022 14:36,5/3/2022 14:51,0,50.207.254.133,100,883,1,2022-05-03T14:51:0,R_AtUjVPD0xst1qLL,,,,,42.1476,-71.5319,anonymous,EN,7,1850505,5,4,4,5,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,5,5,3,4
5/11/2022 15:32,5/12/2022 9:39,0,208.118.224.222,100,65237,1,2022-05-12T9:40:0,R_3HtpJ313YxBID51,,,,,42.6351,-71.3014,anonymous,EN,3,1600018,4,5,5,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,2,4,5,3,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3
4/7/2022 15:28,4/7/2022 16:48,0,50.207.254.117,100,4795,1,2022-04-07T16:48:0,R_vNsd43JWUb1kBsl,,,,,42.1476,-71.5319,anonymous,EN,7,1850090,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,,5,,5,3,4,5,,,,,5,5,5,5,,,,5,5,4,5,5,3,3
4/12/2022 15:15,4/12/2022 15:24,0,50.228.77.92,100,519,1,2022-04-12T15:24:0,R_77cyYoRI6s1xMA1,,,,,42.28529358,-87.95320129,anonymous,EN,7,1850065,4,5,4,4,4,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,4,3,4,5,3,4,4,,,,,5,5,5,5,4,5,5,5,5,5,5,5,,,,5,5,5,4,5,5,5
5/3/2022 14:31,5/3/2022 14:38,0,50.207.254.133,100,470,1,2022-05-03T14:38:0,R_WDM1BcBi7OyioRX,,,,,42.1476,-71.5319,anonymous,EN,7,1850505,3,3,3,4,4,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,3,4,4,4,3,3,3,3,4,4,4,4,4,4,,4,,3,3,3,3,5,3,3,2,4,4,4,4,,,,4,4,4,4,4,3,3
5/24/2022 11:41,5/24/2022 11:52,0,208.118.224.213,100,682,1,2022-05-24T11:52:0,R_2ah3QzwMoJZJcgG,,,,,42.6351,-71.3014,anonymous,EN,3,1600040,5,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,5,5,5,5,,5,5,5,5,5,5,5,4,5,5,5,4,3,5,5,4,5,5,4,5,5,5,5,5,5,5,4,5,5,4,5,3,3
