StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,District,DESE ID,"Please select the month, day and year of your birthday. - Month","Please select the month, day and year of your birthday. - Day","Please select the month, day and year of your birthday. - Year",LASID,grade,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,gender,What is your gender? - Another gender or gender identity not listed above - Text,race,What is your race/ethnicity?(Please select all that apply) - Prefer to self-describe - Text,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher
5/5/22 13:05,5/5/22 13:28,0,45.56.196.93,100,1375,1,2022-05-05T13:28:15,R_2YfdRSbDj48Emt7,EN,4,2480505,7,4,106,32913,11,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,EN,,Science teacher,,
5/5/22 12:27,5/5/22 13:02,0,209.80.140.32,57,2093,0,2022-05-06T13:3:24,R_3PB0ri9Hlt6rJaW,EN,4,2480505,3,31,107,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,EN,Math teacher,,,
5/5/22 13:08,5/5/22 13:15,0,174.196.199.65,57,431,0,2022-05-06T13:15:54,R_2AEjNAszw0zRXn8,EN,4,2480505,8,20,107,33761,10,1,1,1,,,,,,,,,,,,,,,,,5,5,5,5,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,EN,Math teacher,,,
5/3/22 9:34,5/3/22 10:01,0,50.205.154.88,100,1628,1,2022-05-03T10:1:10,R_3QQLH9tkfUDzhUu,EN,4,2480013,7,27,114,43279,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,5,,1,,,,,,,5,,,1,,,5,,5,,5,,,,,,,5,,2,,1,,EN,,,,
4/25/22 12:39,4/25/22 12:56,0,209.80.140.36,57,1035,0,2022-04-26T12:59:7,R_3KI27gcBbUNyiR7,EN,4,2480305,12,10,110,38796,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,1,5,,,,,,,,1,5,,,,,,,,,,,,,,EN,,Science teacher,,
5/3/22 7:54,5/3/22 8:16,0,209.80.140.38,100,1306,1,2022-05-03T8:16:14,R_XAlDunnon6m961j,EN,4,2480014,4,3,101,42683,12,1,1,1,1,1,1,1,5,5,5,5,5,1,5,5,1,5,5,1,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,3,lkjlkkjhjhfhfuyuyguyfjygufyyufuyguyggyuygkygjyhhkffhjgkcghcghcgjgchcgjgghcygugyuyufguyyufyuuyto7touito7oti,7,,EN,Math teacher,,,
5/5/22 13:08,5/6/22 7:52,0,209.80.140.32,57,67453,0,2022-05-07T7:52:37,R_3RlVOuRfncexWuR,EN,4,2480505,7,10,107,34967,9,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,EN,,Science teacher,,
4/27/22 9:34,4/27/22 9:40,0,50.205.154.89,100,364,1,2022-04-27T9:40:7,R_2sRMVtGk6Mum8JH,EN,4,2480025,4,23,114,40653,3,5,,,1,,,,,1,,,,,,,1,,5,,,,,1,,,,1,,1,,,1,,,,,,,,,,,,,,,,,5,,,1,,,5,,,,,,,,,,,,,1,,4,,EN,,,,
2/18/22 13:26,2/18/22 13:44,0,192.64.64.114,100,1130,1,2022-02-18T13:44:54,R_1DZ2qAaaO0tIhar,EN,5,2740015,7,18,113,111011914,4,1,5,4,5,1,5,5,5,5,5,4,5,1,1,2,1,1,1,1,1,1,1,1,1,3,5,5,5,5,1,5,1,1,1,5,4,5,3,1,5,4,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,2,,7, Albanian,EN,,,,
5/5/22 13:04,5/5/22 13:31,0,209.80.140.32,58,1620,0,2022-05-06T13:31:44,R_29a0BY8Xg1GBQj2,EN,4,2480505,6,29,108,35395,9,3,1,1,4,5,5,5,5,5,5,4,5,1,1,1,1,,,,1,1,1,1,2,1,1,1,3,1,1,1,,,,5,5,5,5,5,5,,,,,,,,,,2,1,1,1,,,,1,1,,,,,1,1,5,5,1,,,,,EN,,Science teacher,,
