StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,What district is your school in?,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,"If there is anything you would like us to know about your school that we did not ask about, please tell us.",How easy to understand were the questions?,How interesting were the questions?,Please give us any additional feedback about the survey.,
6/8/22 12:31,6/8/22 13:00,0,209.80.140.32,100,1748,1,2022-06-08T13:0:11,R_8df8TP5kj9vFWX7,EN,4,2480505,5,4,5,2,2,5,1,1,5,5,5,4,4,4,5,5,5,1,4,5,4,4,2,1,1,2,2,1,1,1,1,1,1,3,1,1,3,4,1,1,1,1,1,1,4,,4,,4,1,3,5,5,1,1,1,2,2,1,1,,,,2,2,1,1,5,3,4,the paras that are required to be in special ed classes are always pulled to cover other classes.  Also there is no space for IEP meeting to be held and the students speech that is required on the iep does not have appropriate space.  ,6,6,9,
6/8/22 13:04,6/8/22 13:10,0,209.80.140.32,100,341,1,2022-06-08T13:10:3,R_25NurVlGxYzDBBL,EN,4,2480505,5,5,5,2,2,3,1,1,5,5,5,5,1,1,2,1,2,5,1,3,2,3,2,2,1,1,1,2,2,4,3,3,1,1,3,1,1,3,1,1,3,1,2,2,4,,4,,5,5,5,5,5,1,1,1,1,1,1,1,,,,4,4,5,1,4,1,4,na,9,4,6,
6/8/22 13:47,6/8/22 13:52,0,174.192.10.5,100,330,1,2022-06-08T13:52:59,R_21gCGiN2BkOUiuE,EN,4,2480056,5,5,5,2,2,5,1,1,5,5,5,5,1,3,1,1,4,3,3,5,5,4,5,5,5,3,3,2,1,2,1,1,3,1,1,4,3,3,1,2,2,2,3,3,4,4,4,4,5,4,4,5,5,1,1,3,5,4,4,4,1,3,1,2,2,2,1,1,1,1,,9,9,,
6/8/22 13:15,6/8/22 13:31,0,50.205.154.83,100,925,1,2022-06-08T13:31:16,R_1eUGkFDPOLfcqry,EN,4,2480057,5,5,5,3,3,5,5,3,5,4,4,5,1,1,1,1,3,1,2,1,5,3,1,1,1,1,1,3,5,5,4,3,1,1,1,1,1,2,1,1,1,1,2,1,4,3,4,4,3,2,5,5,3,1,1,1,1,1,1,1,2,2,3,2,2,3,1,1,1,1,"'-Poor leadership from superintendent and unsupportive school committee has resulted in an extremely challenging/chaotic year for administration and teachers
-Not enough SEL support for students has resulted in a spike of peer-to-peer conflict, physical altercations, and suspensions. Need more SEL",5,4,"The question that asked if teachers ""implement teaching strategies"" doesn't make sense. 
Not allowed to enter ""1"" or ""2"" for the question ""How interesting were the questions"". Not accurate. ",
4/25/22 10:46,4/25/22 11:00,0,50.221.21.222,100,836,1,2022-04-25T11:0:1,R_3eyJabbNiSzUKic,EN,8,3100505,5,5,5,,,,2,2,5,5,5,5,2,1,1,2,4,,2,5,5,5,1,,,,,2,,,3,2,1,,,3,3,2,5,5,2,3,5,4,1,5,1,1,2,2,5,,4,,,,,,,,1,1,1,4,3,3,3,4,3,4,,9,7,,
6/8/22 12:29,6/8/22 12:48,0,209.80.140.32,100,1155,1,2022-06-08T12:48:25,R_3Ems9WqX83T8aD3,EN,4,2480505,5,5,5,4,4,5,5,1,5,5,5,5,1,1,1,1,1,1,5,1,1,1,1,1,1,2,2,1,4,2,3,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,2,3,3,2,3,3,3,"We have an inflexible, vindictive superintendent who thinks she knows what goes on in our buildings despite never being seen. Our second problem is the school committee that doesn't represent the students and clings to racist behavior.",7,3,How about focus on the super and the school committee?,
6/8/22 12:31,6/8/22 12:45,0,172.58.222.166,100,866,1,2022-06-08T12:45:37,R_WcXMSy8xNDgelQB,EN,4,2480505,5,5,5,2,2,5,1,5,5,5,3,4,2,3,4,4,3,1,3,5,5,5,4,3,3,5,5,5,4,4,4,4,2,1,1,1,1,4,1,3,4,2,5,5,5,5,4,1,2,3,5,3,4,1,2,1,2,1,2,2,3,3,4,1,1,1,1,5,2,5,"There are pockets of teachers trying to make change and do good work, but everything is held back by groups who resist any change from traditional teaching and learning even when they see it isn't working. Those same groups blame the students for this.",2,5,"Answers vary greatly depending on interpretation and the questions do not tell the whole story. For example, students COULD spend more than 5 hours in art classes, but students aren't able to take a single elective until junior year and have few options because of the schedule.",
6/8/22 13:00,6/8/22 13:23,0,50.205.154.83,100,1382,1,2022-06-08T13:23:20,R_3oXZ9KXDpXgZ8ru,EN,4,2480056,5,5,5,5,5,5,3,1,4,5,5,5,2,1,1,1,4,3,3,4,4,4,4,4,2,3,3,3,3,3,3,3,1,1,3,1,1,1,1,1,4,1,1,1,3,,2,,3,3,3,4,5,1,1,1,3,1,1,1,,,,5,4,1,3,5,2,5,"Ours school desperately needs full time, well trained paraprofessionals to serve the sub separate special needs classrooms. The lack of this support is frankly negligent on the part of Revere public schools. Students and teachers are unsafe in the current situation.",8,7,4,
6/8/22 12:29,6/8/22 12:43,0,50.205.154.83,100,805,1,2022-06-08T12:43:16,R_O0yytMyADmMRR9D,EN,4,2480505,4,5,4,3,3,4,1,3,4,4,5,4,5,5,5,5,3,1,2,5,5,5,5,5,5,2,2,2,2,2,3,2,1,1,1,3,5,3,1,2,4,2,5,5,2,5,2,5,5,5,5,5,1,2,2,1,5,5,2,4,1,1,1,2,2,3,5,4,3,3,,8,9,,
6/8/22 12:29,6/8/22 12:47,0,209.80.140.32,100,1083,1,2022-06-08T12:47:58,R_2E6qmQN6FOn8afR,EN,4,2480505,5,5,5,4,2,4,2,2,5,5,5,5,5,3,4,3,2,2,1,1,4,3,1,1,1,2,3,3,3,2,3,2,2,1,3,2,1,1,3,2,5,1,3,3,4,,3,,5,5,5,5,5,1,1,1,2,1,1,1,,,,1,3,3,1,5,1,3,,3,4,3,
