Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Location Latitude,Location Longitude,Distribution Channel,User Language,District,DESE ID,"Please select the month, day and year of your birthday. - Month","Please select the month, day and year of your birthday. - Day","Please select the month, day and year of your birthday. - Year",Please enter your Locally Assigned Student ID Number (LASID).,Race,,Grade,s-emsa-q1,s-emsa-q2,s-emsa-q3,s-tint-q1,s-tint-q2,s-tint-q3,s-tint-q4,s-tint-q5,s-acpr-q1,s-acpr-q2,s-acpr-q3,s-acpr-q4,s-cure-q1,s-cure-q2,s-cure-q3,s-cure-q4,s-sten-q1,s-sten-q2,s-sten-q3,s-sper-q1,s-sper-q2,s-sper-q3,s-sper-q4,s-civp-q1,s-civp-q2,s-civp-q3,s-civp-q4,s-grmi-q1,s-grmi-q2,s-grmi-q3,s-grmi-q4,s-appa-q1,s-appa-q2,s-appa-q3,s-sbel-q1,s-sbel-q2,s-sbel-q3,s-sbel-q4,s-sbel-q5,s-phys-q1,s-phys-q2,s-phys-q3,s-phys-q4,s-vale-q1,s-vale-q2,s-vale-q3,s-vale-q4,s-acst-q1,s-acst-q2,s-acst-q3,s-sust-q1,s-sust-q2,s-grit-q1,s-grit-q2,s-grit-q3,s-grit-q4,s-expa-q1,s-poaf-q1,s-poaf-q2,s-poaf-q3,s-poaf-q4,s-peff-q1,s-peff-q2,s-peff-q3,s-peff-q4,s-peff-q5,s-peff-q6,"When I am completing an in-class test (e.g., multiple choice, matching, fill-in-the blank test, etc), I feel:","When I am doing a project, I feel:","When I am completing an in-class test (e.g., multiple choice, matching, fill-in-the blank test, etc), I am:","When I am doing a project, I feel:","When I am doing an in-class test (e.g., multiple choice, matching, fill-in-the blank test, etc), I feel that the assignment is:","When I am doing a project, I feel that the assignment is:","When I am doing an in-class test (e.g., multiple choice, matching, fill-in-the blank test, etc), I have","When I am doing a project, I have:","When I am doing an in-class test (e.g., multiple choice, matching, fill-in-the blank test, etc), I have","When I am doing a project, I have:","If given the choice between a multiple choice test or a project in the following class, I would choose: - English","If given the choice between a multiple choice test or a project in the following class, I would choose: - History/Social Studies","If given the choice between a multiple choice test or a project in the following class, I would choose: - Math","If given the choice between a multiple choice test or a project in the following class, I would choose: - Science","If given the choice between a multiple choice test or a project in the following class, I would choose: - World Languages","If given the choice between a multiple choice test or a project in the following class, I would choose: - Art/Music","If given the choice between a multiple choice test or a project in the following class, I would choose: - PE/Health",What is your gender? - Selected Choice,What is your race/ethnicity?(Please select all that apply) - Selected Choice,What is your race/ethnicity?(Please select all that apply) - Prefer to self-describe - Text,Q_Language,MathTeacher,ScienceTeacher,SocialTeacher,EnglishTeacher
4/4/2022 14:33,4/4/2022 14:37,0,96.252.99.186,100,270,1,2022-04-04T14:37:0,R_3a4vwGgouptnozv,42.45320129,-71.14279938,anonymous,EN,6,3440505,2,21,106,11638,AfricanAmerican,,11,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,2,3,,EN,,,Social Studies teacher,
4/5/2022 13:10,4/5/2022 13:18,0,96.252.99.186,100,487,1,2022-04-05T13:18:0,R_7ZIAeuRXoz7xmDv,42.4532,-71.1428,anonymous,EN,6,3440505,10,23,106,12186,AfricanAmerican,,10,5,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,3,5,5,5,4,3,5,3,3,4,4,4,3,3,3,5,3,,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,5,2,3,2,3,3,3,3,3,3,3,1,2,1,1,2,2,2,2,3,,EN,Math teacher,,,
4/5/2022 9:44,4/5/2022 9:54,0,96.252.99.186,100,615,1,2022-04-05T9:54:0,R_3q86R0VHBiHlfdQ,42.4532,-71.1428,anonymous,EN,6,3440505,3,18,105,12290,AfricanAmerican,,12,3,4,4,4,3,3,4,4,4,4,4,4,2,2,3,3,4,4,3,3,3,3,4,3,3,5,4,5,3,4,4,4,3,4,2,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,2,2,3,4,2,2,3,3,3,3,1,1,2,1,1,2,2,1,3,,EN,,Science teacher,,
4/4/2022 11:37,4/4/2022 11:47,0,96.252.99.186,100,625,1,2022-04-04T11:47:0,R_vodVZCqOBfEwdqh,42.45320129,-71.14279938,anonymous,EN,6,3440505,1,10,106,7001590,AfricanAmerican,,11,1,1,1,4,4,4,5,4,5,4,4,5,4,3,3,3,3,4,3,5,4,5,4,4,4,5,4,4,4,5,3,5,5,5,,,,,,,,,,,,,,,,,5,3,5,5,3,5,4,3,3,3,3,,,,,,,3,2,5,4,3,5,4,5,4,4,2,1,1,1,2,2,2,1,3,,EN,,,,English teacher
4/4/2022 14:04,4/4/2022 14:18,0,96.252.99.186,100,870,1,2022-04-04T14:19:0,R_1rHfiCS1nzbGQfO,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,6,108,6002337,AfricanAmerican,,9,,,,,,,,,,,,,2,3,3,3,4,4,2,,,,,3,3,4,3,,,,,,,,4,4,4,3,3,5,4,5,5,4,4,3,4,4,5,4,2,5,3,4,2,3,1,2,3,4,4,3,4,4,3,4,4,1,2,4,3,2,3,1,4,2,3,2,1,1,1,3,2,3,2,3,,EN,,,,English teacher
4/5/2022 9:47,4/5/2022 10:03,0,96.252.99.186,100,970,1,2022-04-05T10:3:0,R_xyXiSDQ6zEaDswp,42.4532,-71.1428,anonymous,EN,6,3440505,3,11,106,12698,AfricanAmerican,,10,4,4,4,4,3,3,3,5,4,4,5,4,3,2,4,2,2,3,3,4,3,2,3,2,3,3,3,4,3,3,3,3,3,2,4,4,3,5,4,,,,,,,,,,,,,,,,,,,,,,,4,,4,3,3,4,3,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,3,,EN,,,,English teacher
4/4/2022 12:49,4/4/2022 13:05,0,96.252.99.186,100,991,1,2022-04-04T13:5:0,R_3fUizxeNREDNIxH,42.45320129,-71.14279938,anonymous,EN,6,3440505,4,22,108,12769,AfricanAmerican,,9,4,4,5,4,4,3,3,4,4,3,3,5,3,3,3,2,4,3,4,3,4,4,3,1,2,4,3,3,5,5,5,2,3,2,,,,,,,,,,,,,,,,,1,3,4,3,4,2,5,2,3,3,3,,,,,,,4,4,3,4,2,4,1,4,3,4,2,2,1,2,2,2,2,2,3,,EN,,,,English teacher
4/5/2022 9:46,4/5/2022 10:03,0,96.252.99.186,100,1034,1,2022-04-05T10:3:0,R_Uo3Uj1OEtoLME4F,42.4532,-71.1428,anonymous,EN,6,3440505,2,15,105,12185,AfricanAmerican,,11,3,3,4,2,1,1,1,2,2,1,5,2,2,3,4,2,2,3,2,4,4,3,3,3,3,3,3,5,3,3,3,2,2,1,1,2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,1,2,3,3,3,3,2,2,2,2,3,3,1,1,1,2,1,4,1,1,3,,EN,,,Social Studies teacher,
4/4/2022 10:05,4/4/2022 10:34,0,96.252.99.186,100,1746,1,2022-04-04T10:34:0,R_3qUxmZB41aRQ7jQ,42.45320129,-71.14279938,anonymous,EN,6,3440505,7,30,108,12263,AfricanAmerican,,9,4,4,3,2,3,3,3,4,4,4,3,3,3,4,4,3,3,3,2,4,4,4,4,1,2,2,2,3,3,3,3,2,1,1,5,5,4,5,2,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,3,4,2,2,4,4,2,2,2,3,3,3,1,2,1,1,1,3,3,2,3,,EN,Math teacher,,,
4/5/2022 17:56,4/5/2022 21:47,0,73.114.244.117,100,13837,1,2022-04-05T21:47:0,R_3oAwirKNKkcJLHo,42.4532,-71.1428,anonymous,EN,6,3440505,12,30,107,12259,AfricanAmerican,,10,4,4,5,4,3,4,4,5,4,5,3,4,4,4,4,4,5,4,3,4,4,4,4,4,5,4,4,4,3,4,4,3,3,5,4,4,4,4,5,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4,4,5,4,2,4,5,2,3,3,4,4,4,1,2,2,1,1,4,1,2,3,,EN,,,Social Studies teacher,
