StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,DESE ID,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-sach-q1,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,Q81,Q83_1,Q84_1,Q85,Q89_1,Q85
3/1/22 15:43,3/1/22 15:59,0,96.252.99.186,100,936,1,2022-03-01T15:59:7,R_3IYPGRQCEvcXcOS,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,4,5,3,3,3,3,2,5,3,5,4,2,5,2,2,3,3,3,3,4,3,3,3,2,3,3,4,4,3,4,4,4,2,4,5,5,3,3,4,4,3,4,3,2,4,5,4,5,2,4,1,4,5,4,5,2,4,3,4,5,4,4,4,4,4,4,5,4,5,.,9,4,.,,
3/1/22 15:43,3/1/22 16:08,0,96.252.99.186,100,1478,1,2022-03-01T16:8:2,R_3qpyHYlPJWNjcUb,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,4,4,4,5,3,4,5,5,5,5,4,4,4,3,4,2,3,4,3,3,3,4,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,5,2,3,3,3,3,3,4,5,4,4,4,4,3,5,5,2,3,3,3,4,4,4,4,4,4,4,3,5,3,3,,4,3,"As a general education teacher, I do not know the amount of time students spend per week physically active or in arts classes.",,
3/1/22 15:14,3/1/22 15:32,0,108.49.219.202,100,1097,1,2022-03-01T15:32:38,R_2rSdEugKnw7DgjH,42.48100281,-71.15630341,anonymous,EN,6,3440045,4,4,4,5,5,4,3,2,4,4,4,4,3,3,3,3,3,3,3,4,5,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,2,5,4,2,2,2,3,2,4,4,3,2,2,3,3,3,2,,,3,3,3,5,4,3,3,3,3,3,4,3,5,,5,3,"As a specialist without a classroom, many of these questions do not apply to me.",,
4/5/22 14:44,4/5/22 14:56,0,96.230.20.18,100,758,1,2022-04-05T14:56:53,R_1otNinOImBbq9pZ,42.481,-71.1563,anonymous,EN,6,3440020,5,4,5,4,3,2,2,3,5,4,4,5,2,1,2,2,1,2,1,1,3,1,1,1,1,5,5,4,4,4,4,4,2,3,2,2,1,2,1,1,2,1,1,1,5,3,4,2,4,4,4,4,5,,,,5,5,,,3,3,3,3,3,4,2,3,2,3,"There are things asked here that teachers in my school want to do, such as collaboration and talking about students, but there is no time!",6,5,Comment boxes in different categories could allow teachers to be more specific when some questions are not black and white to respond to,,
3/1/22 15:43,3/1/22 16:13,0,96.252.99.186,100,1756,1,2022-03-01T16:13:10,R_12a6Q9v6Vuxl7yN,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,5,4,2,5,4,2,5,4,5,3,2,2,2,1,4,4,3,2,2,2,1,3,2,3,3,3,4,4,4,4,2,2,4,5,3,3,4,5,2,4,3,3,1,4,2,4,3,3,3,5,2,3,3,2,2,4,1,4,3,2,2,2,2,1,4,5,4,4,"I think it would be important to ask teachers what class(es) they are answering the question about in the survey.  For example, I answered the questions based on a 9th grade co-taught class, but I also teach a 12 grade class in which many of the answers would not apply.",7,7,"For some of the questions, I would have loved a ""does not apply"" answer.",,
3/1/22 15:41,3/1/22 15:49,0,96.252.99.186,100,477,1,2022-03-01T15:49:14,R_3gOcSFhMShi8Uwt,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,4,5,3,2,5,3,1,4,5,5,4,2,1,1,1,2,3,3,4,4,4,3,4,3,3,3,4,4,4,4,4,4,3,3,1,2,1,1,5,4,1,2,2,3,3,3,3,3,4,4,4,5,5,4,3,2,2,2,4,3,3,3,3,3,3,4,3,5,5,,8,3,I am a school psychologist so these questions weren't really applicable ,,
3/1/22 15:27,3/1/22 15:39,0,108.49.219.202,100,722,1,2022-03-01T15:39:18,R_VLwPRZv8phCapbP,42.48100281,-71.15630341,anonymous,EN,6,3440025,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,3,2,5,4,3,4,4,5,4,5,5,5,4,3,4,5,5,5,5,4,5,5,5,5,5,5,4,4,4,3,5,4,5,,9,9,I answered based on typical years not pandemic years - where parent visitation has not been allowed.,,
3/1/22 15:32,3/1/22 15:58,0,108.49.219.202,100,1526,1,2022-03-01T15:58:12,R_31LO3Jdc3rygBYj,42.48100281,-71.15630341,anonymous,EN,6,3440040,5,4,5,5,4,3,4,1,5,4,4,5,2,1,2,1,3,2,4,4,4,4,4,5,3,4,4,4,4,4,4,4,2,4,2,2,2,2,2,4,3,1,1,1,4,3,4,4,2,3,3,3,5,3,2,1,4,2,2,2,4,4,4,2,3,4,3,3,3,3,"This school has some of the most talented, capable and dedicated teachers.  Unfortunately, pressure from state, district, upper admin etc., reduces the their ability to use their expertise.  Staff constantly feel as if they are being told there ways are not sufficient. There is not enough room here.",5,4,"I do not think the questions on tis survey give an accurate portrayal of the things going well, the things that need fixing, the morale, or what is really happening in our classrooms and district.  The amazing staff in this district is extremely undervalued.  Upper admin is destroying morale.",,
3/1/22 15:38,3/1/22 15:55,0,96.252.99.186,100,1025,1,2022-03-01T15:55:25,R_2YEtY2DYHS8ry1j,42.45320129,-71.14279938,anonymous,EN,6,3440505,5,5,5,5,4,5,5,4,5,5,5,5,3,3,2,2,5,4,5,5,5,5,5,5,4,3,3,4,5,5,5,4,5,4,4,3,3,4,3,4,4,3,5,5,4,5,5,5,4,4,4,4,5,5,5,3,4,5,4,5,5,4,4,4,4,4,5,5,5,5,,9,,I hate doing this survey.  I never get any feedback.  I have no idea if my perceptions are the same as others in my school.  This feels like a waste of time.,,
4/5/22 14:43,4/5/22 14:57,0,96.230.20.18,100,806,1,2022-04-05T14:57:9,R_b9mbfsMpRsIV0Gd,42.4532,-71.1428,anonymous,EN,6,3440020,4,4,4,5,4,5,3,3,5,5,5,4,3,1,2,2,3,3,2,2,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,2,2,2,2,3,4,3,3,3,4,3,4,4,3,3,3,4,5,3,3,3,4,3,3,4,4,4,3,3,3,4,3,4,3,3,,5,6,"I think there should be a question about how we perceive our school is affected by district administrator's decisions.  To follow up from that question, we should be asked if district administrator's make decisions with or without our consideration or our professional judgement.",,
