StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,School,Which of the following best describes the role you play at your school? Please select only 1 choice.,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-sach-q1,t-sach-q2,t-sach-q3
2022-11-22 13:20:51,2022-11-22 13:28:14,0,208.118.224.212,39,443,0,2022-11-29T13:28:22,R_1odwxiWu4tHwHUg,,,anonymous,EN,3,1600310,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,,,,,,,,,3,3,2,3,,,,,,,,,,,,,2,2,2,,,,,,,,,,,
2022-11-17 19:56:37,2022-11-17 20:12:03,0,68.162.214.201,100,925,1,2022-11-17T20:12:4,R_3G9ZnAYDrZ3SzQx,42.2441,-71.1688,anonymous,EN,3,1600310,5,3,3,3,2,2,3,3,3,3,3,4,3,3,3,4,3,4,3,3,2,2,2,2,2,3,3,2,3,3,3,3,3,2,2,2,3,3,3,3,4,3,4,4,3,3,3,2,3,2,2,2,3,3,3,2,3,2,3,3,3,4,3,4,,,,,,,
2022-11-17 17:19:04,2022-11-17 17:32:25,0,131.239.118.1,100,800,1,2022-11-17T17:32:26,R_115XkN3iYaT7bOc,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,3,2,3,3,2,3,3,4,3,3,3,3,3,3,2,3,2,2,2,3,2,3,3,3,3,3,3,4,3,2,2,2,2,3,3,3,3,3,3,4,3,3,2,3,3,3,2,2,3,3,3,2,3,3,3,3,3,5,3,4,3,3,3,2,3,2,3
2022-11-17 7:48:33,2022-11-18 12:41:09,0,208.118.224.219,100,103956,1,2022-11-18T12:41:10,R_33vSbRIgTkUpUax,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,3,4,4,3,3,4,4,4,3,3,3,3,4,3,3,3,4,4,3,3,4,3,4,4,4,3,4,3,3,4,4,4,4,4,4,2,3,3,2,2,4,4,4,4,4,4,5,3,3,3,3,4,4,3,4,3,3,3,3,4,4,4,4,4,4,3,2,3
2022-11-17 15:36:59,2022-11-17 15:50:35,0,131.239.118.57,100,816,1,2022-11-17T15:50:36,R_3qTY93G6cNfw1ur,42.6351,-71.3014,anonymous,EN,3,1600310,2,5,5,4,4,4,4,4,2,4,4,4,5,3,3,3,3,3,3,4,4,4,4,4,3,3,4,4,,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,,,
2022-11-17 14:18:56,2022-11-18 9:44:42,0,131.239.118.34,100,69945,1,2022-11-18T9:44:42,R_1pVwDHEDFZoRe8j,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,4,4,5,2,3,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,3,4,4,4,3,3,2,2,4,4,3,3,4,4,4,3,4,3,4,4,4,4,5,3,2,3
2022-11-16 6:32:22,2022-11-16 6:39:29,0,131.239.118.6,100,427,1,2022-11-16T6:39:29,R_2V4p5NV6I6USZ3H,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,4,5,4,5,4,4,2,4,4,4,4,5,5,5,5,4,4,4,5,5,5,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3
2022-11-17 14:14:31,2022-11-21 13:25:06,0,131.239.118.20,100,342635,1,2022-11-21T13:25:7,R_1FneM8WlIXAuZAM,42.6351,-71.3014,anonymous,EN,3,1600310,1,4,4,4,3,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,1,2,2,3,4,3,3,3,3,3,3,3,3,3,3,5,5,3,3,4,3,3,3,,3,3
2022-11-17 9:45:53,2022-11-17 14:12:45,0,131.239.118.41,100,16011,1,2022-11-17T14:12:46,R_qElpOJMYSKzg6B3,42.6351,-71.3014,anonymous,EN,3,1600310,2,4,4,4,4,4,4,3,2,4,3,3,4,3,4,4,4,4,3,4,3,3,2,4,4,4,3,3,4,4,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,1,4,4,4,4,3,2,4,3,4,3,4,3,4,2,3,,,
2022-11-16 13:13:49,2022-11-16 13:22:07,0,131.239.118.42,100,498,1,2022-11-16T13:22:8,R_3OBE7LPA2PoCHux,42.6351,-71.3014,anonymous,EN,3,1600310,1,5,5,5,5,5,5,4,4,5,4,4,5,3,4,4,4,4,3,4,5,5,4,5,4,5,4,5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,4,5,5,3,3,2,5,4,3,3,4,4,4,4,4,3,4,4,4,3,4,3,3,3
2022-11-16 13:14:14,2022-11-17 10:40:37,0,131.239.118.45,100,77182,1,2022-11-17T10:40:38,R_WBxASKGPJ9s8uVr,42.6351,-71.3014,anonymous,EN,3,1600310,3,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,,,
2022-11-17 23:16:37,2022-11-17 23:32:50,0,24.60.57.108,100,972,1,2022-11-17T23:32:51,R_VP8DiAPpm5UedR7,42.3491,-71.5431,anonymous,EN,3,1600310,1,5,5,5,5,5,5,5,4,5,4,5,5,4,5,4,5,5,4,5,5,5,5,5,4,4,4,3,4,4,4,4,3,5,5,5,4,4,3,3,4,5,4,4,4,5,5,5,5,5,3,3,4,5,5,4,5,3,3,4,4,4,4,5,5,4,4,4,3,3,3
2022-11-18 11:10:58,2022-11-18 11:21:50,0,208.118.224.220,100,652,1,2022-11-18T11:21:50,R_30eZO9S0kueOXzA,42.6351,-71.3014,anonymous,EN,3,1600310,3,5,5,4,3,4,3,3,2,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,2,3,4,4,3,3,4,3,2,3,3,4,4,4,3,4,4,4,5,5,5,4,3,2,2,5,4,4,5,4,4,3,4,4,3,3,4,3,3,3,,,
