RecordedDate,ResponseId,UserLanguage,District,school,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,t-curv-q1,t-curv-q3,t-curv-q2,t-curv-q4,t-sach-q1,t-sach-q2,t-sach-q3,Q88,Duration
6/23/2021 13:58,R_2WS7gAmuAXqKLV2,EN,6,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,4,371
6/23/2021 9:22,R_1pZ1tUSgrPDtQe6,EN,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,NA,NA,NA,NA,NA,NA,3,3,4,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,3,4,4,4,NA,NA,NA,1,318
6/21/2021 15:05,R_snkDB4KeQvttU6l,EN,4,9,4,4,4,4,4,5,4,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,3,5,4,3,4,4,NA,NA,NA,NA,5,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,472
6/19/2021 17:28,R_302VQwGY2CjaWSz,EN,6,3,4,4,2,2,2,4,2,2,4,5,5,4,3,3,4,1,3,2,2,1,1,2,1,2,1,4,5,4,4,4,3,4,3,2,2,2,3,3,2,4,4,2,2,3,4,3,4,4,5,2,2,2,4,3,3,3,3,4,4,4,5,4,5,3,4,4,3,4,4,4,2,600
6/18/2021 15:17,R_3JDIMKavLg9xGVC,EN,4,2,5,5,5,3,2,5,1,1,5,4,4,5,1,1,3,2,4,3,5,4,5,4,3,4,3,3,4,4,5,5,4,4,4,4,3,2,2,1,1,1,4,1,3,1,4,5,4,5,5,1,2,1,4,3,2,2,4,4,5,2,3,1,2,5,4,5,4,3,3,3,1,1140
6/18/2021 11:14,R_2chhoHJdxio5O1U,EN,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,4,3,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,NA,NA,NA,NA,NA,4,3,3,3,4,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,1,1,3,3,4,4,3,4,NA,NA,NA,1,1121
6/16/2021 21:10,R_3lzxRUPWuNZyYfX,EN,4,2,NA,NA,NA,NA,NA,NA,NA,NA,4,4,5,4,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,4,4,4,NA,NA,NA,3,3,2,2,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,2,2,3,3,NA,NA,NA,NA,3,3,3,2,749
6/16/2021 19:04,R_3CJik55YpYpIDai,EN,6,4,5,4,5,4,2,3,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,3,3,3,4,4,4,5,4,4,4,4,4,3,1,3,5,1,4,5,2,3,2,4,3,4,4,5,3,4,3,4,3,3,3,3,4,4,2,3,3,3,4,4,3,4,4,4,3,2,461
6/16/2021 18:26,R_55vZK0zFw0IPG8N,EN,4,9,5,5,5,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,4,3,5,NA,NA,NA,NA,NA,NA,5,5,5,4,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,4,5,NA,NA,NA,NA,2,1,3,1,17965
6/16/2021 18:13,R_1ook5h8ltCP1odl,EN,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,76592
6/16/2021 14:41,R_R3JtPB4ZbPLBV3H,EN,4,7,5,5,5,NA,NA,NA,NA,NA,5,5,5,5,NA,NA,NA,NA,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2,11956
6/16/2021 14:39,R_eqRGCiDPPlvLe8N,EN,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3782
6/16/2021 14:35,R_V4t6Z1JwSVdtnwd,EN,4,10,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,3,NA,NA,NA,NA,3,3,3,3,3,3,3,1,3480
6/16/2021 14:30,R_2dXcJ1Xb82XEM6O,EN,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA,NA,NA,NA,3,2,3,1,4140
