Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,district_code,school_code,,,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,"t-inle-q2",t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,#N/A,t-sach-q2,t-sach-q3,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,,,,
2020-10-09 9:42:45,2020-10-09 11:08:57,0,50.204.125.194,93,5172,0,2020-10-16 11:09:03,R_z76rV1JKFmEvcdj,,,,,,,anonymous,EN,1,1,4,,,,,,,3,,,,,,,,,,,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,
2020-10-09 9:21:30,2020-10-09 14:28:09,0,50.204.125.194,24,18398,0,2020-10-16 14:28:18,R_1DoREbtBDC1v6PJ,,,,,,,anonymous,EN,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-12-06 8:28:00,2020-12-06 8:36:52,0,73.61.140.32,100,532,1,2020-12-06 8:36:52,R_30w2tBMkOPUahzB,,,,,41.92610168,-71.30110168,anonymous,EN,1,2,2,,5,5,5,5,5,5,5,1,5,5,5,5,3,2,1,5,4,5,5,4,4,5,5,5,5,3,3,3,3,1,3,3,4,3,2,4,4,4,4,3,3,2,2,2,4,4,4,3,2,3,2,5,4,5,5,3,4,4,3,5,2,1,3,4,3,3,4,4,3,3,,9,9,
2020-12-06 8:41:41,2020-12-06 8:51:25,0,96.230.183.162,100,584,1,2020-12-06 8:51:25,R_2fDxwXmBUta3eLN,,,,,41.98530579,-71.5184021,anonymous,EN,1,2,2,,5,5,5,4,4,4,4,1,4,4,4,4,3,3,3,2,5,2,4,5,4,5,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,3,3,4,4,3,2,4,4,4,4,4,3,2,3,4,5,3,2,2,4,4,3,3,4,3,3,3,3,3,3,4,3,3,,9,6,
2020-12-06 8:44:42,2020-12-06 8:55:58,0,216.41.82.178,100,675,1,2020-12-06 8:55:58,R_5jxjCF7jaLAMdXj,,,,,41.92610168,-71.30110168,anonymous,EN,1,2,2,,5,4,4,2,2,4,1,2,4,4,4,4,3,3,3,2,4,3,5,4,3,4,3,3,4,2,2,4,4,2,4,3,4,4,3,3,2,3,2,3,3,2,4,4,3,4,4,3,2,2,4,4,5,2,3,1,4,4,3,3,3,2,2,4,4,3,3,3,3,3,,7,5,"These questions are very difficult to address during a PANDEMIC!  So it is not your average typical year.  Our principal may not be as concerned about academics, because they are too busy navigating the complexities COVID has caused.  I am honestly unsure why we would get surveyed during this time. "
2020-12-06 10:25:13,2020-12-06 10:38:26,0,73.227.231.133,100,793,1,2020-12-06 10:38:26,R_33rOuz4LDZiCnOP,,,,,42.10940552,-71.17590332,anonymous,EN,1,2,2,,5,5,5,5,4,5,4,4,4,5,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,3,2,5,5,5,5,4,5,5,5,3,2,4,2,3,3,3,3,4,5,4,4,5,5,5,4,5,5,2,3,2,5,4,3,4,4,4,4,4,4,4,3,3,3,3,,8,7,
2020-12-06 12:36:18,2020-12-06 12:54:35,0,172.58.188.185,100,1097,1,2020-12-06 12:54:36,R_2tKHU7bC8UcgN3a,,,,,38.9815979,-77.00440216,anonymous,EN,1,2,2,,5,5,5,4,4,5,3,2,5,4,5,5,3,3,2,2,5,3,4,4,3,4,5,5,3,3,3,4,3,4,3,3,4,4,4,1,1,1,3,1,5,2,2,1,4,4,3,4,4,4,5,4,5,2,2,3,4,4,3,5,5,3,2,3,3,4,3,5,5,5,,,,
2020-12-07 8:06:25,2020-12-07 8:22:50,0,50.250.37.165,100,985,1,2020-12-07 8:22:50,R_3oZolPVKqPFjiE2,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,5,4,5,5,4,4,4,1,4,3,3,4,5,3,4,5,4,1,3,5,4,4,4,4,2,2,2,5,4,2,5,4,2,1,2,4,4,4,3,4,2,1,2,1,4,3,2,3,3,3,3,2,5,3,3,1,3,2,2,2,3,2,2,4,2,2,4,4,3,3,,8,4,
2020-12-07 9:45:29,2020-12-07 10:00:20,0,50.250.37.165,100,890,1,2020-12-07 10:00:20,R_3neK5n6t7YXvTzr,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,5,5,5,4,3,2,1,1,2,2,4,3,3,3,4,2,2,2,2,4,4,5,3,3,3,2,1,4,2,2,2,2,2,2,2,3,4,3,2,2,2,3,3,3,2,2,2,2,2,2,2,3,5,2,2,1,2,2,2,2,2,2,3,1,2,1,3,3,3,3,,2,2,
2020-12-07 9:42:14,2020-12-07 10:01:24,0,50.250.37.165,100,1150,1,2020-12-07 10:01:25,R_a2Z453bSoqZd8d3,,,,,41.92610168,-71.30110168,anonymous,EN,1,4,2,,5,5,5,5,5,2,4,1,5,4,4,4,3,4,4,3,4,3,5,5,5,5,4,3,3,1,1,4,4,4,4,4,3,4,3,3,4,3,2,5,4,3,,,2,3,,3,4,4,3,3,3,3,2,1,,4,3,5,3,3,3,3,4,,2,3,3,3,"During Covid times, I think the teachers are doing their best to try to make the experience for kids as positive as it can be under the circumstances.  With the guidelines, there really isn't a whole lot of socialization going on.  For some students they don't interact much in their cohort.",9,6,
