StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,District,School- Lee,School- Maynard,Q89,t-prep-q1,t-prep-q2,t-prep-q3,t-pcom-q1,t-pcom-q2,t-pcom-q3,t-pcom-q4,t-pcom-q5,t-ieff-q1,t-ieff-q2,t-ieff-q3,t-ieff-q4,t-qupd-q3,t-qupd-q2,t-qupd-q1,t-qupd-q4,t-coll-q1,t-coll-q2,t-coll-q3,t-prtr-q1,t-prtr-q2,t-prtr-q3,t-inle-q1,t-inle-q2,t-inle-q3,t-pvic-q1,t-pvic-q2,t-pvic-q3,t-psup-q1,t-psup-q2,t-psup-q3,t-psup-q4,t-acch-q1,t-acch-q2,t-acch-q3,t-reso-q1,t-reso-q2,t-reso-q3,t-reso-q4,t-reso-q5,t-sust-q1,t-sust-q2,t-sust-q3,t-sust-q4,t-cure-q1,t-cure-q2,t-cure-q3,t-cure-q4,t-peng-q1,t-peng-q2,t-peng-q3,t-peng-q4,t-ceng-q1,t-ceng-q2,t-ceng-q3,t-ceng-q4,t-psol-q1,t-psol-q2,t-psol-q3,t-expa-q2,t-expa-q3,t-phya-q2,t-phya-q3,t-curv-q1,t-curv-q2,t-curv-q3,t-curv-q4,t-sach-q1,t-sach-q2,t-sach-q3,Q85,Q81,Q83_1
2023-03-31 10:00:39,2023-03-31 11:17:05,0,71.174.81.214,100,4586,1,2023-03-31T11:17:06,R_6zmLydOk4OYsXF7,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,4,5,4,4,2,2,3,2,,,,,,1,1,1,1,,,,2,2,3,,,,3,2,3,4,3,3,3,,,,3,4,2,5,4,4,4,5,3,,,,,4,,2,1,2,2,1,2,,,,4,5,3,4,,,,,,,,,,9
2023-03-31 12:20:00,2023-03-31 12:35:43,0,71.174.81.214,100,943,1,2023-03-31T11:17:07,R_2c5zH4T8sE7yctl,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,1,5,5,5,3,3,4,3,1,5,5,5,4,2,3,2,3,2,2,3,4,5,5,3,3,3,3,3,3,4,4,4,3,4,3,3,5,5,3,4,4,4,2,3,3,3,2,2,3,3,4,3,2,4,4,4,3,2,3,4,3,4,3,5,5,4,5,5,4,4,4,,,9
2023-03-31 12:51:09,2023-03-31 13:00:14,0,71.174.81.214,100,544,1,2023-03-31T11:17:08,R_2wBIoTQiZfLsDg1,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,1,5,5,4,4,3,3,3,2,4,4,4,4,2,2,2,2,3,2,3,3,3,3,3,3,3,2,3,3,4,4,3,3,3,4,4,4,4,3,4,3,4,3,4,4,4,3,2,4,3,2,2,2,3,3,1,3,4,4,4,4,5,3,3,3,3,3,3,3,3,3,,,5
2023-03-31 12:47:16,2023-03-31 13:02:55,0,71.174.81.214,100,939,1,2023-03-31T11:17:09,R_40EglfPnhyMzdg5,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,1,4,4,4,4,3,5,4,2,3,3,3,4,2,3,2,4,2,1,4,4,4,3,4,4,4,4,3,4,2,1,2,3,2,3,3,4,4,3,4,4,4,3,4,4,3,3,2,4,5,3,2,1,4,3,3,3,2,2,2,2,4,3,4,2,4,3,3,3,3,3,"The survey asked mostly good questions, however there were some Qs that could have benefitted from a ""NA"" option (if, for example, we didn't have an opportunity to witness a particular interaction). ",Maybe some Qs about what students and staff would (or do) complain about. ,9
2023-03-31 12:58:45,2023-03-31 13:05:14,0,71.174.81.214,100,389,1,2023-03-31T11:17:10,R_1GU2YWoStpMDP9Y,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,1,5,5,5,3,3,4,3,2,3,4,4,4,3,3,2,2,2,1,2,2,2,2,2,2,3,4,5,4,3,3,4,3,2,2,3,2,5,5,5,4,3,1,2,2,4,4,3,2,3,4,3,2,4,3,3,4,4,4,3,1,3,3,4,3,4,3,4,3,3,3,,,10
2023-03-31 12:46:37,2023-03-31 13:07:56,0,71.174.81.214,100,1278,1,2023-03-31T11:17:11,R_pMcjjDGtf6ra9Pz,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,1,5,4,4,3,3,3,3,1,4,3,4,4,3,1,1,2,1,1,3,4,3,4,3,3,2,2,3,3,3,3,3,3,4,2,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,,,,2,2,1,3,3,3,3,3,4,1,4,2,4,4,1,3,3,3,"The word 'could' was really confusing in reference to questions about creative classes and physical activity.  Maybe something about hours available to students would be easier to comprehend.  Unless that is not what was meant, in which case 'could' is even more confusing.","While I feel that I gave a somewhat negative take on the teachers and leaders in this school, that does not accurately represent the desire of everyone to be exemplars, but rather the reality of the job and all of the responsibilities that come with it.",7
2023-03-31 13:13:27,2023-03-31 13:21:46,0,71.174.81.214,100,499,1,2023-03-31T11:17:12,R_3HhjXmP9OM8W2QO,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,3,4,4,5,5,4,5,4,2,4,4,5,4,2,2,2,2,4,3,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,2,4,4,4,4,5,3,3,4,4,4,4,4,4,3,,,4,4,4,4,5,4,4,4,4,3,,4,4,4,4,,,,,,9
2023-03-31 13:17:24,2023-03-31 13:26:54,0,71.174.81.214,100,569,1,2023-03-31T11:17:13,R_3p4GcDvoh3mcEvJ,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,1,5,4,5,2,3,4,3,1,4,4,4,4,2,2,4,3,1,3,2,2,2,3,2,2,3,3,3,3,3,4,3,3,2,2,,3,3,4,4,4,5,3,4,4,4,4,4,4,3,1,2,1,3,3,2,3,4,3,4,4,4,1,2,4,4,3,3,3,4,3,,,8
2023-03-31 13:13:22,2023-03-31 13:29:24,0,71.174.81.214,100,961,1,2023-03-31T11:17:14,R_3LZlYF7bvOwiESI,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,5,,,4,5,4,5,4,,4,4,5,4,3,3,4,3,,,4,4,4,4,4,4,4,,,4,4,4,4,3,4,4,4,,4,4,4,4,5,3,5,5,,,,,1,,,,4,,,,4,3,3,,,3,5,,,,,,,,,,8
2023-03-31 13:15:31,2023-03-31 13:29:49,0,71.174.81.214,100,858,1,2023-03-31T11:17:15,R_28GIR0UUmg3ZVvP,,,,,42.4337,-71.4568,anonymous,EN,2,,1740505,5,3,3,4,5,5,5,4,3,4,4,4,4,3,3,3,3,4,3,5,4,5,4,5,5,5,3,3,4,3,3,3,3,4,5,4,4,4,4,5,5,4,4,5,5,2,3,3,5,,,,,,,,,3,3,4,4,5,3,5,,,,,,,,,,10
