StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,DESE ID,Q70,Q72,Q72_5_TEXT,Q74,Q74_5_TEXT,Q86,Q86_5_TEXT,Q87,Q87_5_TEXT,Q89,Q89_5_TEXT,Q90,Q90_5_TEXT,Q92,Q92_5_TEXT,Q93,Q93_5_TEXT,Q95,Q95_5_TEXT,Q96,Q96_5_TEXT,Q98,Q98_5_TEXT,Q99,Q99_5_TEXT,p-scrp-q3,p-scrp-q2,p-valm-q1,p-valm-q2,p-valm-q3,p-valm-q4,Q87-2,p-comm-q1,p-comm-q2,p-comm-q3,p-tcom-q1,p-tcom-q3,p-evnt-q4,p-comm-q4,Q57,p-evnt-q3,p-evnt-q1,p-evnt-q2,Q88,p-socx-q3,p-socx-q4,p-scrp-q1,Q58_2,p-socx-q1,p-sosu-q1,p-sosu-q2,p-sosu-q3,Q59_2,p-socx-q2,p-sosu-q4,p-phys-q3,Q60,p-acpr-q1,p-acpr-q2,p-acpr-q3,p-acpr-q4,Q61_2,p-cure-q1,p-cure-q2,p-cure-q3,p-cure-q4,Q62,Q61,Q61_100_TEXT,Q62_2,Q62_100_TEXT,Q64,Q64_100_TEXT,Q65,Q65_100_TEXT,Q63,Q63_100_TEXT,Q67,Q67_100_TEXT,Q58,Q59
5/1/2024 10:04:34,5/1/2024 10:10:49,0,72.93.86.98,100,374,1,2023-03-01T10:10:50,R_2kdmnqvTqSIxwt3,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,2,,7,,4,5,5,4,5,5,The school does this well,5,5,5,4,5,4,5,The school does this well,3,4,5,,4,4,5,"I think it does this well for some students, however there is not appropriate spaces or opportunities for academic achievement; the school does not create an environment where learning is encouraged",5,5,5,5,,5,5,1,The school keeps our children safe,2,2,2,1,The school does not provide adequate academic opportunities for my child,4,5,5,5,The school does this well,1,,1,,2,,5,,2,,1,,,
5/1/2024 10:03:52,5/1/2024 10:14:42,0,73.69.182.58,100,649,1,2023-03-01T10:14:43,R_3qCsg7RxUNRdgJj,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,4,4,5,5,5,5,,5,5,5,5,5,3,5,,4,5,5,,5,5,5,,4,4,4,4,,5,5,1,,5,4,5,5,,5,5,5,5,,1,,99,,2,,3,,1,,1,,Lunch time  child not getting enough time to sit an eat their for comes home hungre,
5/1/2024 10:06:44,5/1/2024 10:15:41,0,50.235.109.170,100,537,1,2023-03-01T10:15:42,R_2dfFIMgKQIj4ZTv,email,EN,1740305,2,2,,7,,2,,7,,,,,,,,,,,,,,,,,,5,5,5,4,5,5,Staff and teachers are responsive and helpful.  Communication is clear and consistent from staff and leadership.  Any conerns or issues have been swiftly addressed and my viewpoints have been respected and valued. ,5,5,5,4,5,4,4,The only thing that makes it challenging is that you can not search for specific info in the emails.  You have to log into the specific smore updates and sometimes I have to guess which one the needed info is in.  The PTO does a good job of doubling up on making the info easier to find. ,3,4,4,,4,4,5,,4,4,5,5,I think the intention is there but I would like to see the school invest more staff to support studentts. ,2,5,3,I think there could be more staff monitoring recess games more closely.  I think it is good for kids to learn how to problem solve as a group but I think some of the issues could be addressed more proactively rather than reactivley. ,4,4,4,4,,5,5,5,5,,1,,1,,3,,6,,2,,1,,I think Fowler has a strong admininistration and staff.  I would like to see it better funded and better staffed to support our studnets but that is not unique to Maynard. ,
5/1/2024 10:14:23,5/1/2024 10:22:22,0,73.38.238.192,100,478,1,2023-03-01T10:22:23,R_3e4f6ZOtzy3PuB0,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,5,5,5,5,5,5,I feel I can reach out to staff or administration at any time.,5,4,5,4,4,2,5,,4,5,4,The principal sends a weekly email and the teachers send emails on special events,5,5,5,"Valerie McCabe, the School Counselor, the teachers, Ms. Travers, Mr. Kozik, Mr. Hales, Ms. Rockel and Principal Kinney all engage with the students.  We have had a positive experience with both the 6th and 7th grade teaching teams",3,5,5,5,They have been extremely supportive and helpful in assisting us.,2,5,1,,5,5,5,5,,5,5,5,5,,1,,1,,2,,5,,2,,1,,,
5/1/2024 10:18:39,5/1/2024 10:23:49,0,73.69.158.255,100,310,1,2023-03-01T10:23:50,R_3FqMMPzirtYnbtD,email,EN,1740305,2,2,,7,,1,,7,,,,,,,,,,,,,,,,,,5,4,5,5,5,5,,1,1,1,1,1,3,1,,4,4,5,,1,1,1,,4,1,1,1,,4,5,1,,5,5,5,5,,1,5,1,1,,1,,"2,4",,3,,5,,2,,1,,,
5/1/2024 10:20:30,5/1/2024 10:25:16,0,73.182.146.201,100,285,1,2023-03-01T10:25:17,R_7YRn8JyFCrII41P,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,3,3,3,1,3,2,,4,2,4,1,3,3,4,,3,4,1,,5,5,4,,3,5,4,3,,3,1,3,,5,5,4,5,,4,4,5,4,,2,,2,,2,,5,,2,,1,,,
5/1/2024 10:14:01,5/1/2024 10:27:19,0,209.107.182.203,100,798,1,2023-03-01T10:27:20,R_7CBSy8EPd44mGd5,email,EN,1740305,2,1,,7,,1,,7,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,5,5,5,5,5,3,5,,4,4,5,,5,4,5,,4,5,5,5,,3,5,1,,5,4,4,4,,5,5,5,5,,1,,1,,2,,5,,2,,1,,,
5/1/2024 10:10:28,5/1/2024 10:27:33,0,170.223.207.25,100,1024,1,2023-03-01T10:27:34,R_5Hw58don5r4c59F,email,EN,1740305,2,2,,7,,1,,7,,,,,,,,,,,,,,,,,,3,3,4,5,3,4,,4,4,5,4,4,2,4,The weekly emails from the principal are helpful,3,4,3,,1,2,5,"Bullying is a major concern, as is punishing a whole grade level for the bad behavior of a small group.",2,5,4,4,My child's counselor values my child's emotional well being but the administration does not do nearly enough to stop the bullying.,2,4,2,Bullying behavior continues to be a problem,5,3,2,3,I feel my children are often not really challenged by the curriculum,3,4,5,3,,1,,1,,3,,8,,2,,1,,,
5/1/2024 10:29:11,5/1/2024 10:38:45,0,68.160.161.122,100,573,1,2023-03-01T10:38:46,R_2t8Ru7UpaZtFIVI,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,1,,7,,5,5,5,5,4,5,,4,4,5,5,5,4,4,,4,4,4,,3,5,4,,5,3,4,4,,2,4,2,,5,5,5,4,,2,3,4,4,,1,,"2,4",,2,,5,,2,,1,,"It's not really asked here, but I don't love Fowler's response to bad behavior (punish everyone rather than the culprits). Also, I'm slightly concerned about the number of racial incidents this year.  There have been numerous incidents that can/should be listed as hate crimes, and they are lkley happening because the students just are not educated enough to know it is wrong.  I know stuff like this is happening at all schools, I would just like to see a more proactive rather than reactive response to these incidents.  ",I would have liked to see some questions centered around school response to incidents (including racial incidents).  I think this is a very different topic than the safety topic mentioned a couple of sections back.  
5/1/2024 10:32:54,5/1/2024 10:40:41,0,71.184.91.113,100,466,1,2023-03-01T10:40:42,R_2a8ozQOggVDxxjr,email,EN,1740305,1,,,,,,,,,,,,,,,,,,,,,3,,7,,4,4,5,3,4,5,,4,5,5,2,5,1,4,,4,4,5,,2,5,4,Ms. McCabe is a great resource!,5,4,5,5,,5,5,3,,4,4,4,2,My kid often DOES NOT like going to school. They don't like the structure and the amount of seat time, they would prefer to be more creative and more actively engaged in their learning,2,4,4,4,,1,,3,,2,,6,,2,,1,,
