Raw likert calculation,Likert Score,Admin Data Item,Academic Year,School Name,DESE ID,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,Total
NA,NA,,2022-23,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,4450105,0,120,120,118,121,124,121,122,114,110,89,83,90,90,0,1422
NA,NA,,2022-23,Abington - Abington Early Education Program,10001,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
NA,NA,,2022-23,Abington - Abington High,10505,0,0,0,0,0,0,0,0,0,0,137,127,146,131,7,548
NA,NA,,2022-23,Abington - Abington Middle School,10405,0,0,0,0,0,0,157,165,147,178,0,0,0,0,0,647
NA,NA,,2022-23,Abington - Beaver Brook Elementary,10020,0,160,173,188,0,0,0,0,0,0,0,0,0,0,0,521
NA,NA,,2022-23,Abington - Woodsdale Elementary School,10015,0,0,0,0,166,169,0,0,0,0,0,0,0,0,0,335
NA,NA,,2022-23,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,4120530,0,0,0,0,0,0,36,57,60,71,64,60,65,54,0,467
NA,NA,,2022-23,Acton-Boxborough - Acton-Boxborough Regional High,6000505,0,0,0,0,0,0,0,0,0,0,418,396,414,454,1,1683
NA,NA,,2022-23,Acton-Boxborough - Blanchard Memorial School,6000005,0,58,60,75,65,89,92,67,0,0,0,0,0,0,0,506
NA,NA,,2022-23,Acton-Boxborough - C.T. Douglas Elementary School,6000020,0,54,63,58,65,45,45,47,0,0,0,0,0,0,0,377
NA,NA,,2022-23,Acton-Boxborough - Carol Huebner Early Childhood Program,6000001,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
NA,NA,,2022-23,Acton-Boxborough - Luther Conant School,6000030,0,38,60,39,62,67,70,72,0,0,0,0,0,0,0,408
NA,NA,,2022-23,Acton-Boxborough - McCarthy-Towne School,6000015,0,57,41,58,64,68,84,74,0,0,0,0,0,0,0,446
NA,NA,,2022-23,Acton-Boxborough - Merriam School,6000010,0,34,61,59,65,69,71,72,0,0,0,0,0,0,0,431
NA,NA,,2022-23,Acton-Boxborough - Paul P Gates Elementary School,6000025,0,54,57,37,44,46,44,68,0,0,0,0,0,0,0,350
NA,NA,,2022-23,Acton-Boxborough - Raymond J Grey Junior High,6000405,0,0,0,0,0,0,0,0,410,415,0,0,0,0,0,825
NA,NA,,2022-23,Acushnet - Acushnet Elementary School,30025,55,95,86,106,89,125,0,0,0,0,0,0,0,0,0,556
NA,NA,,2022-23,Acushnet - Albert F Ford Middle School,30305,0,0,0,0,0,0,104,86,107,110,0,0,0,0,0,407
NA,NA,,2022-23,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,4300305,0,0,0,0,0,0,0,141,141,142,138,131,129,144,0,966
NA,NA,,2022-23,Agawam - Agawam Early Childhood Center,50003,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148
NA,NA,,2022-23,Agawam - Agawam High,50505,0,0,0,0,0,0,0,0,0,0,312,252,240,243,5,1052
NA,NA,,2022-23,Agawam - Agawam Junior High,50405,0,0,0,0,0,0,0,0,253,265,0,0,0,0,0,518
NA,NA,,2022-23,Agawam - Benjamin J Phelps,50020,0,66,52,62,68,60,0,0,0,0,0,0,0,0,0,308
NA,NA,,2022-23,Agawam - Clifford M Granger,50010,0,57,77,61,76,64,0,0,0,0,0,0,0,0,0,335
NA,NA,,2022-23,Agawam - James Clark School,50030,0,65,66,57,53,66,0,0,0,0,0,0,0,0,0,307
NA,NA,,2022-23,Agawam - Roberta G. Doering School,50303,0,0,0,0,0,0,235,277,0,0,0,0,0,0,0,512
NA,NA,,2022-23,Agawam - Robinson Park,50025,0,46,47,60,60,64,0,0,0,0,0,0,0,0,0,277
NA,NA,,2022-23,Alma del Mar Charter School (District) - Alma del Mar Charter School,4090205,0,102,105,102,104,104,100,154,138,129,0,0,0,0,0,1038
NA,NA,,2022-23,Amesbury - Amesbury Elementary,70005,30,55,65,60,66,52,0,0,0,0,0,0,0,0,0,328
NA,NA,,2022-23,Amesbury - Amesbury High,70505,0,0,0,0,0,0,0,0,0,0,124,103,113,108,5,453
NA,NA,,2022-23,Amesbury - Amesbury Innovation High School,70515,0,0,0,0,0,0,0,0,0,0,10,16,10,9,0,45
NA,NA,,2022-23,Amesbury - Amesbury Middle,70013,0,0,0,0,0,0,131,135,151,167,0,0,0,0,0,584
NA,NA,,2022-23,Amesbury - Charles C Cashman Elementary,70010,24,65,77,82,62,59,0,0,0,0,0,0,0,0,0,369
NA,NA,,2022-23,Amherst - Crocker Farm Elementary,80009,60,31,30,49,34,57,40,44,0,0,0,0,0,0,0,345
NA,NA,,2022-23,Amherst - Fort River Elementary,80020,0,55,57,50,65,49,38,65,0,0,0,0,0,0,0,379
NA,NA,,2022-23,Amherst - Wildwood Elementary,80050,0,45,34,45,45,53,61,43,0,0,0,0,0,0,0,326
NA,NA,,2022-23,Amherst-Pelham - Amherst Regional High,6050505,0,0,0,0,0,0,0,0,0,0,225,203,216,211,3,858
NA,NA,,2022-23,Amherst-Pelham - Amherst Regional Middle School,6050405,0,0,0,0,0,0,0,0,187,185,0,0,0,0,0,372
NA,NA,,2022-23,Andover - Andover High,90505,0,0,0,0,0,0,0,0,0,0,403,421,419,420,39,1702
NA,NA,,2022-23,Andover - Andover West Middle,90310,0,0,0,0,0,0,0,160,172,186,0,0,0,0,0,518
NA,NA,,2022-23,Andover - Bancroft Elementary,90003,0,87,82,73,91,103,107,0,0,0,0,0,0,0,0,543
NA,NA,,2022-23,Andover - Doherty Middle,90305,0,0,0,0,0,0,0,153,164,144,0,0,0,0,0,461
NA,NA,,2022-23,Andover - Henry C Sanborn Elementary,90010,0,52,57,50,48,66,58,0,0,0,0,0,0,0,0,331
NA,NA,,2022-23,Andover - High Plain Elementary,90004,0,62,93,86,88,112,86,0,0,0,0,0,0,0,0,527
NA,NA,,2022-23,Andover - Shawsheen School,90005,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98
NA,NA,,2022-23,Andover - South Elementary,90020,0,65,74,77,70,89,78,0,0,0,0,0,0,0,0,453
NA,NA,,2022-23,Andover - West Elementary,90025,0,89,92,98,92,100,84,0,0,0,0,0,0,0,0,555
NA,NA,,2022-23,Andover - Wood Hill Middle School,90350,0,0,0,0,0,0,0,97,118,123,0,0,0,0,0,338
NA,NA,,2022-23,Argosy Collegiate Charter School (District) - Argosy Collegiate Charter School,35090305,0,0,0,0,0,0,0,105,101,97,96,54,50,50,0,553
NA,NA,,2022-23,Arlington - Arlington High,100505,0,0,0,0,0,0,0,0,0,0,382,385,381,379,0,1527
NA,NA,,2022-23,Arlington - Brackett,100010,0,83,54,64,68,96,60,0,0,0,0,0,0,0,0,425
NA,NA,,2022-23,Arlington - Cyrus E Dallin,100025,0,67,61,63,69,85,70,0,0,0,0,0,0,0,0,415
NA,NA,,2022-23,Arlington - Gibbs School,100305,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,511
NA,NA,,2022-23,Arlington - Hardy,100030,0,71,78,64,55,67,62,0,0,0,0,0,0,0,0,397
NA,NA,,2022-23,Arlington - John A Bishop,100005,0,61,68,70,64,79,59,0,0,0,0,0,0,0,0,401
NA,NA,,2022-23,Arlington - M Norcross Stratton,100055,0,50,84,73,86,69,73,0,0,0,0,0,0,0,0,435
NA,NA,,2022-23,Arlington - Menotomy Preschool,100038,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
NA,NA,,2022-23,Arlington - Ottoson Middle,100410,0,0,0,0,0,0,0,0,451,471,0,0,0,0,0,922
NA,NA,,2022-23,Arlington - Peirce,100045,0,66,51,63,58,61,65,0,0,0,0,0,0,0,0,364
NA,NA,,2022-23,Arlington - Thompson,100050,0,88,96,82,88,73,75,0,0,0,0,0,0,0,0,502
