Category,Category ID,Category Description,Category Short Description,Subcategory,Subcategory ID,Subcategory Description,Subcategory Warning High,Subcategory Watch Low,Subcategory Watch High,Subcategory Growth Low,Subcategory Growth High,Subcategory Approval Low,Subcategory Approval High,Subcategory Ideal Low,Measures,Measure Description,Measure ID,Measure Warning High,Measure Watch Low,Measure Watch High,Measure Growth Low,Measure Growth High,Measure Approval Low,Measure Approval High,Measure Ideal Low,Source,Source Notes,Question/item (21-22),Question/item (20-21),Original Item (19-20 surveys),Original Item (20-21 surveys),Survey Item ID,HS only admin item?,Admin Data Benchmark (Absolute) ,Admin Data Unit (Absolute) ,Item Warning High,Item Watch Low,Item Watch High,Item Growth Low,Item Growth High,Item Approval Low,Item Approval High,Item Ideal Low
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,2.855,2.865,3.365,3.375,3.865,3.875,4.7,4.71,Admin Data,"Constructed by MCIEA staff, based on research from Kraft and Papay",Percentage teachers with 5+ years of experience,Percentage teachers with 5+ years of experience,,,a-exp-i1,,80,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,2.855,2.865,3.365,3.375,3.865,3.875,4.7,4.71,Admin Data,"NCES, 2015-16",Percentage teachers National Board certified,Percentage teachers National Board certified,,,a-exp-i2,,10,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,2.855,2.865,3.365,3.375,3.865,3.875,4.7,4.71,Admin Data,Center for Education Data and Research,Percentage teachers teaching in area of licensure,Percentage teachers teaching in area of licensure,,,a-exp-i3,,95,percentage,2.98,2.99,3.49,3.5,3.99,4,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,2.855,2.865,3.365,3.375,3.865,3.875,4.7,4.71,Teachers,,Given your preparation for teaching how comfortable are you teaching at the grade-level you have been assigned?,Given your preparation for teaching how comfortable are you teaching at the grade-level you have been assigned?,,,t-prep-q1,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,2.855,2.865,3.365,3.375,3.865,3.875,4.7,4.71,Teachers,,How prepared are you for teaching the topics that you are expected to teach in your assignment?,How prepared are you for teaching the topics that you are expected to teach in your assignment?,,,t-prep-q2,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Professional Qualifications,"Draws on anonymous teacher reports of their own comfort teaching grade-level topics. It also includes administrative measures of teacher quality, such as the percentage of teachers working in their area of licensure and the percentage of teachers who have received National Board certification. ",1A-i,2.855,2.865,3.365,3.375,3.865,3.875,4.7,4.71,Teachers,,How confident are you in working with the student body at your school?,How confident are you in working with the student body at your school?,,,t-prep-q3,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Students,,"Overall, how much have you learned from your teacher?","Overall, how much have you learned from your teacher?",,,s-peff-q1,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Students,,"For this class, how clearly does your teacher present the information that you need to learn?","For this class, how clearly does your teacher present the information that you need to learn?",,,s-peff-q2,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Students,,"When you need extra help, how good is your teacher at giving you that help?","When you need extra help, how good is your teacher at giving you that help?",,,s-peff-q3,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
Teachers & Leadership,1,This is a category description.,This is a category short description.,Teachers & The Teaching Environment,1A,"Seeks to determine the degree to which a school's teachers are prepared and supported for their classroom assignments. It includes measures of teacher qualifications, professional community and effective classroom practices",2.738333333,2.748333333,3.248333333,3.258333333,3.748333333,3.758333333,4.7,4.71,Effective Practices,"Draws on anonymous student reports about factors like teacher effectiveness, support for students, and classroom management.",1A-ii,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71,Students,,How well can your teacher tell whether or not you understand a topic?,How well can your teacher tell whether or not you understand a topic?,,,s-peff-q4,,,,2.48,2.49,2.99,3,3.49,3.5,4.7,4.71
